COMMON_NAME,SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,PURPOSE_CODE,SURVEY,SEASON,YEAR,INDEX_TYPE,INDEX,CV,LOWER_90_CI,UPPER_90_CI,STRATA_SAMPLING_COMPLETE,INCOMPLETE_INDEX
"PERCH, OCEAN(REDFISH)",166774,UNIT,NONE,10,"NMFS fall BTS",FALL,1963,"Abundance (numbers/tow)",87.3447,.163,65.174,111.2694,Y,
"PERCH, OCEAN(REDFISH)",166774,UNIT,NONE,10,"NMFS fall BTS",FALL,1964,"Abundance (numbers/tow)",116.2575,.6201,30.5011,269.8232,Y,
"PERCH, OCEAN(REDFISH)",166774,UNIT,NONE,10,"NMFS fall BTS",FALL,1965,"Abundance (numbers/tow)",57.0028,.2001,39.432,77.5302,Y,
"PERCH, OCEAN(REDFISH)",166774,UNIT,NONE,10,"NMFS fall BTS",FALL,1966,"Abundance (numbers/tow)",93.8353,.2921,54.2801,144.2321,Y,
"PERCH, OCEAN(REDFISH)",166774,UNIT,NONE,10,"NMFS fall BTS",FALL,1967,"Abundance (numbers/tow)",100.587,.3002,54.4074,153.4657,Y,
"PERCH, OCEAN(REDFISH)",166774,UNIT,NONE,10,"NMFS fall BTS",FALL,1968,"Abundance (numbers/tow)",143.4532,.3665,66.6248,237.5275,Y,
"PERCH, OCEAN(REDFISH)",166774,UNIT,NONE,10,"NMFS fall BTS",FALL,1969,"Abundance (numbers/tow)",71.2347,.2175,45.7874,96.7685,Y,
"PERCH, OCEAN(REDFISH)",166774,UNIT,NONE,10,"NMFS fall BTS",FALL,1970,"Abundance (numbers/tow)",93.976,.2138,62.7806,128.7748,Y,
"PERCH, OCEAN(REDFISH)",166774,UNIT,NONE,10,"NMFS fall BTS",FALL,1971,"Abundance (numbers/tow)",47.9951,.1717,34.4083,62.0316,Y,
"PERCH, OCEAN(REDFISH)",166774,UNIT,NONE,10,"NMFS fall BTS",FALL,1972,"Abundance (numbers/tow)",55.5707,.1571,41.2343,70.1203,Y,
"PERCH, OCEAN(REDFISH)",166774,UNIT,NONE,10,"NMFS fall BTS",FALL,1973,"Abundance (numbers/tow)",39.1594,.1473,30.228,48.7785,Y,
"PERCH, OCEAN(REDFISH)",166774,UNIT,NONE,10,"NMFS fall BTS",FALL,1974,"Abundance (numbers/tow)",48.2993,.2076,33.1054,66.4983,Y,
"PERCH, OCEAN(REDFISH)",166774,UNIT,NONE,10,"NMFS fall BTS",FALL,1975,"Abundance (numbers/tow)",74.8379,.2053,50.3943,100.1996,Y,
"PERCH, OCEAN(REDFISH)",166774,UNIT,NONE,10,"NMFS fall BTS",FALL,1976,"Abundance (numbers/tow)",28.8494,.2872,16.2629,43.5106,Y,
"PERCH, OCEAN(REDFISH)",166774,UNIT,NONE,10,"NMFS fall BTS",FALL,1977,"Abundance (numbers/tow)",40.3906,.1836,28.284,53.5874,Y,
"PERCH, OCEAN(REDFISH)",166774,UNIT,NONE,10,"NMFS fall BTS",FALL,1978,"Abundance (numbers/tow)",45.2059,.1652,33.6701,57.9358,Y,
"PERCH, OCEAN(REDFISH)",166774,UNIT,NONE,10,"NMFS fall BTS",FALL,1979,"Abundance (numbers/tow)",28.8877,.2056,20.004,39.6185,Y,
"PERCH, OCEAN(REDFISH)",166774,UNIT,NONE,10,"NMFS fall BTS",FALL,1980,"Abundance (numbers/tow)",20.5836,.2469,12.9974,29.8799,Y,
"PERCH, OCEAN(REDFISH)",166774,UNIT,NONE,10,"NMFS fall BTS",FALL,1981,"Abundance (numbers/tow)",20.3568,.2961,10.9998,30.8394,Y,
"PERCH, OCEAN(REDFISH)",166774,UNIT,NONE,10,"NMFS fall BTS",FALL,1982,"Abundance (numbers/tow)",9.1828,.3981,4.1368,15.5448,Y,
"PERCH, OCEAN(REDFISH)",166774,UNIT,NONE,10,"NMFS fall BTS",FALL,1983,"Abundance (numbers/tow)",10.0392,.185,7.1376,13.2947,Y,
"PERCH, OCEAN(REDFISH)",166774,UNIT,NONE,10,"NMFS fall BTS",FALL,1984,"Abundance (numbers/tow)",7.7721,.3731,3.5876,13.7679,Y,
"PERCH, OCEAN(REDFISH)",166774,UNIT,NONE,10,"NMFS fall BTS",FALL,1985,"Abundance (numbers/tow)",13.0109,.2958,7.081,19.8958,Y,
"PERCH, OCEAN(REDFISH)",166774,UNIT,NONE,10,"NMFS fall BTS",FALL,1986,"Abundance (numbers/tow)",26.0515,.3349,12.1806,41.3779,Y,
"PERCH, OCEAN(REDFISH)",166774,UNIT,NONE,10,"NMFS fall BTS",FALL,1987,"Abundance (numbers/tow)",13.723,.3737,5.804,22.6835,Y,
"PERCH, OCEAN(REDFISH)",166774,UNIT,NONE,10,"NMFS fall BTS",FALL,1988,"Abundance (numbers/tow)",12.431,.3733,6.0497,20.9477,Y,
"PERCH, OCEAN(REDFISH)",166774,UNIT,NONE,10,"NMFS fall BTS",FALL,1989,"Abundance (numbers/tow)",20.252,.2631,12.0222,29.6591,Y,
"PERCH, OCEAN(REDFISH)",166774,UNIT,NONE,10,"NMFS fall BTS",FALL,1990,"Abundance (numbers/tow)",35.529,.319,17.5122,54.2594,Y,
"PERCH, OCEAN(REDFISH)",166774,UNIT,NONE,10,"NMFS fall BTS",FALL,1991,"Abundance (numbers/tow)",19.0608,.3116,10.3385,29.3143,Y,
"PERCH, OCEAN(REDFISH)",166774,UNIT,NONE,10,"NMFS fall BTS",FALL,1992,"Abundance (numbers/tow)",22.3712,.2367,14.4855,31.8267,Y,
"PERCH, OCEAN(REDFISH)",166774,UNIT,NONE,10,"NMFS fall BTS",FALL,1993,"Abundance (numbers/tow)",35.6194,.2807,20.3733,53.1986,Y,
"PERCH, OCEAN(REDFISH)",166774,UNIT,NONE,10,"NMFS fall BTS",FALL,1994,"Abundance (numbers/tow)",20.8605,.3017,11.5781,32.4424,Y,
"PERCH, OCEAN(REDFISH)",166774,UNIT,NONE,10,"NMFS fall BTS",FALL,1995,"Abundance (numbers/tow)",33.2225,.2252,20.8692,46.1886,Y,
"PERCH, OCEAN(REDFISH)",166774,UNIT,NONE,10,"NMFS fall BTS",FALL,1996,"Abundance (numbers/tow)",169.6369,.3149,87.1229,265.5032,Y,
"PERCH, OCEAN(REDFISH)",166774,UNIT,NONE,10,"NMFS fall BTS",FALL,1997,"Abundance (numbers/tow)",65.0229,.2643,37.4224,95.2446,Y,
"PERCH, OCEAN(REDFISH)",166774,UNIT,NONE,10,"NMFS fall BTS",FALL,1998,"Abundance (numbers/tow)",116.9529,.4003,52.2262,202.3596,Y,
"PERCH, OCEAN(REDFISH)",166774,UNIT,NONE,10,"NMFS fall BTS",FALL,1999,"Abundance (numbers/tow)",82.483,.218,53.3872,113.3616,Y,
"PERCH, OCEAN(REDFISH)",166774,UNIT,NONE,10,"NMFS fall BTS",FALL,2000,"Abundance (numbers/tow)",104.4262,.2416,63.7582,146.2497,Y,
"PERCH, OCEAN(REDFISH)",166774,UNIT,NONE,10,"NMFS fall BTS",FALL,2001,"Abundance (numbers/tow)",89.6205,.2023,61.0838,120.8561,Y,
"PERCH, OCEAN(REDFISH)",166774,UNIT,NONE,10,"NMFS fall BTS",FALL,2002,"Abundance (numbers/tow)",185.1899,.2802,106.6196,279.7083,Y,
"PERCH, OCEAN(REDFISH)",166774,UNIT,NONE,10,"NMFS fall BTS",FALL,2003,"Abundance (numbers/tow)",250.94,.4222,83.6298,425.0391,Y,
"PERCH, OCEAN(REDFISH)",166774,UNIT,NONE,10,"NMFS fall BTS",FALL,2004,"Abundance (numbers/tow)",127.2902,.1774,91.9663,166.393,Y,
"PERCH, OCEAN(REDFISH)",166774,UNIT,NONE,10,"NMFS fall BTS",FALL,2005,"Abundance (numbers/tow)",166.0729,.1983,113.48,224.1121,Y,
"PERCH, OCEAN(REDFISH)",166774,UNIT,NONE,10,"NMFS fall BTS",FALL,2006,"Abundance (numbers/tow)",183.4258,.2863,102.6242,280.6311,Y,
"PERCH, OCEAN(REDFISH)",166774,UNIT,NONE,10,"NMFS fall BTS",FALL,2007,"Abundance (numbers/tow)",170.0304,.215,112.324,232.7645,Y,
"PERCH, OCEAN(REDFISH)",166774,UNIT,NONE,10,"NMFS fall BTS",FALL,2008,"Abundance (numbers/tow)",219.4327,.2296,138.1261,301.9902,Y,
"PERCH, OCEAN(REDFISH)",166774,UNIT,NONE,10,"NMFS fall BTS",FALL,2009,"Abundance (numbers/tow)",213.113,.2242,137.1734,297.2983,Y,
"PERCH, OCEAN(REDFISH)",166774,UNIT,NONE,10,"NMFS fall BTS",FALL,2010,"Abundance (numbers/tow)",261.384,.2147,171.065,355.615,Y,
"PERCH, OCEAN(REDFISH)",166774,UNIT,NONE,10,"NMFS fall BTS",FALL,2011,"Abundance (numbers/tow)",203.4197,.2744,121.8298,297.1906,Y,
