COMMON_NAME,SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,PURPOSE_CODE,SURVEY,SEASON,YEAR,INDEX_TYPE,INDEX,CV,LOWER_90_CI,UPPER_90_CI,STRATA_SAMPLING_COMPLETE,INCOMPLETE_INDEX
"POUT, OCEAN",630979,UNIT,NONE,10,"NMFS spring BTS",SPRING,1968,"Abundance (numbers/tow)",6.7683,.2267,4.4253,9.4565,Y,
"POUT, OCEAN",630979,UNIT,NONE,10,"NMFS spring BTS",SPRING,1969,"Abundance (numbers/tow)",8.6286,.1396,6.6581,10.588,Y,
"POUT, OCEAN",630979,UNIT,NONE,10,"NMFS spring BTS",SPRING,1970,"Abundance (numbers/tow)",6.1328,.2229,4.0499,8.4137,Y,
"POUT, OCEAN",630979,UNIT,NONE,10,"NMFS spring BTS",SPRING,1971,"Abundance (numbers/tow)",3.1354,.26,1.9061,4.5558,Y,
"POUT, OCEAN",630979,UNIT,NONE,10,"NMFS spring BTS",SPRING,1972,"Abundance (numbers/tow)",5.1043,.2528,3.2154,7.5023,Y,
"POUT, OCEAN",630979,UNIT,NONE,10,"NMFS spring BTS",SPRING,1973,"Abundance (numbers/tow)",4.5914,.1409,3.5165,5.6511,Y,
"POUT, OCEAN",630979,UNIT,NONE,10,"NMFS spring BTS",SPRING,1974,"Abundance (numbers/tow)",2.3102,.1413,1.7771,2.8469,Y,
"POUT, OCEAN",630979,UNIT,NONE,10,"NMFS spring BTS",SPRING,1975,"Abundance (numbers/tow)",1.3345,.2181,.8705,1.8382,Y,
"POUT, OCEAN",630979,UNIT,NONE,10,"NMFS spring BTS",SPRING,1976,"Abundance (numbers/tow)",2.4398,.3237,1.2449,3.8342,Y,
"POUT, OCEAN",630979,UNIT,NONE,10,"NMFS spring BTS",SPRING,1977,"Abundance (numbers/tow)",6.3556,.5276,1.7419,12.4882,Y,
"POUT, OCEAN",630979,UNIT,NONE,10,"NMFS spring BTS",SPRING,1978,"Abundance (numbers/tow)",11.8305,.1709,8.5163,15.0839,Y,
"POUT, OCEAN",630979,UNIT,NONE,10,"NMFS spring BTS",SPRING,1979,"Abundance (numbers/tow)",5.197,.5138,1.6489,10.4865,Y,
"POUT, OCEAN",630979,UNIT,NONE,10,"NMFS spring BTS",SPRING,1980,"Abundance (numbers/tow)",11.8371,.2217,7.7139,16.8115,Y,
"POUT, OCEAN",630979,UNIT,NONE,10,"NMFS spring BTS",SPRING,1981,"Abundance (numbers/tow)",14.1306,.2455,9.1507,20.5386,N,14.1306
"POUT, OCEAN",630979,UNIT,NONE,10,"NMFS spring BTS",SPRING,1982,"Abundance (numbers/tow)",8.6898,.415,3.986,15.2855,Y,
"POUT, OCEAN",630979,UNIT,NONE,10,"NMFS spring BTS",SPRING,1983,"Abundance (numbers/tow)",5.0759,.1257,4.0465,6.1187,Y,
"POUT, OCEAN",630979,UNIT,NONE,10,"NMFS spring BTS",SPRING,1984,"Abundance (numbers/tow)",7.275,.2351,4.7088,10.5066,Y,
"POUT, OCEAN",630979,UNIT,NONE,10,"NMFS spring BTS",SPRING,1985,"Abundance (numbers/tow)",9.0114,.1787,6.3387,11.7731,Y,
"POUT, OCEAN",630979,UNIT,NONE,10,"NMFS spring BTS",SPRING,1986,"Abundance (numbers/tow)",6.9954,.1991,4.7474,9.25,Y,
"POUT, OCEAN",630979,UNIT,NONE,10,"NMFS spring BTS",SPRING,1987,"Abundance (numbers/tow)",3.076,.2798,1.8286,4.5729,Y,
"POUT, OCEAN",630979,UNIT,NONE,10,"NMFS spring BTS",SPRING,1988,"Abundance (numbers/tow)",5.405,.2498,3.4729,7.848,Y,
"POUT, OCEAN",630979,UNIT,NONE,10,"NMFS spring BTS",SPRING,1989,"Abundance (numbers/tow)",5.3228,.193,3.7329,7.1983,Y,
"POUT, OCEAN",630979,UNIT,NONE,10,"NMFS spring BTS",SPRING,1990,"Abundance (numbers/tow)",6.3694,.1983,4.5571,8.6222,N,6.3694
"POUT, OCEAN",630979,UNIT,NONE,10,"NMFS spring BTS",SPRING,1991,"Abundance (numbers/tow)",5.5958,.1398,4.2332,6.8616,Y,
"POUT, OCEAN",630979,UNIT,NONE,10,"NMFS spring BTS",SPRING,1992,"Abundance (numbers/tow)",2.6385,.1247,2.1173,3.1826,N,2.6385
"POUT, OCEAN",630979,UNIT,NONE,10,"NMFS spring BTS",SPRING,1993,"Abundance (numbers/tow)",3.5458,.1664,2.5627,4.5356,N,3.5458
"POUT, OCEAN",630979,UNIT,NONE,10,"NMFS spring BTS",SPRING,1994,"Abundance (numbers/tow)",2.6395,.1454,1.9989,3.2341,N,2.6395
"POUT, OCEAN",630979,UNIT,NONE,10,"NMFS spring BTS",SPRING,1995,"Abundance (numbers/tow)",2.5249,.1394,1.9258,3.0741,Y,
"POUT, OCEAN",630979,UNIT,NONE,10,"NMFS spring BTS",SPRING,1996,"Abundance (numbers/tow)",3.1273,.1994,2.0977,4.155,Y,
"POUT, OCEAN",630979,UNIT,NONE,10,"NMFS spring BTS",SPRING,1997,"Abundance (numbers/tow)",2.0686,.1822,1.4586,2.6863,N,2.0686
"POUT, OCEAN",630979,UNIT,NONE,10,"NMFS spring BTS",SPRING,1998,"Abundance (numbers/tow)",2.9574,.2615,1.8055,4.3284,N,2.9574
"POUT, OCEAN",630979,UNIT,NONE,10,"NMFS spring BTS",SPRING,1999,"Abundance (numbers/tow)",3.3405,.1833,2.4135,4.3324,Y,
"POUT, OCEAN",630979,UNIT,NONE,10,"NMFS spring BTS",SPRING,2000,"Abundance (numbers/tow)",3.1128,.2004,2.1216,4.2237,Y,
"POUT, OCEAN",630979,UNIT,NONE,10,"NMFS spring BTS",SPRING,2001,"Abundance (numbers/tow)",3.7483,.2336,2.3534,5.106,Y,
"POUT, OCEAN",630979,UNIT,NONE,10,"NMFS spring BTS",SPRING,2002,"Abundance (numbers/tow)",2.8086,.2062,1.8457,3.7526,Y,
"POUT, OCEAN",630979,UNIT,NONE,10,"NMFS spring BTS",SPRING,2003,"Abundance (numbers/tow)",2.919,.386,1.3677,4.9732,Y,
"POUT, OCEAN",630979,UNIT,NONE,10,"NMFS spring BTS",SPRING,2004,"Abundance (numbers/tow)",.6727,.1747,.4874,.8743,Y,
"POUT, OCEAN",630979,UNIT,NONE,10,"NMFS spring BTS",SPRING,2005,"Abundance (numbers/tow)",.854,.222,.5761,1.1933,Y,
"POUT, OCEAN",630979,UNIT,NONE,10,"NMFS spring BTS",SPRING,2006,"Abundance (numbers/tow)",.789,.2232,.5199,1.1139,N,.789
"POUT, OCEAN",630979,UNIT,NONE,10,"NMFS spring BTS",SPRING,2007,"Abundance (numbers/tow)",1.076,.1831,.7502,1.4038,Y,
"POUT, OCEAN",630979,UNIT,NONE,10,"NMFS spring BTS",SPRING,2008,"Abundance (numbers/tow)",.8349,.1502,.6394,1.0595,Y,
"POUT, OCEAN",630979,UNIT,NONE,10,"NMFS spring BTS",SPRING,2009,"Abundance (numbers/tow)",1.8077,.2079,1.208,2.4462,Y,
"POUT, OCEAN",630979,UNIT,NONE,10,"NMFS spring BTS",SPRING,2010,"Abundance (numbers/tow)",1.1119,.1789,.8036,1.4477,Y,
"POUT, OCEAN",630979,UNIT,NONE,10,"NMFS spring BTS",SPRING,2011,"Abundance (numbers/tow)",.9829,.151,.753,1.2276,Y,
"POUT, OCEAN",630979,UNIT,NONE,10,"NMFS spring BTS",SPRING,2012,"Abundance (numbers/tow)",1.2644,.259,.7389,1.8308,Y,
"POUT, OCEAN",630979,UNIT,NONE,10,"NMFS spring BTS",SPRING,2013,"Abundance (numbers/tow)",.5358,.2029,.3659,.7339,Y,
"POUT, OCEAN",630979,UNIT,NONE,10,"NMFS spring BTS",SPRING,2014,"Abundance (numbers/tow)",.8908,.2605,.5342,1.2875,Y,
"POUT, OCEAN",630979,UNIT,NONE,10,"NMFS spring BTS",SPRING,2015,"Abundance (numbers/tow)",.4185,.1618,.3077,.5287,Y,
"POUT, OCEAN",630979,UNIT,NONE,10,"NMFS spring BTS",SPRING,2016,"Abundance (numbers/tow)",.8197,.3011,.4512,1.2507,Y,
"POUT, OCEAN",630979,UNIT,NONE,10,"NMFS spring BTS",SPRING,2017,"Abundance (numbers/tow)",.6504,.2966,.3568,1.0198,Y,
