COMMON_NAME,SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,PURPOSE_CODE,SURVEY,SEASON,YEAR,INDEX_TYPE,INDEX,CV,LOWER_90_CI,UPPER_90_CI,STRATA_SAMPLING_COMPLETE,INCOMPLETE_INDEX
"SKATE, ROSETTE",564136,UNIT,NONE,10,"NMFS fall BTS",FALL,1967,"Abundance (numbers/tow)",.117,.4032,.0454,.1989,Y,
"SKATE, ROSETTE",564136,UNIT,NONE,10,"NMFS fall BTS",FALL,1968,"Abundance (numbers/tow)",.0233,.8496,0,.0659,Y,
"SKATE, ROSETTE",564136,UNIT,NONE,10,"NMFS fall BTS",FALL,1969,"Abundance (numbers/tow)",.0096,.7032,0,.0191,Y,
"SKATE, ROSETTE",564136,UNIT,NONE,10,"NMFS fall BTS",FALL,1970,"Abundance (numbers/tow)",.0325,.7427,0,.0763,Y,
"SKATE, ROSETTE",564136,UNIT,NONE,10,"NMFS fall BTS",FALL,1971,"Abundance (numbers/tow)",.0055,.7762,0,.011,Y,
"SKATE, ROSETTE",564136,UNIT,NONE,10,"NMFS fall BTS",FALL,1972,"Abundance (numbers/tow)",.0578,.2557,.035,.0833,Y,
"SKATE, ROSETTE",564136,UNIT,NONE,10,"NMFS fall BTS",FALL,1973,"Abundance (numbers/tow)",.053,.5044,.0041,.1019,Y,
"SKATE, ROSETTE",564136,UNIT,NONE,10,"NMFS fall BTS",FALL,1974,"Abundance (numbers/tow)",.0786,.4302,.0236,.1386,Y,
"SKATE, ROSETTE",564136,UNIT,NONE,10,"NMFS fall BTS",FALL,1975,"Abundance (numbers/tow)",.0343,.3714,.013,.0549,Y,
"SKATE, ROSETTE",564136,UNIT,NONE,10,"NMFS fall BTS",FALL,1976,"Abundance (numbers/tow)",.1488,.3568,.0671,.2398,Y,
"SKATE, ROSETTE",564136,UNIT,NONE,10,"NMFS fall BTS",FALL,1977,"Abundance (numbers/tow)",.0874,.4737,.0249,.1662,Y,
"SKATE, ROSETTE",564136,UNIT,NONE,10,"NMFS fall BTS",FALL,1978,"Abundance (numbers/tow)",.0146,.8009,0,.0292,Y,
"SKATE, ROSETTE",564136,UNIT,NONE,10,"NMFS fall BTS",FALL,1979,"Abundance (numbers/tow)",.0573,.3677,.0214,.0932,Y,
