COMMON_NAME,SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,PURPOSE_CODE,SURVEY,SEASON,YEAR,INDEX_TYPE,INDEX,CV,LOWER_90_CI,UPPER_90_CI,STRATA_SAMPLING_COMPLETE,INCOMPLETE_INDEX
SCUP,169182,BIG,NONE,10,"NMFS fall BTS",FALL,2009,"Abundance (numbers/tow)",244.773,.2085,159.7459,326.7368,N,244.773
SCUP,169182,BIG,NONE,10,"NMFS fall BTS",FALL,2010,"Abundance (numbers/tow)",151.866,.1815,109.5752,198.1378,N,151.866
SCUP,169182,BIG,NONE,10,"NMFS fall BTS",FALL,2011,"Abundance (numbers/tow)",156.6318,.1978,109.3056,208.4179,N,156.6318
SCUP,169182,BIG,NONE,10,"NMFS fall BTS",FALL,2012,"Abundance (numbers/tow)",208.1328,.2319,127.8092,285.8497,N,208.1328
SCUP,169182,BIG,NONE,10,"NMFS fall BTS",FALL,2013,"Abundance (numbers/tow)",76.9341,.2527,48.2561,109.8268,N,76.9341
SCUP,169182,BIG,NONE,10,"NMFS fall BTS",FALL,2014,"Abundance (numbers/tow)",180.5077,.2275,114.8059,248.2339,N,180.5077
SCUP,169182,BIG,NONE,10,"NMFS fall BTS",FALL,2015,"Abundance (numbers/tow)",675.5723,.3811,287.0492,1126.981,N,675.5723
SCUP,169182,BIG,NONE,10,"NMFS fall BTS",FALL,2016,"Abundance (numbers/tow)",223.3142,.3128,121.9036,352.8441,N,223.3142
SCUP,169182,BIG,NONE,10,"NMFS fall BTS",FALL,2017,"Abundance (numbers/tow)",.2165,.3648,.1033,.3296,N,.2165
SCUP,169182,BIG,NONE,10,"NMFS fall BTS",FALL,2018,"Abundance (numbers/tow)",228.9554,.3483,94.3703,354.6421,N,228.9554
SCUP,169182,BIG,NONE,10,"NMFS fall BTS",FALL,2019,"Abundance (numbers/tow)",50.1787,.1931,34.4952,66.2125,N,50.1787
SCUP,169182,BIG,NONE,10,"NMFS fall BTS",FALL,2020,"Abundance (numbers/tow)",,,,,,
SCUP,169182,BIG,NONE,10,"NMFS fall BTS",FALL,2021,"Abundance (numbers/tow)",250.3634,.216,165.7018,342.3741,N,250.3634
SCUP,169182,BIG,NONE,10,"NMFS fall BTS",FALL,2022,"Abundance (numbers/tow)",386.7523,.1867,271.6132,502.8031,N,386.7523
SCUP,169182,BIG,NONE,10,"NMFS fall BTS",FALL,2023,"Abundance (numbers/tow)",115.239,.1761,83.5145,149.2072,N,115.239
SCUP,169182,BIG,NONE,10,"NMFS fall BTS",FALL,2024,"Abundance (numbers/tow)",84.3317,.2337,54.3927,118.0267,N,84.3317
SCUP,169182,BIG,NONE,10,"NMFS fall BTS",FALL,2025,"Abundance (numbers/tow)",78.4556,.2347,50.7253,110.7373,N,78.4556
SCUP,169182,BIG,NONE,10,"NMFS spring BTS",SPRING,2009,"Abundance (numbers/tow)",11.8612,.5242,1.3799,22.2714,N,11.8612
SCUP,169182,BIG,NONE,10,"NMFS spring BTS",SPRING,2010,"Abundance (numbers/tow)",36.1347,.275,20.2637,53.6975,Y,
SCUP,169182,BIG,NONE,10,"NMFS spring BTS",SPRING,2011,"Abundance (numbers/tow)",28.6091,.6426,4.5866,68.1338,Y,
SCUP,169182,BIG,NONE,10,"NMFS spring BTS",SPRING,2012,"Abundance (numbers/tow)",60.6931,.4884,18.7482,115.4921,Y,
SCUP,169182,BIG,NONE,10,"NMFS spring BTS",SPRING,2013,"Abundance (numbers/tow)",34.0467,.3938,13.6319,57.8517,Y,
SCUP,169182,BIG,NONE,10,"NMFS spring BTS",SPRING,2014,"Abundance (numbers/tow)",84.4094,.8592,4.2611,232.6618,N,84.4094
SCUP,169182,BIG,NONE,10,"NMFS spring BTS",SPRING,2015,"Abundance (numbers/tow)",21.3038,.6035,2.4189,48.9399,Y,
SCUP,169182,BIG,NONE,10,"NMFS spring BTS",SPRING,2016,"Abundance (numbers/tow)",167.1668,.3783,74.9189,287.7922,Y,
SCUP,169182,BIG,NONE,10,"NMFS spring BTS",SPRING,2017,"Abundance (numbers/tow)",56.2693,.4603,15.6048,102.2502,Y,
SCUP,169182,BIG,NONE,10,"NMFS spring BTS",SPRING,2018,"Abundance (numbers/tow)",16.1172,.5105,2.7505,32.8417,Y,
SCUP,169182,BIG,NONE,10,"NMFS spring BTS",SPRING,2019,"Abundance (numbers/tow)",22.6922,.4369,8.1826,40.5732,Y,
SCUP,169182,BIG,NONE,10,"NMFS spring BTS",SPRING,2020,"Abundance (numbers/tow)",66.382,.4268,24.0765,119.6322,N,66.382
SCUP,169182,BIG,NONE,10,"NMFS spring BTS",SPRING,2021,"Abundance (numbers/tow)",41.2252,.3267,20.955,64.5138,N,41.2252
SCUP,169182,BIG,NONE,10,"NMFS spring BTS",SPRING,2022,"Abundance (numbers/tow)",77.3672,.3991,30.0494,132.9593,Y,
SCUP,169182,BIG,NONE,10,"NMFS spring BTS",SPRING,2023,"Abundance (numbers/tow)",.1424,.919,0,.4272,N,.1424
SCUP,169182,BIG,NONE,10,"NMFS spring BTS",SPRING,2024,"Abundance (numbers/tow)",22.287,.4689,7.4185,41.2589,Y,
SCUP,169182,BIG,NONE,10,"NMFS spring BTS",SPRING,2025,"Abundance (numbers/tow)",6.371,.3609,2.8709,10.576,Y,
SCUP,169182,BIG,NONE,10,"NMFS fall BTS",FALL,2009,"Biomass (kg/tow)",6.6332,.1603,4.8851,8.3573,N,6.6332
SCUP,169182,BIG,NONE,10,"NMFS fall BTS",FALL,2010,"Biomass (kg/tow)",7.6023,.2451,4.7495,10.8093,N,7.6023
SCUP,169182,BIG,NONE,10,"NMFS fall BTS",FALL,2011,"Biomass (kg/tow)",4.1215,.2432,2.6354,5.9078,N,4.1215
SCUP,169182,BIG,NONE,10,"NMFS fall BTS",FALL,2012,"Biomass (kg/tow)",9.0424,.2654,5.3069,13.3133,N,9.0424
SCUP,169182,BIG,NONE,10,"NMFS fall BTS",FALL,2013,"Biomass (kg/tow)",2.7956,.3587,1.2848,4.5331,N,2.7956
SCUP,169182,BIG,NONE,10,"NMFS fall BTS",FALL,2014,"Biomass (kg/tow)",3.5419,.2898,1.9867,5.3308,N,3.5419
SCUP,169182,BIG,NONE,10,"NMFS fall BTS",FALL,2015,"Biomass (kg/tow)",17.5351,.4156,7.2386,29.4891,N,17.5351
SCUP,169182,BIG,NONE,10,"NMFS fall BTS",FALL,2016,"Biomass (kg/tow)",9.6367,.1869,6.4815,12.5296,N,9.6367
SCUP,169182,BIG,NONE,10,"NMFS fall BTS",FALL,2017,"Biomass (kg/tow)",.0367,.0369,.0348,.0387,N,.0367
SCUP,169182,BIG,NONE,10,"NMFS fall BTS",FALL,2018,"Biomass (kg/tow)",7.0526,.2829,4.0931,10.7728,N,7.0526
SCUP,169182,BIG,NONE,10,"NMFS fall BTS",FALL,2019,"Biomass (kg/tow)",3.9343,.212,2.593,5.2209,N,3.9343
SCUP,169182,BIG,NONE,10,"NMFS fall BTS",FALL,2020,"Biomass (kg/tow)",,,,,,
SCUP,169182,BIG,NONE,10,"NMFS fall BTS",FALL,2021,"Biomass (kg/tow)",7.7035,.1749,5.4917,9.9547,N,7.7035
SCUP,169182,BIG,NONE,10,"NMFS fall BTS",FALL,2022,"Biomass (kg/tow)",13.583,.1738,9.7398,17.5142,N,13.583
SCUP,169182,BIG,NONE,10,"NMFS fall BTS",FALL,2023,"Biomass (kg/tow)",9.5261,.2091,6.3717,12.9609,N,9.5261
SCUP,169182,BIG,NONE,10,"NMFS fall BTS",FALL,2024,"Biomass (kg/tow)",11.549,.2975,6.2511,17.7893,N,11.549
SCUP,169182,BIG,NONE,10,"NMFS fall BTS",FALL,2025,"Biomass (kg/tow)",5.2314,.277,2.8791,7.6944,N,5.2314
SCUP,169182,BIG,NONE,10,"NMFS spring BTS",SPRING,2009,"Biomass (kg/tow)",.9773,.5475,.0926,1.8619,N,.9773
SCUP,169182,BIG,NONE,10,"NMFS spring BTS",SPRING,2010,"Biomass (kg/tow)",5.2289,.4191,1.968,9.1365,Y,
SCUP,169182,BIG,NONE,10,"NMFS spring BTS",SPRING,2011,"Biomass (kg/tow)",.9767,.5259,.2531,1.9313,Y,
SCUP,169182,BIG,NONE,10,"NMFS spring BTS",SPRING,2012,"Biomass (kg/tow)",2.4996,.3613,1.0812,3.9947,Y,
SCUP,169182,BIG,NONE,10,"NMFS spring BTS",SPRING,2013,"Biomass (kg/tow)",2.3663,.5053,.7471,4.4691,Y,
SCUP,169182,BIG,NONE,10,"NMFS spring BTS",SPRING,2014,"Biomass (kg/tow)",23.6829,.9005,.5996,67.8027,N,23.6829
SCUP,169182,BIG,NONE,10,"NMFS spring BTS",SPRING,2015,"Biomass (kg/tow)",2.1236,.7204,.1118,5.0259,Y,
SCUP,169182,BIG,NONE,10,"NMFS spring BTS",SPRING,2016,"Biomass (kg/tow)",20.3377,.3915,8.4523,35.6796,Y,
SCUP,169182,BIG,NONE,10,"NMFS spring BTS",SPRING,2017,"Biomass (kg/tow)",3.4678,.5245,.9532,6.7135,Y,
SCUP,169182,BIG,NONE,10,"NMFS spring BTS",SPRING,2018,"Biomass (kg/tow)",1.7749,.4346,.5674,3.2171,Y,
SCUP,169182,BIG,NONE,10,"NMFS spring BTS",SPRING,2019,"Biomass (kg/tow)",3.5984,.5327,.8697,6.8754,Y,
SCUP,169182,BIG,NONE,10,"NMFS spring BTS",SPRING,2020,"Biomass (kg/tow)",5.482,.4792,1.6319,10.2186,N,5.482
SCUP,169182,BIG,NONE,10,"NMFS spring BTS",SPRING,2021,"Biomass (kg/tow)",1.7963,.4112,.7598,3.2272,N,1.7963
SCUP,169182,BIG,NONE,10,"NMFS spring BTS",SPRING,2022,"Biomass (kg/tow)",4.4913,.3789,2.0475,7.5444,Y,
SCUP,169182,BIG,NONE,10,"NMFS spring BTS",SPRING,2023,"Biomass (kg/tow)",.0082,.919,0,.0247,N,.0082
SCUP,169182,BIG,NONE,10,"NMFS spring BTS",SPRING,2024,"Biomass (kg/tow)",3.0572,.4443,.9796,5.4725,Y,
SCUP,169182,BIG,NONE,10,"NMFS spring BTS",SPRING,2025,"Biomass (kg/tow)",.9307,.3735,.4015,1.578,Y,
