COMMON_NAME,SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,PURPOSE_CODE,SURVEY,SEASON,YEAR,INDEX_TYPE,INDEX,CV,LOWER_90_CI,UPPER_90_CI,STRATA_SAMPLING_COMPLETE,INCOMPLETE_INDEX
SCUP,169182,UNIT,NONE,10,"NMFS fall BTS",FALL,1972,"Abundance (numbers/tow)",34.4105,.3906,14.3553,58.936,N,34.4105
SCUP,169182,UNIT,NONE,10,"NMFS fall BTS",FALL,1973,"Abundance (numbers/tow)",26.9453,.3531,11.8165,43.8622,N,26.9453
SCUP,169182,UNIT,NONE,10,"NMFS fall BTS",FALL,1974,"Abundance (numbers/tow)",25.4162,.1813,18.0759,33.1431,N,25.4162
SCUP,169182,UNIT,NONE,10,"NMFS fall BTS",FALL,1975,"Abundance (numbers/tow)",48.7029,.1905,34.7633,65.2805,N,48.7029
SCUP,169182,UNIT,NONE,10,"NMFS fall BTS",FALL,1976,"Abundance (numbers/tow)",193.2971,.3202,107.2862,303.6345,N,193.2971
SCUP,169182,UNIT,NONE,10,"NMFS fall BTS",FALL,1977,"Abundance (numbers/tow)",85.9659,.1365,66.9464,105.2858,N,85.9659
SCUP,169182,UNIT,NONE,10,"NMFS fall BTS",FALL,1978,"Abundance (numbers/tow)",45.5372,.435,16.0049,74.9208,N,45.5372
SCUP,169182,UNIT,NONE,10,"NMFS fall BTS",FALL,1979,"Abundance (numbers/tow)",14.7921,.3367,7.324,23.3395,N,14.7921
SCUP,169182,UNIT,NONE,10,"NMFS fall BTS",FALL,1980,"Abundance (numbers/tow)",13.6731,.249,8.4432,19.8658,N,13.6731
SCUP,169182,UNIT,NONE,10,"NMFS fall BTS",FALL,1981,"Abundance (numbers/tow)",75.2524,.3902,36.0625,125.2305,N,75.2524
SCUP,169182,UNIT,NONE,10,"NMFS fall BTS",FALL,1982,"Abundance (numbers/tow)",49.122,.2069,32.6889,66.8644,N,49.122
SCUP,169182,UNIT,NONE,10,"NMFS fall BTS",FALL,1983,"Abundance (numbers/tow)",26.876,.1659,19.6989,34.2953,N,26.876
SCUP,169182,UNIT,NONE,10,"NMFS fall BTS",FALL,1984,"Abundance (numbers/tow)",59.96,.2167,39.0511,82.406,N,59.96
