COMMON_NAME,SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,PURPOSE_CODE,SURVEY,SEASON,YEAR,INDEX_TYPE,INDEX,CV,LOWER_90_CI,UPPER_90_CI,STRATA_SAMPLING_COMPLETE,INCOMPLETE_INDEX
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS fall BTS",FALL,1967,"Abundance (numbers/tow)",1.5902,.168,1.169,2.0277,Y,
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS fall BTS",FALL,1968,"Abundance (numbers/tow)",1.7029,.1859,1.1881,2.2356,Y,
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS fall BTS",FALL,1969,"Abundance (numbers/tow)",.614,.2271,.4008,.8568,Y,
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS fall BTS",FALL,1970,"Abundance (numbers/tow)",2.5326,.2236,1.6423,3.5231,Y,
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS fall BTS",FALL,1971,"Abundance (numbers/tow)",1.7571,.1001,1.4883,2.0619,Y,
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS fall BTS",FALL,1972,"Abundance (numbers/tow)",2.2603,.22,1.4584,3.1113,Y,
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS fall BTS",FALL,1973,"Abundance (numbers/tow)",1.476,.2019,.9929,1.9824,Y,
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS fall BTS",FALL,1974,"Abundance (numbers/tow)",3.1487,.3633,1.4165,5.2456,Y,
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS fall BTS",FALL,1975,"Abundance (numbers/tow)",10.4684,.3307,5.3922,15.7002,Y,
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS fall BTS",FALL,1976,"Abundance (numbers/tow)",23.3584,.2014,15.9705,31.696,Y,
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS fall BTS",FALL,1977,"Abundance (numbers/tow)",12.5498,.1863,9.2267,17.0189,Y,
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS fall BTS",FALL,1978,"Abundance (numbers/tow)",20.7448,.1824,15.0762,27.3921,Y,
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS fall BTS",FALL,1979,"Abundance (numbers/tow)",25.9652,.1327,20.551,32.0231,N,25.9652
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS fall BTS",FALL,1980,"Abundance (numbers/tow)",14.0286,.1431,10.944,17.6522,N,14.0286
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS fall BTS",FALL,1981,"Abundance (numbers/tow)",36.5663,.3047,20.6514,57.0068,Y,
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS fall BTS",FALL,1982,"Abundance (numbers/tow)",3.7263,.1101,3.0588,4.3968,Y,
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS fall BTS",FALL,1983,"Abundance (numbers/tow)",1.7641,.1185,1.4316,2.1189,N,1.7641
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS fall BTS",FALL,1984,"Abundance (numbers/tow)",4.694,.141,3.6552,5.8229,N,4.694
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS fall BTS",FALL,1985,"Abundance (numbers/tow)",2.1891,.117,1.8022,2.6441,Y,
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS fall BTS",FALL,1986,"Abundance (numbers/tow)",2.3624,.128,1.8926,2.8793,Y,
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS fall BTS",FALL,1987,"Abundance (numbers/tow)",19.9704,.3687,9.7251,33.9642,N,19.9704
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS fall BTS",FALL,1988,"Abundance (numbers/tow)",30.5689,.3764,15.0337,51.3476,N,30.5689
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS fall BTS",FALL,1989,"Abundance (numbers/tow)",17.2654,.2059,12.0576,23.8964,N,17.2654
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS fall BTS",FALL,1990,"Abundance (numbers/tow)",20.7556,.0799,18.1158,23.5571,N,20.7556
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS fall BTS",FALL,1991,"Abundance (numbers/tow)",6.9001,.1277,5.6788,8.4504,N,6.9001
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS fall BTS",FALL,1992,"Abundance (numbers/tow)",8.4205,.1167,6.8188,10.1164,N,8.4205
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS fall BTS",FALL,1993,"Abundance (numbers/tow)",13.9311,.202,9.7886,19.0646,N,13.9311
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS fall BTS",FALL,1994,"Abundance (numbers/tow)",6.9998,.1978,4.6806,9.1531,N,6.9998
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS fall BTS",FALL,1995,"Abundance (numbers/tow)",8.0958,.2219,5.0268,11.0007,N,8.0958
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS fall BTS",FALL,1996,"Abundance (numbers/tow)",12.1054,.2203,8.1295,16.9761,N,12.1054
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS fall BTS",FALL,1997,"Abundance (numbers/tow)",5.725,.1746,4.0954,7.3867,N,5.725
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS fall BTS",FALL,1998,"Abundance (numbers/tow)",14.787,.3712,5.3692,23.9966,N,14.787
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS fall BTS",FALL,1999,"Abundance (numbers/tow)",1.3916,.1222,1.1214,1.6728,N,1.3916
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS fall BTS",FALL,2000,"Abundance (numbers/tow)",7.3358,.206,4.8091,9.8503,N,7.3358
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS fall BTS",FALL,2001,"Abundance (numbers/tow)",4.3328,.1745,3.0604,5.5357,N,4.3328
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS fall BTS",FALL,2002,"Abundance (numbers/tow)",7.5379,.2246,4.9947,10.5056,N,7.5379
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS fall BTS",FALL,2003,"Abundance (numbers/tow)",28.7151,.4242,9.1723,47.258,N,28.7151
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS fall BTS",FALL,2004,"Abundance (numbers/tow)",4.9791,.0928,4.2345,5.7737,N,4.9791
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS fall BTS",FALL,2005,"Abundance (numbers/tow)",10.7912,.2618,6.119,15.2061,N,10.7912
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS fall BTS",FALL,2006,"Abundance (numbers/tow)",27.8057,.3164,14.0404,41.5636,N,27.8057
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS fall BTS",FALL,2007,"Abundance (numbers/tow)",14.9561,.0713,13.2833,16.8154,N,14.9561
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS fall BTS",FALL,2008,"Abundance (numbers/tow)",9.5218,.1242,7.6218,11.5337,N,9.5218
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS fall BTS",FALL,2009,"Abundance (numbers/tow)",9.2093,.1869,6.7115,12.3699,N,9.2093
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS fall BTS",FALL,2010,"Abundance (numbers/tow)",9.7021,.1712,7.1313,12.4455,N,9.7021
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS fall BTS",FALL,2011,"Abundance (numbers/tow)",6.5335,.1755,4.758,8.515,N,6.5335
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS fall BTS",FALL,2012,"Abundance (numbers/tow)",7.9369,.1103,6.5441,9.4112,N,7.9369
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS fall BTS",FALL,2013,"Abundance (numbers/tow)",5.408,.2333,3.6957,7.715,N,5.408
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS fall BTS",FALL,2014,"Abundance (numbers/tow)",7.9684,.1014,6.7334,9.2911,N,7.9684
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS fall BTS",FALL,2015,"Abundance (numbers/tow)",8.5982,.2529,5.3991,12.7033,N,8.5982
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS fall BTS",FALL,2016,"Abundance (numbers/tow)",7.543,.1584,5.6317,9.4448,N,7.543
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS fall BTS",FALL,2017,"Abundance (numbers/tow)",8.3025,.2811,4.9041,12.2921,N,8.3025
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS fall BTS",FALL,2018,"Abundance (numbers/tow)",16.0593,.1784,11.5603,21.061,N,16.0593
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS fall BTS",FALL,2019,"Abundance (numbers/tow)",8.4689,.2489,5.6491,12.425,N,8.4689
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS fall BTS",FALL,2020,"Abundance (numbers/tow)",,,,,,
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS fall BTS",FALL,2021,"Abundance (numbers/tow)",11.4999,.163,8.6394,14.5584,N,11.4999
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS fall BTS",FALL,2022,"Abundance (numbers/tow)",13.9009,.2507,8.8415,19.721,N,13.9009
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS fall BTS",FALL,2023,"Abundance (numbers/tow)",7.8177,.168,5.855,10.1921,N,7.8177
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS fall BTS",FALL,2024,"Abundance (numbers/tow)",6.3041,.1536,4.82,8.102,N,6.3041
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS fall BTS",FALL,2025,"Abundance (numbers/tow)",17.7623,.2834,10.476,26.7741,N,17.7623
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS spring BTS",SPRING,1968,"Abundance (numbers/tow)",.2091,.3463,.0973,.3337,Y,
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS spring BTS",SPRING,1969,"Abundance (numbers/tow)",1.731,.3977,.6507,2.8744,Y,
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS spring BTS",SPRING,1970,"Abundance (numbers/tow)",.5881,.3136,.2536,.9253,Y,
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS spring BTS",SPRING,1971,"Abundance (numbers/tow)",.0661,.2708,.0374,.097,Y,
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS spring BTS",SPRING,1972,"Abundance (numbers/tow)",.022,.3619,.0105,.0353,Y,
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS spring BTS",SPRING,1973,"Abundance (numbers/tow)",.0346,.4497,.013,.064,Y,
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS spring BTS",SPRING,1974,"Abundance (numbers/tow)",.7696,.3186,.4044,1.2022,Y,
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS spring BTS",SPRING,1975,"Abundance (numbers/tow)",.1855,.2711,.1048,.2641,N,.1855
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS spring BTS",SPRING,1976,"Abundance (numbers/tow)",.2438,.1767,.173,.3116,Y,
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS spring BTS",SPRING,1977,"Abundance (numbers/tow)",.2025,.1397,.1566,.252,Y,
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS spring BTS",SPRING,1978,"Abundance (numbers/tow)",.8729,.4184,.204,1.4306,Y,
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS spring BTS",SPRING,1979,"Abundance (numbers/tow)",.5648,.2023,.3925,.7662,Y,
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS spring BTS",SPRING,1980,"Abundance (numbers/tow)",.4174,.1892,.2948,.5483,Y,
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS spring BTS",SPRING,1981,"Abundance (numbers/tow)",1.1782,.274,.6957,1.7565,N,1.1782
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS spring BTS",SPRING,1982,"Abundance (numbers/tow)",.6308,.1579,.4689,.7959,Y,
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS spring BTS",SPRING,1983,"Abundance (numbers/tow)",.0709,.2366,.0441,.0991,Y,
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS spring BTS",SPRING,1984,"Abundance (numbers/tow)",.2495,.6498,.0427,.5533,Y,
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS spring BTS",SPRING,1985,"Abundance (numbers/tow)",.9994,.6642,.1756,2.4977,Y,
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS spring BTS",SPRING,1986,"Abundance (numbers/tow)",.236,.5902,.0593,.534,Y,
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS spring BTS",SPRING,1987,"Abundance (numbers/tow)",.34,.3807,.1511,.5881,N,.34
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS spring BTS",SPRING,1988,"Abundance (numbers/tow)",.1591,.3276,.0797,.2458,N,.1591
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS spring BTS",SPRING,1989,"Abundance (numbers/tow)",.3208,.221,.2064,.446,N,.3208
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS spring BTS",SPRING,1990,"Abundance (numbers/tow)",.4371,.2682,.2551,.6401,N,.4371
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS spring BTS",SPRING,1991,"Abundance (numbers/tow)",1.3189,.2993,.7007,1.9311,N,1.3189
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS spring BTS",SPRING,1992,"Abundance (numbers/tow)",.6011,.226,.3779,.8213,N,.6011
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS spring BTS",SPRING,1993,"Abundance (numbers/tow)",.4086,.1821,.2894,.5382,N,.4086
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS spring BTS",SPRING,1994,"Abundance (numbers/tow)",.9042,.3317,.458,1.3666,N,.9042
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS spring BTS",SPRING,1995,"Abundance (numbers/tow)",.9296,.2569,.5772,1.333,N,.9296
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS spring BTS",SPRING,1996,"Abundance (numbers/tow)",.17,.4334,.0675,.2951,N,.17
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS spring BTS",SPRING,1997,"Abundance (numbers/tow)",2.8406,.3246,1.3535,4.2993,N,2.8406
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS spring BTS",SPRING,1998,"Abundance (numbers/tow)",1.4254,.4292,.3312,2.5285,N,1.4254
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS spring BTS",SPRING,1999,"Abundance (numbers/tow)",.8414,.2018,.5574,1.1199,N,.8414
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS spring BTS",SPRING,2000,"Abundance (numbers/tow)",.2235,.1568,.1659,.2757,N,.2235
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS spring BTS",SPRING,2001,"Abundance (numbers/tow)",.614,.283,.3448,.9244,N,.614
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS spring BTS",SPRING,2002,"Abundance (numbers/tow)",.3318,.3304,.152,.51,N,.3318
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS spring BTS",SPRING,2003,"Abundance (numbers/tow)",.1203,.2528,.0746,.1727,N,.1203
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS spring BTS",SPRING,2004,"Abundance (numbers/tow)",.6416,.6104,.1251,1.1677,N,.6416
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS spring BTS",SPRING,2005,"Abundance (numbers/tow)",.0627,.1504,.0477,.0795,N,.0627
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS spring BTS",SPRING,2006,"Abundance (numbers/tow)",.7372,.2062,.4842,.9785,N,.7372
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS spring BTS",SPRING,2007,"Abundance (numbers/tow)",.6729,.2857,.3748,1.0008,N,.6729
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS spring BTS",SPRING,2008,"Abundance (numbers/tow)",.3769,.2381,.2277,.5177,N,.3769
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS spring BTS",SPRING,2009,"Abundance (numbers/tow)",2.0917,.2603,1.2218,2.9911,N,2.0917
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS spring BTS",SPRING,2010,"Abundance (numbers/tow)",1.1615,.5171,.4184,2.3079,N,1.1615
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS spring BTS",SPRING,2011,"Abundance (numbers/tow)",2.0416,.3597,.9918,3.3142,N,2.0416
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS spring BTS",SPRING,2012,"Abundance (numbers/tow)",7.4781,.1342,5.7877,9.1672,N,7.4781
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS spring BTS",SPRING,2013,"Abundance (numbers/tow)",.1246,.1678,.0918,.1626,N,.1246
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS spring BTS",SPRING,2014,"Abundance (numbers/tow)",5.8519,.6232,1.1022,10.72,N,5.8519
"SQUID, SHORTFIN ILLEX",082521,UNIT,NONE,10,"NMFS spring BTS",SPRING,2015,"Abundance (numbers/tow)",1.8879,.2506,1.1261,2.7008,N,1.8879
