COMMON_NAME,SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,PURPOSE_CODE,SURVEY,SEASON,YEAR,INDEX_TYPE,INDEX,CV,LOWER_90_CI,UPPER_90_CI,STRATA_SAMPLING_COMPLETE,INCOMPLETE_INDEX
"HAKE, SILVER (WHITING)",164791,NORTH,NONE,10,"NMFS fall BTS",FALL,1963,"Abundance (numbers/tow)",181.1666,.179,133.0935,238.3872,Y,
"HAKE, SILVER (WHITING)",164791,NORTH,NONE,10,"NMFS fall BTS",FALL,1964,"Abundance (numbers/tow)",22.9771,.1298,18.2948,28.3129,Y,
"HAKE, SILVER (WHITING)",164791,NORTH,NONE,10,"NMFS fall BTS",FALL,1965,"Abundance (numbers/tow)",36.2129,.3533,19.3122,60.5467,Y,
"HAKE, SILVER (WHITING)",164791,NORTH,NONE,10,"NMFS fall BTS",FALL,1966,"Abundance (numbers/tow)",16.1351,.1431,12.4995,20.3013,Y,
"HAKE, SILVER (WHITING)",164791,NORTH,NONE,10,"NMFS fall BTS",FALL,1967,"Abundance (numbers/tow)",9.421,.2195,6.1799,12.9378,Y,
"HAKE, SILVER (WHITING)",164791,NORTH,NONE,10,"NMFS fall BTS",FALL,1968,"Abundance (numbers/tow)",8.0397,.2521,5.2366,11.6954,Y,
"HAKE, SILVER (WHITING)",164791,NORTH,NONE,10,"NMFS fall BTS",FALL,1969,"Abundance (numbers/tow)",15.6444,.1972,10.7888,20.8415,Y,
"HAKE, SILVER (WHITING)",164791,NORTH,NONE,10,"NMFS fall BTS",FALL,1970,"Abundance (numbers/tow)",16.6199,.2457,10.2244,24.1559,Y,
"HAKE, SILVER (WHITING)",164791,NORTH,NONE,10,"NMFS fall BTS",FALL,1971,"Abundance (numbers/tow)",30.052,.2509,18.6856,42.9002,Y,
"HAKE, SILVER (WHITING)",164791,NORTH,NONE,10,"NMFS fall BTS",FALL,1972,"Abundance (numbers/tow)",48.8931,.1116,39.8218,58.3015,Y,
"HAKE, SILVER (WHITING)",164791,NORTH,NONE,10,"NMFS fall BTS",FALL,1973,"Abundance (numbers/tow)",24.1947,.1058,19.9541,28.4052,Y,
"HAKE, SILVER (WHITING)",164791,NORTH,NONE,10,"NMFS fall BTS",FALL,1974,"Abundance (numbers/tow)",26.4972,.1653,19.4697,33.9931,Y,
"HAKE, SILVER (WHITING)",164791,NORTH,NONE,10,"NMFS fall BTS",FALL,1975,"Abundance (numbers/tow)",75.504,.1568,57.1006,96.5144,Y,
"HAKE, SILVER (WHITING)",164791,NORTH,NONE,10,"NMFS fall BTS",FALL,1976,"Abundance (numbers/tow)",55.5649,.1411,44.0272,70.4516,Y,
"HAKE, SILVER (WHITING)",164791,NORTH,NONE,10,"NMFS fall BTS",FALL,1977,"Abundance (numbers/tow)",30.1997,.1909,21.1675,40.3394,Y,
"HAKE, SILVER (WHITING)",164791,NORTH,NONE,10,"NMFS fall BTS",FALL,1978,"Abundance (numbers/tow)",39.191,.0996,32.9224,45.4513,Y,
"HAKE, SILVER (WHITING)",164791,NORTH,NONE,10,"NMFS fall BTS",FALL,1979,"Abundance (numbers/tow)",48.5573,.1343,38.5996,59.7696,Y,
"HAKE, SILVER (WHITING)",164791,NORTH,NONE,10,"NMFS fall BTS",FALL,1980,"Abundance (numbers/tow)",41.7212,.1889,30.4516,56.4989,Y,
"HAKE, SILVER (WHITING)",164791,NORTH,NONE,10,"NMFS fall BTS",FALL,1981,"Abundance (numbers/tow)",25.7565,.2115,17.21,35.2421,Y,
"HAKE, SILVER (WHITING)",164791,NORTH,NONE,10,"NMFS fall BTS",FALL,1982,"Abundance (numbers/tow)",43.6398,.3419,23.9623,71.1623,Y,
"HAKE, SILVER (WHITING)",164791,NORTH,NONE,10,"NMFS fall BTS",FALL,1983,"Abundance (numbers/tow)",71.8474,.1758,52.5812,93.9357,Y,
"HAKE, SILVER (WHITING)",164791,NORTH,NONE,10,"NMFS fall BTS",FALL,1984,"Abundance (numbers/tow)",24.7592,.1385,19.1252,30.6959,Y,
"HAKE, SILVER (WHITING)",164791,NORTH,NONE,10,"NMFS fall BTS",FALL,1985,"Abundance (numbers/tow)",86.6838,.1013,73.0475,101.616,Y,
"HAKE, SILVER (WHITING)",164791,NORTH,NONE,10,"NMFS fall BTS",FALL,1986,"Abundance (numbers/tow)",116.3626,.0923,99.7574,134.3279,Y,
"HAKE, SILVER (WHITING)",164791,NORTH,NONE,10,"NMFS fall BTS",FALL,1987,"Abundance (numbers/tow)",58.7203,.1223,47.1837,70.8117,Y,
"HAKE, SILVER (WHITING)",164791,NORTH,NONE,10,"NMFS fall BTS",FALL,1988,"Abundance (numbers/tow)",66.6987,.1144,53.7947,78.9192,Y,
"HAKE, SILVER (WHITING)",164791,NORTH,NONE,10,"NMFS fall BTS",FALL,1989,"Abundance (numbers/tow)",96.4525,.1236,76.7564,116.1814,Y,
"HAKE, SILVER (WHITING)",164791,NORTH,NONE,10,"NMFS fall BTS",FALL,1990,"Abundance (numbers/tow)",113.4944,.1932,79.0214,150.0397,Y,
"HAKE, SILVER (WHITING)",164791,NORTH,NONE,10,"NMFS fall BTS",FALL,1991,"Abundance (numbers/tow)",99.2123,.1781,71.4902,129.7182,Y,
"HAKE, SILVER (WHITING)",164791,NORTH,NONE,10,"NMFS fall BTS",FALL,1992,"Abundance (numbers/tow)",101.4062,.1207,81.3506,122.7506,Y,
"HAKE, SILVER (WHITING)",164791,NORTH,NONE,10,"NMFS fall BTS",FALL,1993,"Abundance (numbers/tow)",93.282,.1272,74.6602,113.7037,Y,
"HAKE, SILVER (WHITING)",164791,NORTH,NONE,10,"NMFS fall BTS",FALL,1994,"Abundance (numbers/tow)",82.8552,.1083,68.3485,98.0217,Y,
"HAKE, SILVER (WHITING)",164791,NORTH,NONE,10,"NMFS fall BTS",FALL,1995,"Abundance (numbers/tow)",131.7511,.1258,106.9519,160.5309,Y,
"HAKE, SILVER (WHITING)",164791,NORTH,NONE,10,"NMFS fall BTS",FALL,1996,"Abundance (numbers/tow)",62.4055,.1253,49.8463,75.9972,Y,
"HAKE, SILVER (WHITING)",164791,NORTH,NONE,10,"NMFS fall BTS",FALL,1997,"Abundance (numbers/tow)",66.5162,.156,50.6087,84.3727,Y,
"HAKE, SILVER (WHITING)",164791,NORTH,NONE,10,"NMFS fall BTS",FALL,1998,"Abundance (numbers/tow)",257.2033,.1844,184.9242,341.3123,Y,
