COMMON_NAME,SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,PURPOSE_CODE,SURVEY,SEASON,YEAR,INDEX_TYPE,INDEX,CV,LOWER_90_CI,UPPER_90_CI,STRATA_SAMPLING_COMPLETE,INCOMPLETE_INDEX
"HAKE, SILVER (WHITING)",164791,SOUTH,NONE,10,"NMFS fall BTS",FALL,1963,"Abundance (numbers/tow)",34.17,.1502,26.5783,43.4296,N,34.17
"HAKE, SILVER (WHITING)",164791,SOUTH,NONE,10,"NMFS fall BTS",FALL,1964,"Abundance (numbers/tow)",30.0575,.1072,24.6635,35.4188,N,30.0575
"HAKE, SILVER (WHITING)",164791,SOUTH,NONE,10,"NMFS fall BTS",FALL,1965,"Abundance (numbers/tow)",62.2632,.1144,50.6721,74.8153,N,62.2632
"HAKE, SILVER (WHITING)",164791,SOUTH,NONE,10,"NMFS fall BTS",FALL,1966,"Abundance (numbers/tow)",120.6813,.336,59.9864,193.8068,N,120.6813
"HAKE, SILVER (WHITING)",164791,SOUTH,NONE,10,"NMFS fall BTS",FALL,1967,"Abundance (numbers/tow)",16.759,.1096,13.8292,19.7734,Y,
"HAKE, SILVER (WHITING)",164791,SOUTH,NONE,10,"NMFS fall BTS",FALL,1968,"Abundance (numbers/tow)",61.4754,.2765,36.4262,91.8402,Y,
"HAKE, SILVER (WHITING)",164791,SOUTH,NONE,10,"NMFS fall BTS",FALL,1969,"Abundance (numbers/tow)",32.6397,.2495,19.9474,46.8609,Y,
"HAKE, SILVER (WHITING)",164791,SOUTH,NONE,10,"NMFS fall BTS",FALL,1970,"Abundance (numbers/tow)",26.8662,.1859,20.1879,36.5212,Y,
"HAKE, SILVER (WHITING)",164791,SOUTH,NONE,10,"NMFS fall BTS",FALL,1971,"Abundance (numbers/tow)",48.2543,.1763,34.6548,62.6613,Y,
"HAKE, SILVER (WHITING)",164791,SOUTH,NONE,10,"NMFS fall BTS",FALL,1972,"Abundance (numbers/tow)",51.8615,.3291,28.2055,86.0131,Y,
"HAKE, SILVER (WHITING)",164791,SOUTH,NONE,10,"NMFS fall BTS",FALL,1973,"Abundance (numbers/tow)",19.7162,.1918,13.7154,25.9626,Y,
"HAKE, SILVER (WHITING)",164791,SOUTH,NONE,10,"NMFS fall BTS",FALL,1974,"Abundance (numbers/tow)",112.9628,.2119,76.6854,157.9915,Y,
"HAKE, SILVER (WHITING)",164791,SOUTH,NONE,10,"NMFS fall BTS",FALL,1975,"Abundance (numbers/tow)",53.3775,.2467,33.0754,76.3766,Y,
"HAKE, SILVER (WHITING)",164791,SOUTH,NONE,10,"NMFS fall BTS",FALL,1976,"Abundance (numbers/tow)",79.1815,.3158,42.861,126.7925,Y,
"HAKE, SILVER (WHITING)",164791,SOUTH,NONE,10,"NMFS fall BTS",FALL,1977,"Abundance (numbers/tow)",86.0911,.2273,55.4141,120.7667,Y,
"HAKE, SILVER (WHITING)",164791,SOUTH,NONE,10,"NMFS fall BTS",FALL,1978,"Abundance (numbers/tow)",50.3362,.1706,35.8228,63.7981,Y,
"HAKE, SILVER (WHITING)",164791,SOUTH,NONE,10,"NMFS fall BTS",FALL,1979,"Abundance (numbers/tow)",25.8386,.1479,19.7854,32.6011,Y,
"HAKE, SILVER (WHITING)",164791,SOUTH,NONE,10,"NMFS fall BTS",FALL,1980,"Abundance (numbers/tow)",37.7589,.194,26.7041,50.9461,N,37.7589
"HAKE, SILVER (WHITING)",164791,SOUTH,NONE,10,"NMFS fall BTS",FALL,1981,"Abundance (numbers/tow)",48.4107,.3212,23.8094,74.5558,Y,
"HAKE, SILVER (WHITING)",164791,SOUTH,NONE,10,"NMFS fall BTS",FALL,1982,"Abundance (numbers/tow)",60.8708,.2638,36.5842,88.6504,Y,
"HAKE, SILVER (WHITING)",164791,SOUTH,NONE,10,"NMFS fall BTS",FALL,1983,"Abundance (numbers/tow)",37.7014,.2959,20.0098,55.8289,Y,
