COMMON_NAME,SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,PURPOSE_CODE,SURVEY,SEASON,YEAR,INDEX_TYPE,INDEX,CV,LOWER_90_CI,UPPER_90_CI,STRATA_SAMPLING_COMPLETE,INCOMPLETE_INDEX
"DOGFISH, SMOOTH",160230,UNIT,FEMALE,10,"NMFS fall BTS",FALL,1963,"Abundance (numbers/tow)",0,,0,0,N,0
"DOGFISH, SMOOTH",160230,UNIT,FEMALE,10,"NMFS fall BTS",FALL,1964,"Abundance (numbers/tow)",0,,0,0,N,0
"DOGFISH, SMOOTH",160230,UNIT,FEMALE,10,"NMFS fall BTS",FALL,1965,"Abundance (numbers/tow)",0,,0,0,N,0
"DOGFISH, SMOOTH",160230,UNIT,FEMALE,10,"NMFS fall BTS",FALL,1966,"Abundance (numbers/tow)",0,,0,0,N,0
"DOGFISH, SMOOTH",160230,UNIT,FEMALE,10,"NMFS fall BTS",FALL,1967,"Abundance (numbers/tow)",0,,0,0,N,0
"DOGFISH, SMOOTH",160230,UNIT,FEMALE,10,"NMFS fall BTS",FALL,1968,"Abundance (numbers/tow)",.1427,.4414,.0463,.2582,N,.1427
"DOGFISH, SMOOTH",160230,UNIT,FEMALE,10,"NMFS fall BTS",FALL,1969,"Abundance (numbers/tow)",.0099,.9364,0,.0298,N,.0099
"DOGFISH, SMOOTH",160230,UNIT,FEMALE,10,"NMFS fall BTS",FALL,1970,"Abundance (numbers/tow)",0,,0,0,N,0
"DOGFISH, SMOOTH",160230,UNIT,FEMALE,10,"NMFS fall BTS",FALL,1971,"Abundance (numbers/tow)",0,,0,0,N,0
"DOGFISH, SMOOTH",160230,UNIT,FEMALE,10,"NMFS fall BTS",FALL,1972,"Abundance (numbers/tow)",0,,0,0,N,0
"DOGFISH, SMOOTH",160230,UNIT,FEMALE,10,"NMFS fall BTS",FALL,1973,"Abundance (numbers/tow)",0,,0,0,N,0
"DOGFISH, SMOOTH",160230,UNIT,FEMALE,10,"NMFS fall BTS",FALL,1974,"Abundance (numbers/tow)",0,,0,0,N,0
"DOGFISH, SMOOTH",160230,UNIT,FEMALE,10,"NMFS fall BTS",FALL,1975,"Abundance (numbers/tow)",0,,0,0,N,0
"DOGFISH, SMOOTH",160230,UNIT,FEMALE,10,"NMFS fall BTS",FALL,1976,"Abundance (numbers/tow)",0,,0,0,N,0
"DOGFISH, SMOOTH",160230,UNIT,FEMALE,10,"NMFS fall BTS",FALL,1977,"Abundance (numbers/tow)",0,,0,0,N,0
"DOGFISH, SMOOTH",160230,UNIT,FEMALE,10,"NMFS fall BTS",FALL,1978,"Abundance (numbers/tow)",0,,0,0,N,0
"DOGFISH, SMOOTH",160230,UNIT,FEMALE,10,"NMFS fall BTS",FALL,1979,"Abundance (numbers/tow)",0,,0,0,Y,
"DOGFISH, SMOOTH",160230,UNIT,FEMALE,10,"NMFS fall BTS",FALL,1980,"Abundance (numbers/tow)",.0079,.8827,0,.0236,N,.0079
"DOGFISH, SMOOTH",160230,UNIT,FEMALE,10,"NMFS fall BTS",FALL,1981,"Abundance (numbers/tow)",0,,0,0,Y,
"DOGFISH, SMOOTH",160230,UNIT,FEMALE,10,"NMFS fall BTS",FALL,1982,"Abundance (numbers/tow)",0,,0,0,Y,
"DOGFISH, SMOOTH",160230,UNIT,FEMALE,10,"NMFS fall BTS",FALL,1983,"Abundance (numbers/tow)",0,,0,0,Y,
"DOGFISH, SMOOTH",160230,UNIT,FEMALE,10,"NMFS fall BTS",FALL,1984,"Abundance (numbers/tow)",0,,0,0,N,0
"DOGFISH, SMOOTH",160230,UNIT,FEMALE,10,"NMFS fall BTS",FALL,1985,"Abundance (numbers/tow)",0,,0,0,Y,
"DOGFISH, SMOOTH",160230,UNIT,FEMALE,10,"NMFS fall BTS",FALL,1986,"Abundance (numbers/tow)",0,,0,0,Y,
"DOGFISH, SMOOTH",160230,UNIT,FEMALE,10,"NMFS fall BTS",FALL,1987,"Abundance (numbers/tow)",0,,0,0,N,0
"DOGFISH, SMOOTH",160230,UNIT,FEMALE,10,"NMFS fall BTS",FALL,1988,"Abundance (numbers/tow)",0,,0,0,Y,
"DOGFISH, SMOOTH",160230,UNIT,FEMALE,10,"NMFS fall BTS",FALL,1989,"Abundance (numbers/tow)",.1588,.2462,.0909,.2235,Y,
"DOGFISH, SMOOTH",160230,UNIT,FEMALE,10,"NMFS fall BTS",FALL,1990,"Abundance (numbers/tow)",.3365,.365,.1587,.5691,N,.3365
"DOGFISH, SMOOTH",160230,UNIT,FEMALE,10,"NMFS fall BTS",FALL,1991,"Abundance (numbers/tow)",.0596,.2314,.0374,.0822,Y,
"DOGFISH, SMOOTH",160230,UNIT,FEMALE,10,"NMFS fall BTS",FALL,1992,"Abundance (numbers/tow)",.122,.3224,.0604,.1834,N,.122
"DOGFISH, SMOOTH",160230,UNIT,FEMALE,10,"NMFS fall BTS",FALL,1993,"Abundance (numbers/tow)",.0388,.2781,.0224,.0577,N,.0388
"DOGFISH, SMOOTH",160230,UNIT,FEMALE,10,"NMFS fall BTS",FALL,1994,"Abundance (numbers/tow)",.1168,.2354,.0715,.1632,Y,
"DOGFISH, SMOOTH",160230,UNIT,FEMALE,10,"NMFS fall BTS",FALL,1995,"Abundance (numbers/tow)",.1782,.2095,.1204,.2419,Y,
"DOGFISH, SMOOTH",160230,UNIT,FEMALE,10,"NMFS fall BTS",FALL,1996,"Abundance (numbers/tow)",.1842,.1582,.1372,.2351,Y,
"DOGFISH, SMOOTH",160230,UNIT,FEMALE,10,"NMFS fall BTS",FALL,1997,"Abundance (numbers/tow)",.2153,.3539,.1115,.3534,Y,
"DOGFISH, SMOOTH",160230,UNIT,FEMALE,10,"NMFS fall BTS",FALL,1998,"Abundance (numbers/tow)",.395,.2939,.2231,.6076,Y,
"DOGFISH, SMOOTH",160230,UNIT,FEMALE,10,"NMFS fall BTS",FALL,1999,"Abundance (numbers/tow)",.9805,.2204,.6121,1.3422,Y,
