COMMON_NAME,SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,PURPOSE_CODE,SURVEY,SEASON,YEAR,INDEX_TYPE,INDEX,CV,LOWER_90_CI,UPPER_90_CI,STRATA_SAMPLING_COMPLETE,INCOMPLETE_INDEX
"DOGFISH, SMOOTH",160230,UNIT,MALE,10,"NMFS fall BTS",FALL,1963,"Abundance (numbers/tow)",0,,0,0,N,0
"DOGFISH, SMOOTH",160230,UNIT,MALE,10,"NMFS fall BTS",FALL,1964,"Abundance (numbers/tow)",0,,0,0,N,0
"DOGFISH, SMOOTH",160230,UNIT,MALE,10,"NMFS fall BTS",FALL,1965,"Abundance (numbers/tow)",0,,0,0,N,0
"DOGFISH, SMOOTH",160230,UNIT,MALE,10,"NMFS fall BTS",FALL,1966,"Abundance (numbers/tow)",0,,0,0,N,0
"DOGFISH, SMOOTH",160230,UNIT,MALE,10,"NMFS fall BTS",FALL,1967,"Abundance (numbers/tow)",0,,0,0,N,0
"DOGFISH, SMOOTH",160230,UNIT,MALE,10,"NMFS fall BTS",FALL,1968,"Abundance (numbers/tow)",.3303,.5806,.0786,.6926,N,.3303
"DOGFISH, SMOOTH",160230,UNIT,MALE,10,"NMFS fall BTS",FALL,1969,"Abundance (numbers/tow)",.0497,.9364,0,.1491,N,.0497
"DOGFISH, SMOOTH",160230,UNIT,MALE,10,"NMFS fall BTS",FALL,1970,"Abundance (numbers/tow)",0,,0,0,N,0
"DOGFISH, SMOOTH",160230,UNIT,MALE,10,"NMFS fall BTS",FALL,1971,"Abundance (numbers/tow)",0,,0,0,N,0
"DOGFISH, SMOOTH",160230,UNIT,MALE,10,"NMFS fall BTS",FALL,1972,"Abundance (numbers/tow)",0,,0,0,N,0
"DOGFISH, SMOOTH",160230,UNIT,MALE,10,"NMFS fall BTS",FALL,1973,"Abundance (numbers/tow)",0,,0,0,N,0
"DOGFISH, SMOOTH",160230,UNIT,MALE,10,"NMFS fall BTS",FALL,1974,"Abundance (numbers/tow)",0,,0,0,N,0
"DOGFISH, SMOOTH",160230,UNIT,MALE,10,"NMFS fall BTS",FALL,1975,"Abundance (numbers/tow)",0,,0,0,N,0
"DOGFISH, SMOOTH",160230,UNIT,MALE,10,"NMFS fall BTS",FALL,1976,"Abundance (numbers/tow)",0,,0,0,N,0
"DOGFISH, SMOOTH",160230,UNIT,MALE,10,"NMFS fall BTS",FALL,1977,"Abundance (numbers/tow)",0,,0,0,N,0
"DOGFISH, SMOOTH",160230,UNIT,MALE,10,"NMFS fall BTS",FALL,1978,"Abundance (numbers/tow)",0,,0,0,N,0
"DOGFISH, SMOOTH",160230,UNIT,MALE,10,"NMFS fall BTS",FALL,1979,"Abundance (numbers/tow)",0,,0,0,Y,
"DOGFISH, SMOOTH",160230,UNIT,MALE,10,"NMFS fall BTS",FALL,1980,"Abundance (numbers/tow)",.0079,.8827,0,.0236,N,.0079
"DOGFISH, SMOOTH",160230,UNIT,MALE,10,"NMFS fall BTS",FALL,1981,"Abundance (numbers/tow)",.0139,.6701,0,.0293,Y,
"DOGFISH, SMOOTH",160230,UNIT,MALE,10,"NMFS fall BTS",FALL,1982,"Abundance (numbers/tow)",0,,0,0,Y,
"DOGFISH, SMOOTH",160230,UNIT,MALE,10,"NMFS fall BTS",FALL,1983,"Abundance (numbers/tow)",0,,0,0,Y,
"DOGFISH, SMOOTH",160230,UNIT,MALE,10,"NMFS fall BTS",FALL,1984,"Abundance (numbers/tow)",0,,0,0,N,0
"DOGFISH, SMOOTH",160230,UNIT,MALE,10,"NMFS fall BTS",FALL,1985,"Abundance (numbers/tow)",0,,0,0,Y,
"DOGFISH, SMOOTH",160230,UNIT,MALE,10,"NMFS fall BTS",FALL,1986,"Abundance (numbers/tow)",0,,0,0,Y,
"DOGFISH, SMOOTH",160230,UNIT,MALE,10,"NMFS fall BTS",FALL,1987,"Abundance (numbers/tow)",0,,0,0,N,0
"DOGFISH, SMOOTH",160230,UNIT,MALE,10,"NMFS fall BTS",FALL,1988,"Abundance (numbers/tow)",0,,0,0,Y,
"DOGFISH, SMOOTH",160230,UNIT,MALE,10,"NMFS fall BTS",FALL,1989,"Abundance (numbers/tow)",.2793,.2259,.1763,.3878,Y,
"DOGFISH, SMOOTH",160230,UNIT,MALE,10,"NMFS fall BTS",FALL,1990,"Abundance (numbers/tow)",.3941,.2682,.2194,.5748,N,.3941
"DOGFISH, SMOOTH",160230,UNIT,MALE,10,"NMFS fall BTS",FALL,1991,"Abundance (numbers/tow)",.1597,.2976,.0764,.2327,Y,
"DOGFISH, SMOOTH",160230,UNIT,MALE,10,"NMFS fall BTS",FALL,1992,"Abundance (numbers/tow)",.2982,.2891,.1666,.4492,N,.2982
"DOGFISH, SMOOTH",160230,UNIT,MALE,10,"NMFS fall BTS",FALL,1993,"Abundance (numbers/tow)",.2902,.1675,.2112,.3717,N,.2902
"DOGFISH, SMOOTH",160230,UNIT,MALE,10,"NMFS fall BTS",FALL,1994,"Abundance (numbers/tow)",.2992,.2394,.1885,.4187,Y,
"DOGFISH, SMOOTH",160230,UNIT,MALE,10,"NMFS fall BTS",FALL,1995,"Abundance (numbers/tow)",.394,.2596,.2272,.5636,Y,
"DOGFISH, SMOOTH",160230,UNIT,MALE,10,"NMFS fall BTS",FALL,1996,"Abundance (numbers/tow)",.5216,.3213,.2621,.8142,Y,
"DOGFISH, SMOOTH",160230,UNIT,MALE,10,"NMFS fall BTS",FALL,1997,"Abundance (numbers/tow)",.2826,.2832,.1482,.4103,Y,
"DOGFISH, SMOOTH",160230,UNIT,MALE,10,"NMFS fall BTS",FALL,1998,"Abundance (numbers/tow)",.725,.2224,.4675,1.0026,Y,
"DOGFISH, SMOOTH",160230,UNIT,MALE,10,"NMFS fall BTS",FALL,1999,"Abundance (numbers/tow)",1.0713,.3357,.5531,1.7454,Y,
"DOGFISH, SMOOTH",160230,UNIT,MALE,10,"NMFS fall BTS",FALL,2000,"Abundance (numbers/tow)",.4058,.2315,.2581,.5617,Y,
"DOGFISH, SMOOTH",160230,UNIT,MALE,10,"NMFS fall BTS",FALL,2001,"Abundance (numbers/tow)",1.1057,.4949,.4213,2.2409,N,1.1057
"DOGFISH, SMOOTH",160230,UNIT,MALE,10,"NMFS fall BTS",FALL,2002,"Abundance (numbers/tow)",.5174,.139,.4054,.6368,Y,
"DOGFISH, SMOOTH",160230,UNIT,MALE,10,"NMFS fall BTS",FALL,2003,"Abundance (numbers/tow)",1.082,.2028,.7314,1.4577,N,1.082
"DOGFISH, SMOOTH",160230,UNIT,MALE,10,"NMFS fall BTS",FALL,2004,"Abundance (numbers/tow)",1.0245,.1402,.8053,1.2642,Y,
"DOGFISH, SMOOTH",160230,UNIT,MALE,10,"NMFS fall BTS",FALL,2005,"Abundance (numbers/tow)",.8115,.2296,.5122,1.1377,N,.8115
"DOGFISH, SMOOTH",160230,UNIT,MALE,10,"NMFS fall BTS",FALL,2006,"Abundance (numbers/tow)",.8651,.2465,.5502,1.268,N,.8651
"DOGFISH, SMOOTH",160230,UNIT,MALE,10,"NMFS fall BTS",FALL,2007,"Abundance (numbers/tow)",.8369,.2729,.4877,1.2547,Y,
"DOGFISH, SMOOTH",160230,UNIT,MALE,10,"NMFS fall BTS",FALL,2008,"Abundance (numbers/tow)",.6436,.2163,.4279,.8923,Y,
"DOGFISH, SMOOTH",160230,UNIT,MALE,10,"NMFS fall BTS",FALL,2009,"Abundance (numbers/tow)",.6004,.2962,.3268,.9307,N,.6004
"DOGFISH, SMOOTH",160230,UNIT,MALE,10,"NMFS fall BTS",FALL,2010,"Abundance (numbers/tow)",.515,.3045,.2752,.7863,N,.515
"DOGFISH, SMOOTH",160230,UNIT,MALE,10,"NMFS fall BTS",FALL,2011,"Abundance (numbers/tow)",.5494,.2192,.3564,.7445,N,.5494
"DOGFISH, SMOOTH",160230,UNIT,MALE,10,"NMFS fall BTS",FALL,2012,"Abundance (numbers/tow)",.8044,.3929,.3291,1.3729,N,.8044
"DOGFISH, SMOOTH",160230,UNIT,MALE,10,"NMFS fall BTS",FALL,2013,"Abundance (numbers/tow)",.5246,.3791,.2345,.8664,N,.5246
"DOGFISH, SMOOTH",160230,UNIT,MALE,10,"NMFS fall BTS",FALL,2014,"Abundance (numbers/tow)",.3965,.2039,.2654,.5276,N,.3965
"DOGFISH, SMOOTH",160230,UNIT,MALE,10,"NMFS fall BTS",FALL,2015,"Abundance (numbers/tow)",.8716,.2808,.5026,1.2964,N,.8716
"DOGFISH, SMOOTH",160230,UNIT,MALE,10,"NMFS fall BTS",FALL,2016,"Abundance (numbers/tow)",.8046,.4027,.3695,1.397,N,.8046
"DOGFISH, SMOOTH",160230,UNIT,MALE,10,"NMFS fall BTS",FALL,2017,"Abundance (numbers/tow)",.0283,.6354,0,.0569,N,.0283
"DOGFISH, SMOOTH",160230,UNIT,MALE,10,"NMFS fall BTS",FALL,2018,"Abundance (numbers/tow)",1.0652,.4984,.4031,2.1157,N,1.0652
"DOGFISH, SMOOTH",160230,UNIT,MALE,10,"NMFS fall BTS",FALL,2019,"Abundance (numbers/tow)",.8521,.235,.5402,1.214,N,.8521
"DOGFISH, SMOOTH",160230,UNIT,MALE,10,"NMFS fall BTS",FALL,2020,"Abundance (numbers/tow)",,,,,,
"DOGFISH, SMOOTH",160230,UNIT,MALE,10,"NMFS fall BTS",FALL,2021,"Abundance (numbers/tow)",.7238,.2191,.4859,1.027,N,.7238
"DOGFISH, SMOOTH",160230,UNIT,MALE,10,"NMFS fall BTS",FALL,2022,"Abundance (numbers/tow)",.9667,.2285,.6315,1.349,N,.9667
