COMMON_NAME,SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,PURPOSE_CODE,SURVEY,SEASON,YEAR,INDEX_TYPE,INDEX,CV,LOWER_90_CI,UPPER_90_CI,STRATA_SAMPLING_COMPLETE,INCOMPLETE_INDEX
"DOGFISH, SMOOTH",160230,UNIT,UNSEXED,10,"NMFS fall BTS",FALL,1963,"Abundance (numbers/tow)",0,,0,0,N,0
"DOGFISH, SMOOTH",160230,UNIT,UNSEXED,10,"NMFS fall BTS",FALL,1964,"Abundance (numbers/tow)",.1091,.5009,.0194,.1988,N,.1091
"DOGFISH, SMOOTH",160230,UNIT,UNSEXED,10,"NMFS fall BTS",FALL,1965,"Abundance (numbers/tow)",0,,0,0,N,0
"DOGFISH, SMOOTH",160230,UNIT,UNSEXED,10,"NMFS fall BTS",FALL,1966,"Abundance (numbers/tow)",0,,0,0,N,0
"DOGFISH, SMOOTH",160230,UNIT,UNSEXED,10,"NMFS fall BTS",FALL,1967,"Abundance (numbers/tow)",.777,.268,.4421,1.1066,N,.777
"DOGFISH, SMOOTH",160230,UNIT,UNSEXED,10,"NMFS fall BTS",FALL,1968,"Abundance (numbers/tow)",0,,0,0,N,0
"DOGFISH, SMOOTH",160230,UNIT,UNSEXED,10,"NMFS fall BTS",FALL,1969,"Abundance (numbers/tow)",.2223,.3811,.1014,.3787,N,.2223
"DOGFISH, SMOOTH",160230,UNIT,UNSEXED,10,"NMFS fall BTS",FALL,1970,"Abundance (numbers/tow)",0,,0,0,N,0
"DOGFISH, SMOOTH",160230,UNIT,UNSEXED,10,"NMFS fall BTS",FALL,1971,"Abundance (numbers/tow)",.2432,.3857,.0993,.4059,N,.2432
"DOGFISH, SMOOTH",160230,UNIT,UNSEXED,10,"NMFS fall BTS",FALL,1972,"Abundance (numbers/tow)",.4671,.2536,.2837,.6819,N,.4671
"DOGFISH, SMOOTH",160230,UNIT,UNSEXED,10,"NMFS fall BTS",FALL,1973,"Abundance (numbers/tow)",1.2163,.1646,.89,1.5548,N,1.2163
"DOGFISH, SMOOTH",160230,UNIT,UNSEXED,10,"NMFS fall BTS",FALL,1974,"Abundance (numbers/tow)",.7734,.1856,.5488,1.0225,N,.7734
"DOGFISH, SMOOTH",160230,UNIT,UNSEXED,10,"NMFS fall BTS",FALL,1975,"Abundance (numbers/tow)",1.9392,.2203,1.2871,2.6838,N,1.9392
"DOGFISH, SMOOTH",160230,UNIT,UNSEXED,10,"NMFS fall BTS",FALL,1976,"Abundance (numbers/tow)",2.0042,.2477,1.1958,2.8042,N,2.0042
"DOGFISH, SMOOTH",160230,UNIT,UNSEXED,10,"NMFS fall BTS",FALL,1977,"Abundance (numbers/tow)",1.7093,.2058,1.1621,2.3174,N,1.7093
"DOGFISH, SMOOTH",160230,UNIT,UNSEXED,10,"NMFS fall BTS",FALL,1978,"Abundance (numbers/tow)",.7977,.2217,.474,1.0725,N,.7977
"DOGFISH, SMOOTH",160230,UNIT,UNSEXED,10,"NMFS fall BTS",FALL,1979,"Abundance (numbers/tow)",1.3845,.3269,.7011,2.1755,Y,
"DOGFISH, SMOOTH",160230,UNIT,UNSEXED,10,"NMFS fall BTS",FALL,1980,"Abundance (numbers/tow)",.5457,.1149,.4425,.6495,N,.5457
