COMMON_NAME,SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,PURPOSE_CODE,SURVEY,SEASON,YEAR,INDEX_TYPE,INDEX,CV,LOWER_90_CI,UPPER_90_CI,STRATA_SAMPLING_COMPLETE,INCOMPLETE_INDEX
"SKATE, SMOOTH",564151,UNIT,NONE,10,"NMFS fall BTS",FALL,1963,"Abundance (numbers/tow)",.5452,.2204,.3602,.7583,N,.5452
"SKATE, SMOOTH",564151,UNIT,NONE,10,"NMFS fall BTS",FALL,1964,"Abundance (numbers/tow)",.3524,.1955,.2411,.4708,N,.3524
"SKATE, SMOOTH",564151,UNIT,NONE,10,"NMFS fall BTS",FALL,1965,"Abundance (numbers/tow)",1.2411,.2924,.6942,1.8565,N,1.2411
"SKATE, SMOOTH",564151,UNIT,NONE,10,"NMFS fall BTS",FALL,1966,"Abundance (numbers/tow)",.9105,.1903,.6292,1.1957,N,.9105
"SKATE, SMOOTH",564151,UNIT,NONE,10,"NMFS fall BTS",FALL,1967,"Abundance (numbers/tow)",.2983,.2799,.1691,.4448,N,.2983
"SKATE, SMOOTH",564151,UNIT,NONE,10,"NMFS fall BTS",FALL,1968,"Abundance (numbers/tow)",.6761,.1996,.4528,.9042,N,.6761
"SKATE, SMOOTH",564151,UNIT,NONE,10,"NMFS fall BTS",FALL,1969,"Abundance (numbers/tow)",.6141,.2533,.3699,.8754,N,.6141
"SKATE, SMOOTH",564151,UNIT,NONE,10,"NMFS fall BTS",FALL,1970,"Abundance (numbers/tow)",.5391,.1932,.3793,.7189,N,.5391
"SKATE, SMOOTH",564151,UNIT,NONE,10,"NMFS fall BTS",FALL,1971,"Abundance (numbers/tow)",.2538,.2322,.1632,.3552,N,.2538
"SKATE, SMOOTH",564151,UNIT,NONE,10,"NMFS fall BTS",FALL,1972,"Abundance (numbers/tow)",.5074,.2043,.3427,.6821,N,.5074
"SKATE, SMOOTH",564151,UNIT,NONE,10,"NMFS fall BTS",FALL,1973,"Abundance (numbers/tow)",.5143,.1485,.3787,.6303,N,.5143
"SKATE, SMOOTH",564151,UNIT,NONE,10,"NMFS fall BTS",FALL,1974,"Abundance (numbers/tow)",.1835,.2382,.1126,.2556,N,.1835
"SKATE, SMOOTH",564151,UNIT,NONE,10,"NMFS fall BTS",FALL,1975,"Abundance (numbers/tow)",.1059,.2694,.0623,.1573,N,.1059
"SKATE, SMOOTH",564151,UNIT,NONE,10,"NMFS fall BTS",FALL,1976,"Abundance (numbers/tow)",.0786,.347,.0358,.1255,N,.0786
"SKATE, SMOOTH",564151,UNIT,NONE,10,"NMFS fall BTS",FALL,1977,"Abundance (numbers/tow)",.6005,.1239,.484,.7283,N,.6005
