COMMON_NAME,SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,PURPOSE_CODE,SURVEY,SEASON,YEAR,INDEX_TYPE,INDEX,CV,LOWER_90_CI,UPPER_90_CI,STRATA_SAMPLING_COMPLETE,INCOMPLETE_INDEX
"DOGFISH, SPINY",160617,UNIT,FEMALE,10,"NMFS spring BTS",SPRING,1968,"Abundance (numbers/tow)",9.1318,.364,4.2613,15.2249,N,9.1318
"DOGFISH, SPINY",160617,UNIT,FEMALE,10,"NMFS spring BTS",SPRING,1969,"Abundance (numbers/tow)",4.9703,.1521,3.7701,6.2398,N,4.9703
"DOGFISH, SPINY",160617,UNIT,FEMALE,10,"NMFS spring BTS",SPRING,1970,"Abundance (numbers/tow)",7.9901,.4648,3.3559,15.3765,N,7.9901
"DOGFISH, SPINY",160617,UNIT,FEMALE,10,"NMFS spring BTS",SPRING,1971,"Abundance (numbers/tow)",10.4737,.2042,7.1159,14.0924,N,10.4737
"DOGFISH, SPINY",160617,UNIT,FEMALE,10,"NMFS spring BTS",SPRING,1972,"Abundance (numbers/tow)",6.0706,.2751,3.4635,8.941,N,6.0706
"DOGFISH, SPINY",160617,UNIT,FEMALE,10,"NMFS spring BTS",SPRING,1973,"Abundance (numbers/tow)",0,,0,0,N,0
"DOGFISH, SPINY",160617,UNIT,FEMALE,10,"NMFS spring BTS",SPRING,1974,"Abundance (numbers/tow)",0,,0,0,N,0
"DOGFISH, SPINY",160617,UNIT,FEMALE,10,"NMFS spring BTS",SPRING,1975,"Abundance (numbers/tow)",0,,0,0,N,0
"DOGFISH, SPINY",160617,UNIT,FEMALE,10,"NMFS spring BTS",SPRING,1976,"Abundance (numbers/tow)",0,,0,0,N,0
"DOGFISH, SPINY",160617,UNIT,FEMALE,10,"NMFS spring BTS",SPRING,1977,"Abundance (numbers/tow)",0,,0,0,N,0
"DOGFISH, SPINY",160617,UNIT,FEMALE,10,"NMFS spring BTS",SPRING,1978,"Abundance (numbers/tow)",0,,0,0,N,0
"DOGFISH, SPINY",160617,UNIT,FEMALE,10,"NMFS spring BTS",SPRING,1979,"Abundance (numbers/tow)",0,,0,0,N,0
"DOGFISH, SPINY",160617,UNIT,FEMALE,10,"NMFS spring BTS",SPRING,1980,"Abundance (numbers/tow)",10.1483,.2028,7.1295,13.8146,N,10.1483
"DOGFISH, SPINY",160617,UNIT,FEMALE,10,"NMFS spring BTS",SPRING,1981,"Abundance (numbers/tow)",23.3032,.1622,17.2793,29.618,N,23.3032
"DOGFISH, SPINY",160617,UNIT,FEMALE,10,"NMFS spring BTS",SPRING,1982,"Abundance (numbers/tow)",28.2204,.2895,15.4308,42.2144,N,28.2204
"DOGFISH, SPINY",160617,UNIT,FEMALE,10,"NMFS spring BTS",SPRING,1983,"Abundance (numbers/tow)",18.3183,.2158,12.0983,24.8869,N,18.3183
"DOGFISH, SPINY",160617,UNIT,FEMALE,10,"NMFS spring BTS",SPRING,1984,"Abundance (numbers/tow)",9.2779,.1706,6.7432,12.1079,N,9.2779
"DOGFISH, SPINY",160617,UNIT,FEMALE,10,"NMFS spring BTS",SPRING,1985,"Abundance (numbers/tow)",37.6138,.2612,22.5872,55.5113,N,37.6138
"DOGFISH, SPINY",160617,UNIT,FEMALE,10,"NMFS spring BTS",SPRING,1986,"Abundance (numbers/tow)",19.515,.1394,15.3473,24.449,N,19.515
"DOGFISH, SPINY",160617,UNIT,FEMALE,10,"NMFS spring BTS",SPRING,1987,"Abundance (numbers/tow)",26.1746,.2462,16.9451,37.4522,N,26.1746
"DOGFISH, SPINY",160617,UNIT,FEMALE,10,"NMFS spring BTS",SPRING,1988,"Abundance (numbers/tow)",35.5729,.2647,22.3828,52.0944,N,35.5729
"DOGFISH, SPINY",160617,UNIT,FEMALE,10,"NMFS spring BTS",SPRING,1989,"Abundance (numbers/tow)",27.1147,.1614,20.1642,34.4035,N,27.1147
"DOGFISH, SPINY",160617,UNIT,FEMALE,10,"NMFS spring BTS",SPRING,1990,"Abundance (numbers/tow)",44.6047,.2695,26.5738,66.8612,N,44.6047
"DOGFISH, SPINY",160617,UNIT,FEMALE,10,"NMFS spring BTS",SPRING,1991,"Abundance (numbers/tow)",30.4018,.1577,22.6877,38.6218,N,30.4018
