COMMON_NAME,SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,PURPOSE_CODE,SURVEY,SEASON,YEAR,INDEX_TYPE,INDEX,CV,LOWER_90_CI,UPPER_90_CI,STRATA_SAMPLING_COMPLETE,INCOMPLETE_INDEX
"DOGFISH, SPINY",160617,UNIT,MALE,10,"NMFS spring BTS",SPRING,1968,"Abundance (numbers/tow)",16.6231,.304,8.5303,25.1646,N,16.6231
"DOGFISH, SPINY",160617,UNIT,MALE,10,"NMFS spring BTS",SPRING,1969,"Abundance (numbers/tow)",8.4619,.1355,6.6004,10.3558,N,8.4619
"DOGFISH, SPINY",160617,UNIT,MALE,10,"NMFS spring BTS",SPRING,1970,"Abundance (numbers/tow)",7.2777,.4853,2.0103,13.4841,N,7.2777
"DOGFISH, SPINY",160617,UNIT,MALE,10,"NMFS spring BTS",SPRING,1971,"Abundance (numbers/tow)",5.6667,.208,3.8107,7.6625,N,5.6667
"DOGFISH, SPINY",160617,UNIT,MALE,10,"NMFS spring BTS",SPRING,1972,"Abundance (numbers/tow)",5.5474,.4131,2.2104,9.7313,N,5.5474
"DOGFISH, SPINY",160617,UNIT,MALE,10,"NMFS spring BTS",SPRING,1973,"Abundance (numbers/tow)",0,,0,0,N,0
"DOGFISH, SPINY",160617,UNIT,MALE,10,"NMFS spring BTS",SPRING,1974,"Abundance (numbers/tow)",0,,0,0,N,0
"DOGFISH, SPINY",160617,UNIT,MALE,10,"NMFS spring BTS",SPRING,1975,"Abundance (numbers/tow)",0,,0,0,N,0
"DOGFISH, SPINY",160617,UNIT,MALE,10,"NMFS spring BTS",SPRING,1976,"Abundance (numbers/tow)",0,,0,0,N,0
"DOGFISH, SPINY",160617,UNIT,MALE,10,"NMFS spring BTS",SPRING,1977,"Abundance (numbers/tow)",0,,0,0,N,0
"DOGFISH, SPINY",160617,UNIT,MALE,10,"NMFS spring BTS",SPRING,1978,"Abundance (numbers/tow)",0,,0,0,N,0
"DOGFISH, SPINY",160617,UNIT,MALE,10,"NMFS spring BTS",SPRING,1979,"Abundance (numbers/tow)",0,,0,0,N,0
"DOGFISH, SPINY",160617,UNIT,MALE,10,"NMFS spring BTS",SPRING,1980,"Abundance (numbers/tow)",13.0302,.2198,8.6759,17.6599,N,13.0302
"DOGFISH, SPINY",160617,UNIT,MALE,10,"NMFS spring BTS",SPRING,1981,"Abundance (numbers/tow)",18.4958,.1705,13.2958,23.5418,N,18.4958
"DOGFISH, SPINY",160617,UNIT,MALE,10,"NMFS spring BTS",SPRING,1982,"Abundance (numbers/tow)",24.0243,.2481,14.709,34.4609,N,24.0243
"DOGFISH, SPINY",160617,UNIT,MALE,10,"NMFS spring BTS",SPRING,1983,"Abundance (numbers/tow)",23.94,.1736,17.0735,30.5388,N,23.94
"DOGFISH, SPINY",160617,UNIT,MALE,10,"NMFS spring BTS",SPRING,1984,"Abundance (numbers/tow)",13.5178,.3169,7.124,21.1831,N,13.5178
"DOGFISH, SPINY",160617,UNIT,MALE,10,"NMFS spring BTS",SPRING,1985,"Abundance (numbers/tow)",81.2552,.3035,44.3245,125.1835,N,81.2552
"DOGFISH, SPINY",160617,UNIT,MALE,10,"NMFS spring BTS",SPRING,1986,"Abundance (numbers/tow)",9.5846,.2606,6.0052,14.3087,N,9.5846
"DOGFISH, SPINY",160617,UNIT,MALE,10,"NMFS spring BTS",SPRING,1987,"Abundance (numbers/tow)",39.8317,.3605,19.456,65.6647,N,39.8317
"DOGFISH, SPINY",160617,UNIT,MALE,10,"NMFS spring BTS",SPRING,1988,"Abundance (numbers/tow)",29.8678,.3369,14.1641,47.8479,N,29.8678
"DOGFISH, SPINY",160617,UNIT,MALE,10,"NMFS spring BTS",SPRING,1989,"Abundance (numbers/tow)",29.5739,.2676,17.7052,43.1501,N,29.5739
"DOGFISH, SPINY",160617,UNIT,MALE,10,"NMFS spring BTS",SPRING,1990,"Abundance (numbers/tow)",48.4399,.4443,17.867,88.2444,N,48.4399
