COMMON_NAME,SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,PURPOSE_CODE,SURVEY,SEASON,YEAR,INDEX_TYPE,INDEX,CV,LOWER_90_CI,UPPER_90_CI,STRATA_SAMPLING_COMPLETE,INCOMPLETE_INDEX
"DOGFISH, SPINY",160617,UNIT,UNSEXED,10,"NMFS spring BTS",SPRING,1968,"Abundance (numbers/tow)",.2786,.4006,.0819,.4734,N,.2786
"DOGFISH, SPINY",160617,UNIT,UNSEXED,10,"NMFS spring BTS",SPRING,1969,"Abundance (numbers/tow)",0,,0,0,N,0
"DOGFISH, SPINY",160617,UNIT,UNSEXED,10,"NMFS spring BTS",SPRING,1970,"Abundance (numbers/tow)",.027,.4937,.0067,.0508,N,.027
"DOGFISH, SPINY",160617,UNIT,UNSEXED,10,"NMFS spring BTS",SPRING,1971,"Abundance (numbers/tow)",.0046,.9078,0,.0138,N,.0046
"DOGFISH, SPINY",160617,UNIT,UNSEXED,10,"NMFS spring BTS",SPRING,1972,"Abundance (numbers/tow)",16.4453,.4712,6.5331,30.9708,N,16.4453
"DOGFISH, SPINY",160617,UNIT,UNSEXED,10,"NMFS spring BTS",SPRING,1973,"Abundance (numbers/tow)",36.0734,.2495,23.5192,52.5619,N,36.0734
"DOGFISH, SPINY",160617,UNIT,UNSEXED,10,"NMFS spring BTS",SPRING,1974,"Abundance (numbers/tow)",39.6389,.1913,27.1229,51.3027,N,39.6389
"DOGFISH, SPINY",160617,UNIT,UNSEXED,10,"NMFS spring BTS",SPRING,1975,"Abundance (numbers/tow)",35.4212,.1951,24.7626,48.1814,N,35.4212
"DOGFISH, SPINY",160617,UNIT,UNSEXED,10,"NMFS spring BTS",SPRING,1976,"Abundance (numbers/tow)",23.4576,.135,18.3063,29.0928,N,23.4576
"DOGFISH, SPINY",160617,UNIT,UNSEXED,10,"NMFS spring BTS",SPRING,1977,"Abundance (numbers/tow)",13.2456,.32,7.7953,21.3139,N,13.2456
"DOGFISH, SPINY",160617,UNIT,UNSEXED,10,"NMFS spring BTS",SPRING,1978,"Abundance (numbers/tow)",22.8417,.1825,16.162,29.8187,N,22.8417
"DOGFISH, SPINY",160617,UNIT,UNSEXED,10,"NMFS spring BTS",SPRING,1979,"Abundance (numbers/tow)",10.174,.2258,6.8013,14.5293,N,10.174
"DOGFISH, SPINY",160617,UNIT,UNSEXED,10,"NMFS spring BTS",SPRING,1980,"Abundance (numbers/tow)",6.161,.6805,.9042,13.8897,N,6.161
"DOGFISH, SPINY",160617,UNIT,UNSEXED,10,"NMFS spring BTS",SPRING,1981,"Abundance (numbers/tow)",.4609,.5841,.0879,.8563,N,.4609
