COMMON_NAME,SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,PURPOSE_CODE,SURVEY,SEASON,YEAR,INDEX_TYPE,INDEX,CV,LOWER_90_CI,UPPER_90_CI,STRATA_SAMPLING_COMPLETE,INCOMPLETE_INDEX
"FLOUNDER, SUMMER (FLUKE)",172735,BIGSE,NONE,10,"NMFS fall BTS",FALL,2009,"Abundance (numbers/tow)",19.8461,.1698,14.7704,25.9734,N,19.8461
"FLOUNDER, SUMMER (FLUKE)",172735,BIGSE,NONE,10,"NMFS fall BTS",FALL,2010,"Abundance (numbers/tow)",10.3479,.1503,7.8221,12.9417,N,10.3479
"FLOUNDER, SUMMER (FLUKE)",172735,BIGSE,NONE,10,"NMFS fall BTS",FALL,2011,"Abundance (numbers/tow)",15.6012,.1941,10.8039,20.4998,N,15.6012
"FLOUNDER, SUMMER (FLUKE)",172735,BIGSE,NONE,10,"NMFS fall BTS",FALL,2012,"Abundance (numbers/tow)",20.5364,.2146,14.0263,28.3196,N,20.5364
"FLOUNDER, SUMMER (FLUKE)",172735,BIGSE,NONE,10,"NMFS fall BTS",FALL,2013,"Abundance (numbers/tow)",9.8444,.1128,8.0233,11.8289,N,9.8444
"FLOUNDER, SUMMER (FLUKE)",172735,BIGSE,NONE,10,"NMFS fall BTS",FALL,2014,"Abundance (numbers/tow)",17.3721,.1404,13.6242,21.4415,N,17.3721
"FLOUNDER, SUMMER (FLUKE)",172735,BIGSE,NONE,10,"NMFS fall BTS",FALL,2015,"Abundance (numbers/tow)",12.2105,.1656,9.001,15.5637,N,12.2105
"FLOUNDER, SUMMER (FLUKE)",172735,BIGSE,NONE,10,"NMFS fall BTS",FALL,2016,"Abundance (numbers/tow)",24.5311,.2268,15.7964,34.0254,N,24.5311
"FLOUNDER, SUMMER (FLUKE)",172735,BIGSE,NONE,10,"NMFS fall BTS",FALL,2017,"Abundance (numbers/tow)",.1713,.8423,0,.3426,N,.1713
"FLOUNDER, SUMMER (FLUKE)",172735,BIGSE,NONE,10,"NMFS fall BTS",FALL,2018,"Abundance (numbers/tow)",47.8658,.2978,23.8346,72.3644,N,47.8658
"FLOUNDER, SUMMER (FLUKE)",172735,BIGSE,NONE,10,"NMFS fall BTS",FALL,2019,"Abundance (numbers/tow)",12.2205,.1351,9.6339,15.0542,N,12.2205
"FLOUNDER, SUMMER (FLUKE)",172735,BIGSE,NONE,10,"NMFS fall BTS",FALL,2020,"Abundance (numbers/tow)",,,,,,
"FLOUNDER, SUMMER (FLUKE)",172735,BIGSE,NONE,10,"NMFS fall BTS",FALL,2021,"Abundance (numbers/tow)",10.2698,.1751,7.4223,13.2763,N,10.2698
"FLOUNDER, SUMMER (FLUKE)",172735,BIGSE,NONE,10,"NMFS fall BTS",FALL,2022,"Abundance (numbers/tow)",10.8894,.1411,8.3704,13.5045,N,10.8894
"FLOUNDER, SUMMER (FLUKE)",172735,BIGSE,NONE,10,"NMFS fall BTS",FALL,2023,"Abundance (numbers/tow)",19.101,.1594,14.2173,24.3924,N,19.101
"FLOUNDER, SUMMER (FLUKE)",172735,BIGSE,NONE,10,"NMFS fall BTS",FALL,2024,"Abundance (numbers/tow)",16.2135,.1303,12.7794,19.8973,N,16.2135
"FLOUNDER, SUMMER (FLUKE)",172735,BIGSE,NONE,10,"NMFS fall BTS",FALL,2025,"Abundance (numbers/tow)",14.6992,.0745,12.9121,16.4394,N,14.6992
"FLOUNDER, SUMMER (FLUKE)",172735,BIGSE,NONE,10,"NMFS spring BTS",SPRING,2009,"Abundance (numbers/tow)",15.437,.1691,11.4017,19.9158,N,15.437
"FLOUNDER, SUMMER (FLUKE)",172735,BIGSE,NONE,10,"NMFS spring BTS",SPRING,2010,"Abundance (numbers/tow)",14.7926,.099,12.2721,17.2222,Y,
"FLOUNDER, SUMMER (FLUKE)",172735,BIGSE,NONE,10,"NMFS spring BTS",SPRING,2011,"Abundance (numbers/tow)",16.0164,.158,12.2555,20.7204,Y,
"FLOUNDER, SUMMER (FLUKE)",172735,BIGSE,NONE,10,"NMFS spring BTS",SPRING,2012,"Abundance (numbers/tow)",12.4996,.1335,10.0318,15.5019,Y,
"FLOUNDER, SUMMER (FLUKE)",172735,BIGSE,NONE,10,"NMFS spring BTS",SPRING,2013,"Abundance (numbers/tow)",13.7663,.0976,11.5654,16.0633,Y,
"FLOUNDER, SUMMER (FLUKE)",172735,BIGSE,NONE,10,"NMFS spring BTS",SPRING,2014,"Abundance (numbers/tow)",7.8753,.1388,6.1418,9.7917,N,7.8753
