COMMON_NAME,SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,PURPOSE_CODE,SURVEY,SEASON,YEAR,INDEX_TYPE,INDEX,CV,LOWER_90_CI,UPPER_90_CI,STRATA_SAMPLING_COMPLETE,INCOMPLETE_INDEX
"FLOUNDER, SUMMER (FLUKE)",172735,BIG,NONE,10,"NMFS fall BTS",FALL,2009,"Abundance (numbers/tow)",9.9694,.1835,7.3066,13.3858,N,9.9694
"FLOUNDER, SUMMER (FLUKE)",172735,BIG,NONE,10,"NMFS fall BTS",FALL,2010,"Abundance (numbers/tow)",5.6024,.159,4.2091,7.1035,N,5.6024
"FLOUNDER, SUMMER (FLUKE)",172735,BIG,NONE,10,"NMFS fall BTS",FALL,2011,"Abundance (numbers/tow)",8.5227,.2038,5.7768,11.3835,N,8.5227
"FLOUNDER, SUMMER (FLUKE)",172735,BIG,NONE,10,"NMFS fall BTS",FALL,2012,"Abundance (numbers/tow)",6.8184,.2076,4.6709,9.3877,N,6.8184
"FLOUNDER, SUMMER (FLUKE)",172735,BIG,NONE,10,"NMFS fall BTS",FALL,2013,"Abundance (numbers/tow)",5.3446,.1167,4.31,6.4699,N,5.3446
"FLOUNDER, SUMMER (FLUKE)",172735,BIG,NONE,10,"NMFS fall BTS",FALL,2014,"Abundance (numbers/tow)",7.9563,.1579,5.9995,10.0328,N,7.9563
"FLOUNDER, SUMMER (FLUKE)",172735,BIG,NONE,10,"NMFS fall BTS",FALL,2015,"Abundance (numbers/tow)",6.5055,.173,4.7222,8.3422,N,6.5055
"FLOUNDER, SUMMER (FLUKE)",172735,BIG,NONE,10,"NMFS fall BTS",FALL,2016,"Abundance (numbers/tow)",5.1382,.1407,3.9851,6.3437,N,5.1382
"FLOUNDER, SUMMER (FLUKE)",172735,BIG,NONE,10,"NMFS fall BTS",FALL,2017,"Abundance (numbers/tow)",.1043,.8423,0,.2085,N,.1043
"FLOUNDER, SUMMER (FLUKE)",172735,BIG,NONE,10,"NMFS fall BTS",FALL,2018,"Abundance (numbers/tow)",5.8377,.1712,4.2511,7.468,N,5.8377
