COMMON_NAME,SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,PURPOSE_CODE,SURVEY,SEASON,YEAR,INDEX_TYPE,INDEX,CV,LOWER_90_CI,UPPER_90_CI,STRATA_SAMPLING_COMPLETE,INCOMPLETE_INDEX
"FLOUNDER, SUMMER (FLUKE)",172735,UNIT,NONE,10,"NMFS fall BTS",FALL,1963,"Abundance (numbers/tow)",0,,0,0,N,0
"FLOUNDER, SUMMER (FLUKE)",172735,UNIT,NONE,10,"NMFS fall BTS",FALL,1964,"Abundance (numbers/tow)",.3982,.339,.1656,.6307,N,.3982
"FLOUNDER, SUMMER (FLUKE)",172735,UNIT,NONE,10,"NMFS fall BTS",FALL,1965,"Abundance (numbers/tow)",.1693,.6497,0,.3938,N,.1693
"FLOUNDER, SUMMER (FLUKE)",172735,UNIT,NONE,10,"NMFS fall BTS",FALL,1966,"Abundance (numbers/tow)",.0535,.8771,0,.1605,N,.0535
"FLOUNDER, SUMMER (FLUKE)",172735,UNIT,NONE,10,"NMFS fall BTS",FALL,1967,"Abundance (numbers/tow)",2.0492,.2476,1.2547,2.9315,N,2.0492
"FLOUNDER, SUMMER (FLUKE)",172735,UNIT,NONE,10,"NMFS fall BTS",FALL,1968,"Abundance (numbers/tow)",1.6609,.2329,1.0585,2.3403,N,1.6609
"FLOUNDER, SUMMER (FLUKE)",172735,UNIT,NONE,10,"NMFS fall BTS",FALL,1969,"Abundance (numbers/tow)",1.0009,.2773,.5724,1.4567,N,1.0009
"FLOUNDER, SUMMER (FLUKE)",172735,UNIT,NONE,10,"NMFS fall BTS",FALL,1970,"Abundance (numbers/tow)",.2343,.4285,.0796,.4091,N,.2343
"FLOUNDER, SUMMER (FLUKE)",172735,UNIT,NONE,10,"NMFS fall BTS",FALL,1971,"Abundance (numbers/tow)",.6312,.2782,.3572,.9374,N,.6312
"FLOUNDER, SUMMER (FLUKE)",172735,UNIT,NONE,10,"NMFS fall BTS",FALL,1972,"Abundance (numbers/tow)",1.9097,.1233,1.5502,2.3318,N,1.9097
"FLOUNDER, SUMMER (FLUKE)",172735,UNIT,NONE,10,"NMFS fall BTS",FALL,1973,"Abundance (numbers/tow)",3.3174,.0971,2.7745,3.8608,N,3.3174
"FLOUNDER, SUMMER (FLUKE)",172735,UNIT,NONE,10,"NMFS fall BTS",FALL,1974,"Abundance (numbers/tow)",3.8697,.1132,3.169,4.63,N,3.8697
"FLOUNDER, SUMMER (FLUKE)",172735,UNIT,NONE,10,"NMFS fall BTS",FALL,1975,"Abundance (numbers/tow)",5.513,.1011,4.5884,6.4318,N,5.513
"FLOUNDER, SUMMER (FLUKE)",172735,UNIT,NONE,10,"NMFS fall BTS",FALL,1976,"Abundance (numbers/tow)",3.1659,.0759,2.7608,3.5534,N,3.1659
"FLOUNDER, SUMMER (FLUKE)",172735,UNIT,NONE,10,"NMFS fall BTS",FALL,1977,"Abundance (numbers/tow)",3.6838,.1712,2.7259,4.8712,N,3.6838
"FLOUNDER, SUMMER (FLUKE)",172735,UNIT,NONE,10,"NMFS fall BTS",FALL,1978,"Abundance (numbers/tow)",.9942,.1432,.744,1.2237,N,.9942
"FLOUNDER, SUMMER (FLUKE)",172735,UNIT,NONE,10,"NMFS fall BTS",FALL,1979,"Abundance (numbers/tow)",2.027,.1808,1.4741,2.6793,N,2.027
"FLOUNDER, SUMMER (FLUKE)",172735,UNIT,NONE,10,"NMFS fall BTS",FALL,1980,"Abundance (numbers/tow)",3.0066,.0946,2.5273,3.5036,N,3.0066
"FLOUNDER, SUMMER (FLUKE)",172735,UNIT,NONE,10,"NMFS fall BTS",FALL,1981,"Abundance (numbers/tow)",1.8934,.1393,1.4729,2.3715,N,1.8934
"FLOUNDER, SUMMER (FLUKE)",172735,UNIT,NONE,10,"NMFS fall BTS",FALL,1982,"Abundance (numbers/tow)",2.5033,.2195,1.6931,3.515,N,2.5033
"FLOUNDER, SUMMER (FLUKE)",172735,UNIT,NONE,10,"NMFS fall BTS",FALL,1983,"Abundance (numbers/tow)",2.9029,.1162,2.3979,3.4927,N,2.9029
"FLOUNDER, SUMMER (FLUKE)",172735,UNIT,NONE,10,"NMFS fall BTS",FALL,1984,"Abundance (numbers/tow)",2.0896,.2413,1.4046,3.0999,N,2.0896
"FLOUNDER, SUMMER (FLUKE)",172735,UNIT,NONE,10,"NMFS fall BTS",FALL,1985,"Abundance (numbers/tow)",1.9247,.1594,1.4311,2.457,N,1.9247
"FLOUNDER, SUMMER (FLUKE)",172735,UNIT,NONE,10,"NMFS fall BTS",FALL,1986,"Abundance (numbers/tow)",1.4444,.1633,1.0892,1.8547,N,1.4444
"FLOUNDER, SUMMER (FLUKE)",172735,UNIT,NONE,10,"NMFS fall BTS",FALL,1987,"Abundance (numbers/tow)",.9022,.1219,.7187,1.081,N,.9022
"FLOUNDER, SUMMER (FLUKE)",172735,UNIT,NONE,10,"NMFS fall BTS",FALL,1988,"Abundance (numbers/tow)",.8853,.0708,.7875,.9955,N,.8853
"FLOUNDER, SUMMER (FLUKE)",172735,UNIT,NONE,10,"NMFS fall BTS",FALL,1989,"Abundance (numbers/tow)",.5688,.1798,.4116,.7511,N,.5688
"FLOUNDER, SUMMER (FLUKE)",172735,UNIT,NONE,10,"NMFS fall BTS",FALL,1990,"Abundance (numbers/tow)",.894,.0876,.7671,1.023,N,.894
"FLOUNDER, SUMMER (FLUKE)",172735,UNIT,NONE,10,"NMFS fall BTS",FALL,1991,"Abundance (numbers/tow)",1.6955,.1103,1.3937,2.0089,N,1.6955
"FLOUNDER, SUMMER (FLUKE)",172735,UNIT,NONE,10,"NMFS fall BTS",FALL,1992,"Abundance (numbers/tow)",2.3167,.1334,1.8149,2.8498,N,2.3167
"FLOUNDER, SUMMER (FLUKE)",172735,UNIT,NONE,10,"NMFS fall BTS",FALL,1993,"Abundance (numbers/tow)",1.0735,.091,.9148,1.2425,N,1.0735
"FLOUNDER, SUMMER (FLUKE)",172735,UNIT,NONE,10,"NMFS fall BTS",FALL,1994,"Abundance (numbers/tow)",1.5249,.1021,1.2821,1.7842,N,1.5249
"FLOUNDER, SUMMER (FLUKE)",172735,UNIT,NONE,10,"NMFS fall BTS",FALL,1995,"Abundance (numbers/tow)",2.3998,.1169,1.9659,2.895,N,2.3998
"FLOUNDER, SUMMER (FLUKE)",172735,UNIT,NONE,10,"NMFS fall BTS",FALL,1996,"Abundance (numbers/tow)",1.9618,.1268,1.5504,2.3804,N,1.9618
"FLOUNDER, SUMMER (FLUKE)",172735,UNIT,NONE,10,"NMFS fall BTS",FALL,1997,"Abundance (numbers/tow)",2.932,.1316,2.3238,3.6176,N,2.932
"FLOUNDER, SUMMER (FLUKE)",172735,UNIT,NONE,10,"NMFS fall BTS",FALL,1998,"Abundance (numbers/tow)",4.522,.1764,3.307,5.9459,N,4.522
"FLOUNDER, SUMMER (FLUKE)",172735,UNIT,NONE,10,"NMFS fall BTS",FALL,1999,"Abundance (numbers/tow)",3.7916,.1264,3.0313,4.6282,N,3.7916
"FLOUNDER, SUMMER (FLUKE)",172735,UNIT,NONE,10,"NMFS fall BTS",FALL,2000,"Abundance (numbers/tow)",3.3221,.1205,2.6519,3.98,N,3.3221
"FLOUNDER, SUMMER (FLUKE)",172735,UNIT,NONE,10,"NMFS fall BTS",FALL,2001,"Abundance (numbers/tow)",2.9981,.1616,2.2853,3.8744,N,2.9981
"FLOUNDER, SUMMER (FLUKE)",172735,UNIT,NONE,10,"NMFS fall BTS",FALL,2002,"Abundance (numbers/tow)",2.6324,.1899,1.912,3.5216,N,2.6324
"FLOUNDER, SUMMER (FLUKE)",172735,UNIT,NONE,10,"NMFS fall BTS",FALL,2003,"Abundance (numbers/tow)",2.9805,.1686,2.194,3.8684,N,2.9805
"FLOUNDER, SUMMER (FLUKE)",172735,UNIT,NONE,10,"NMFS fall BTS",FALL,2004,"Abundance (numbers/tow)",4.2377,.1736,3.0876,5.5862,N,4.2377
"FLOUNDER, SUMMER (FLUKE)",172735,UNIT,NONE,10,"NMFS fall BTS",FALL,2005,"Abundance (numbers/tow)",2.7511,.1553,2.0894,3.4801,N,2.7511
"FLOUNDER, SUMMER (FLUKE)",172735,UNIT,NONE,10,"NMFS fall BTS",FALL,2006,"Abundance (numbers/tow)",2.9116,.139,2.2731,3.6095,N,2.9116
"FLOUNDER, SUMMER (FLUKE)",172735,UNIT,NONE,10,"NMFS fall BTS",FALL,2007,"Abundance (numbers/tow)",3.3632,.2645,2.0995,5.033,N,3.3632
