COMMON_NAME,SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,PURPOSE_CODE,SURVEY,SEASON,YEAR,INDEX_TYPE,INDEX,CV,LOWER_90_CI,UPPER_90_CI,STRATA_SAMPLING_COMPLETE,INCOMPLETE_INDEX
"SKATE, THORNY",564149,UNIT,NONE,10,"NMFS fall BTS",FALL,1963,"Abundance (numbers/tow)",1.6318,.1044,1.3587,1.9183,N,1.6318
"SKATE, THORNY",564149,UNIT,NONE,10,"NMFS fall BTS",FALL,1964,"Abundance (numbers/tow)",1.6705,.1606,1.266,2.1204,N,1.6705
"SKATE, THORNY",564149,UNIT,NONE,10,"NMFS fall BTS",FALL,1965,"Abundance (numbers/tow)",1.8572,.1462,1.4066,2.3286,N,1.8572
"SKATE, THORNY",564149,UNIT,NONE,10,"NMFS fall BTS",FALL,1966,"Abundance (numbers/tow)",2.3754,.1021,1.9967,2.7804,N,2.3754
"SKATE, THORNY",564149,UNIT,NONE,10,"NMFS fall BTS",FALL,1967,"Abundance (numbers/tow)",1.0053,.2732,.6206,1.4974,N,1.0053
"SKATE, THORNY",564149,UNIT,NONE,10,"NMFS fall BTS",FALL,1968,"Abundance (numbers/tow)",1.4639,.1295,1.1644,1.8042,N,1.4639
"SKATE, THORNY",564149,UNIT,NONE,10,"NMFS fall BTS",FALL,1969,"Abundance (numbers/tow)",1.8648,.1191,1.5281,2.2497,N,1.8648
"SKATE, THORNY",564149,UNIT,NONE,10,"NMFS fall BTS",FALL,1970,"Abundance (numbers/tow)",2.2403,.1491,1.7148,2.8253,N,2.2403
"SKATE, THORNY",564149,UNIT,NONE,10,"NMFS fall BTS",FALL,1971,"Abundance (numbers/tow)",1.4247,.1089,1.1729,1.6771,N,1.4247
"SKATE, THORNY",564149,UNIT,NONE,10,"NMFS fall BTS",FALL,1972,"Abundance (numbers/tow)",1.708,.117,1.3962,2.0569,N,1.708
"SKATE, THORNY",564149,UNIT,NONE,10,"NMFS fall BTS",FALL,1973,"Abundance (numbers/tow)",1.5511,.1221,1.2515,1.8781,N,1.5511
"SKATE, THORNY",564149,UNIT,NONE,10,"NMFS fall BTS",FALL,1974,"Abundance (numbers/tow)",1.3485,.1273,1.0832,1.6507,N,1.3485
"SKATE, THORNY",564149,UNIT,NONE,10,"NMFS fall BTS",FALL,1975,"Abundance (numbers/tow)",1.0023,.1437,.7681,1.2445,N,1.0023
"SKATE, THORNY",564149,UNIT,NONE,10,"NMFS fall BTS",FALL,1976,"Abundance (numbers/tow)",.8109,.1476,.6237,1.0143,N,.8109
"SKATE, THORNY",564149,UNIT,NONE,10,"NMFS fall BTS",FALL,1977,"Abundance (numbers/tow)",1.5239,.096,1.3055,1.7761,N,1.5239
"SKATE, THORNY",564149,UNIT,NONE,10,"NMFS fall BTS",FALL,1978,"Abundance (numbers/tow)",2.0891,.1168,1.6973,2.5087,N,2.0891
"SKATE, THORNY",564149,UNIT,NONE,10,"NMFS fall BTS",FALL,1979,"Abundance (numbers/tow)",1.2924,.1602,1.005,1.6715,N,1.2924
"SKATE, THORNY",564149,UNIT,NONE,10,"NMFS fall BTS",FALL,1980,"Abundance (numbers/tow)",1.8464,.0971,1.563,2.1736,N,1.8464
"SKATE, THORNY",564149,UNIT,NONE,10,"NMFS fall BTS",FALL,1981,"Abundance (numbers/tow)",1.2513,.1258,1.0034,1.5208,N,1.2513
"SKATE, THORNY",564149,UNIT,NONE,10,"NMFS fall BTS",FALL,1982,"Abundance (numbers/tow)",.3885,.2419,.2423,.5601,N,.3885
"SKATE, THORNY",564149,UNIT,NONE,10,"NMFS fall BTS",FALL,1983,"Abundance (numbers/tow)",.8344,.1332,.6528,1.0114,N,.8344
"SKATE, THORNY",564149,UNIT,NONE,10,"NMFS fall BTS",FALL,1984,"Abundance (numbers/tow)",1.2538,.1099,1.0334,1.4981,N,1.2538
"SKATE, THORNY",564149,UNIT,NONE,10,"NMFS fall BTS",FALL,1985,"Abundance (numbers/tow)",1.4466,.1094,1.1883,1.7073,N,1.4466
"SKATE, THORNY",564149,UNIT,NONE,10,"NMFS fall BTS",FALL,1986,"Abundance (numbers/tow)",.9904,.1143,.8054,1.1787,N,.9904
"SKATE, THORNY",564149,UNIT,NONE,10,"NMFS fall BTS",FALL,1987,"Abundance (numbers/tow)",.8508,.13,.6795,1.0367,N,.8508
"SKATE, THORNY",564149,UNIT,NONE,10,"NMFS fall BTS",FALL,1988,"Abundance (numbers/tow)",1.1068,.1649,.8339,1.4327,N,1.1068
"SKATE, THORNY",564149,UNIT,NONE,10,"NMFS fall BTS",FALL,1989,"Abundance (numbers/tow)",1.1014,.1447,.8518,1.3635,N,1.1014
"SKATE, THORNY",564149,UNIT,NONE,10,"NMFS fall BTS",FALL,1990,"Abundance (numbers/tow)",1.0445,.1296,.8316,1.2739,N,1.0445
"SKATE, THORNY",564149,UNIT,NONE,10,"NMFS fall BTS",FALL,1991,"Abundance (numbers/tow)",.9238,.1713,.6806,1.2073,N,.9238
"SKATE, THORNY",564149,UNIT,NONE,10,"NMFS fall BTS",FALL,1992,"Abundance (numbers/tow)",.7654,.1851,.5383,1.0065,N,.7654
"SKATE, THORNY",564149,UNIT,NONE,10,"NMFS fall BTS",FALL,1993,"Abundance (numbers/tow)",.9075,.2353,.5842,1.2856,N,.9075
"SKATE, THORNY",564149,UNIT,NONE,10,"NMFS fall BTS",FALL,1994,"Abundance (numbers/tow)",.9946,.3218,.5686,1.6073,N,.9946
"SKATE, THORNY",564149,UNIT,NONE,10,"NMFS fall BTS",FALL,1995,"Abundance (numbers/tow)",.641,.3397,.3383,1,N,.641
"SKATE, THORNY",564149,UNIT,NONE,10,"NMFS fall BTS",FALL,1996,"Abundance (numbers/tow)",.5613,.1979,.377,.759,N,.5613
"SKATE, THORNY",564149,UNIT,NONE,10,"NMFS fall BTS",FALL,1997,"Abundance (numbers/tow)",.3983,.1896,.2762,.5293,N,.3983
"SKATE, THORNY",564149,UNIT,NONE,10,"NMFS fall BTS",FALL,1998,"Abundance (numbers/tow)",.3119,.2472,.1967,.4514,N,.3119
"SKATE, THORNY",564149,UNIT,NONE,10,"NMFS fall BTS",FALL,1999,"Abundance (numbers/tow)",.3146,.1987,.2205,.4254,N,.3146
"SKATE, THORNY",564149,UNIT,NONE,10,"NMFS fall BTS",FALL,2000,"Abundance (numbers/tow)",.3721,.1621,.2733,.4744,N,.3721
"SKATE, THORNY",564149,UNIT,NONE,10,"NMFS fall BTS",FALL,2001,"Abundance (numbers/tow)",.2944,.2169,.1956,.4022,N,.2944
"SKATE, THORNY",564149,UNIT,NONE,10,"NMFS fall BTS",FALL,2002,"Abundance (numbers/tow)",.2527,.2379,.1603,.3604,N,.2527
"SKATE, THORNY",564149,UNIT,NONE,10,"NMFS fall BTS",FALL,2003,"Abundance (numbers/tow)",.9456,.3915,.4638,1.663,N,.9456
"SKATE, THORNY",564149,UNIT,NONE,10,"NMFS fall BTS",FALL,2004,"Abundance (numbers/tow)",.3644,.2672,.218,.5336,N,.3644
"SKATE, THORNY",564149,UNIT,NONE,10,"NMFS fall BTS",FALL,2005,"Abundance (numbers/tow)",.1968,.5487,.0598,.4226,N,.1968
"SKATE, THORNY",564149,UNIT,NONE,10,"NMFS fall BTS",FALL,2006,"Abundance (numbers/tow)",.2583,.178,.1852,.3357,N,.2583
"SKATE, THORNY",564149,UNIT,NONE,10,"NMFS fall BTS",FALL,2007,"Abundance (numbers/tow)",.301,.3467,.1533,.4975,N,.301
"SKATE, THORNY",564149,UNIT,NONE,10,"NMFS fall BTS",FALL,2008,"Abundance (numbers/tow)",.1205,.2679,.0687,.1759,N,.1205
"SKATE, THORNY",564149,UNIT,NONE,10,"NMFS fall BTS",FALL,2009,"Abundance (numbers/tow)",.1776,.1935,.1222,.2346,N,.1776
"SKATE, THORNY",564149,UNIT,NONE,10,"NMFS fall BTS",FALL,2010,"Abundance (numbers/tow)",.2856,.2256,.1809,.3918,N,.2856
"SKATE, THORNY",564149,UNIT,NONE,10,"NMFS fall BTS",FALL,2011,"Abundance (numbers/tow)",.5296,.4497,.1597,.9074,N,.5296
"SKATE, THORNY",564149,UNIT,NONE,10,"NMFS fall BTS",FALL,2012,"Abundance (numbers/tow)",.1144,.1499,.0867,.1426,N,.1144
"SKATE, THORNY",564149,UNIT,NONE,10,"NMFS fall BTS",FALL,2013,"Abundance (numbers/tow)",.1074,.1471,.0825,.1332,N,.1074
"SKATE, THORNY",564149,UNIT,NONE,10,"NMFS fall BTS",FALL,2014,"Abundance (numbers/tow)",.2095,.227,.1385,.2923,N,.2095
"SKATE, THORNY",564149,UNIT,NONE,10,"NMFS fall BTS",FALL,2015,"Abundance (numbers/tow)",.1297,.1993,.0874,.1726,N,.1297
"SKATE, THORNY",564149,UNIT,NONE,10,"NMFS fall BTS",FALL,2016,"Abundance (numbers/tow)",.0925,.1966,.0637,.1238,N,.0925
"SKATE, THORNY",564149,UNIT,NONE,10,"NMFS fall BTS",FALL,2017,"Abundance (numbers/tow)",.2035,.2419,.1279,.2892,N,.2035
"SKATE, THORNY",564149,UNIT,NONE,10,"NMFS fall BTS",FALL,2018,"Abundance (numbers/tow)",.0871,.1675,.0627,.1115,N,.0871
"SKATE, THORNY",564149,UNIT,NONE,10,"NMFS fall BTS",FALL,2019,"Abundance (numbers/tow)",.0901,.1939,.0632,.1203,N,.0901
"SKATE, THORNY",564149,UNIT,NONE,10,"NMFS fall BTS",FALL,2020,"Abundance (numbers/tow)",,,,,,
"SKATE, THORNY",564149,UNIT,NONE,10,"NMFS fall BTS",FALL,2021,"Abundance (numbers/tow)",.0442,.2714,.0254,.0642,N,.0442
"SKATE, THORNY",564149,UNIT,NONE,10,"NMFS fall BTS",FALL,2022,"Abundance (numbers/tow)",.0472,.2199,.0297,.0639,N,.0472
"SKATE, THORNY",564149,UNIT,NONE,10,"NMFS fall BTS",FALL,2023,"Abundance (numbers/tow)",.041,.274,.0238,.0606,N,.041
"SKATE, THORNY",564149,UNIT,NONE,10,"NMFS fall BTS",FALL,2024,"Abundance (numbers/tow)",.0505,.2186,.0338,.0705,N,.0505
"SKATE, THORNY",564149,UNIT,NONE,10,"NMFS fall BTS",FALL,2025,"Abundance (numbers/tow)",.0569,.3039,.0299,.0859,N,.0569
"SKATE, THORNY",564149,UNIT,NONE,10,"NMFS spring BTS",SPRING,1968,"Abundance (numbers/tow)",1.5139,.1601,1.1432,1.9441,N,1.5139
