COMMON_NAME,SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,PURPOSE_CODE,SURVEY,SEASON,YEAR,INDEX_TYPE,INDEX,CV,LOWER_90_CI,UPPER_90_CI,STRATA_SAMPLING_COMPLETE,INCOMPLETE_INDEX
"TILEFISH (GOLDEN TILEFISH)",168546,UNIT,NONE,10,"NMFS fall BTS",FALL,1970,"Abundance (numbers/tow)",0,,0,0,Y,
"TILEFISH (GOLDEN TILEFISH)",168546,UNIT,NONE,10,"NMFS fall BTS",FALL,1971,"Abundance (numbers/tow)",.0033,.8418,0,.0067,Y,
"TILEFISH (GOLDEN TILEFISH)",168546,UNIT,NONE,10,"NMFS fall BTS",FALL,1972,"Abundance (numbers/tow)",0,,0,0,Y,
"TILEFISH (GOLDEN TILEFISH)",168546,UNIT,NONE,10,"NMFS fall BTS",FALL,1973,"Abundance (numbers/tow)",.0041,.8003,0,.0082,Y,
"TILEFISH (GOLDEN TILEFISH)",168546,UNIT,NONE,10,"NMFS fall BTS",FALL,1974,"Abundance (numbers/tow)",.0023,0,.0023,.0023,Y,
"TILEFISH (GOLDEN TILEFISH)",168546,UNIT,NONE,10,"NMFS fall BTS",FALL,1975,"Abundance (numbers/tow)",.0078,.5735,0,.0157,Y,
"TILEFISH (GOLDEN TILEFISH)",168546,UNIT,NONE,10,"NMFS fall BTS",FALL,1976,"Abundance (numbers/tow)",.0165,.5079,.0046,.0315,Y,
"TILEFISH (GOLDEN TILEFISH)",168546,UNIT,NONE,10,"NMFS fall BTS",FALL,1977,"Abundance (numbers/tow)",.0218,.4231,.0075,.0379,Y,
"TILEFISH (GOLDEN TILEFISH)",168546,UNIT,NONE,10,"NMFS fall BTS",FALL,1978,"Abundance (numbers/tow)",.004,.9807,0,.0119,Y,
"TILEFISH (GOLDEN TILEFISH)",168546,UNIT,NONE,10,"NMFS fall BTS",FALL,1979,"Abundance (numbers/tow)",.009,.8187,0,.0181,Y,
"TILEFISH (GOLDEN TILEFISH)",168546,UNIT,NONE,10,"NMFS fall BTS",FALL,1980,"Abundance (numbers/tow)",.0041,.8398,0,.0082,N,.0041
"TILEFISH (GOLDEN TILEFISH)",168546,UNIT,NONE,10,"NMFS fall BTS",FALL,1981,"Abundance (numbers/tow)",.0075,.4064,.0037,.0112,Y,
"TILEFISH (GOLDEN TILEFISH)",168546,UNIT,NONE,10,"NMFS fall BTS",FALL,1982,"Abundance (numbers/tow)",0,,0,0,Y,
"TILEFISH (GOLDEN TILEFISH)",168546,UNIT,NONE,10,"NMFS fall BTS",FALL,1983,"Abundance (numbers/tow)",0,,0,0,Y,
"TILEFISH (GOLDEN TILEFISH)",168546,UNIT,NONE,10,"NMFS fall BTS",FALL,1984,"Abundance (numbers/tow)",.0041,.8577,0,.0082,N,.0041
"TILEFISH (GOLDEN TILEFISH)",168546,UNIT,NONE,10,"NMFS fall BTS",FALL,1985,"Abundance (numbers/tow)",.0124,.4829,.0037,.0235,Y,
"TILEFISH (GOLDEN TILEFISH)",168546,UNIT,NONE,10,"NMFS fall BTS",FALL,1986,"Abundance (numbers/tow)",.0014,.8299,0,.0027,Y,
"TILEFISH (GOLDEN TILEFISH)",168546,UNIT,NONE,10,"NMFS fall BTS",FALL,1987,"Abundance (numbers/tow)",0,,0,0,N,0
"TILEFISH (GOLDEN TILEFISH)",168546,UNIT,NONE,10,"NMFS fall BTS",FALL,1988,"Abundance (numbers/tow)",0,,0,0,Y,
"TILEFISH (GOLDEN TILEFISH)",168546,UNIT,NONE,10,"NMFS fall BTS",FALL,1989,"Abundance (numbers/tow)",0,,0,0,Y,
"TILEFISH (GOLDEN TILEFISH)",168546,UNIT,NONE,10,"NMFS fall BTS",FALL,1990,"Abundance (numbers/tow)",0,,0,0,N,0
"TILEFISH (GOLDEN TILEFISH)",168546,UNIT,NONE,10,"NMFS fall BTS",FALL,1991,"Abundance (numbers/tow)",.007,.9582,0,.0209,Y,
"TILEFISH (GOLDEN TILEFISH)",168546,UNIT,NONE,10,"NMFS fall BTS",FALL,1992,"Abundance (numbers/tow)",0,,0,0,N,0
"TILEFISH (GOLDEN TILEFISH)",168546,UNIT,NONE,10,"NMFS fall BTS",FALL,1993,"Abundance (numbers/tow)",0,,0,0,N,0
"TILEFISH (GOLDEN TILEFISH)",168546,UNIT,NONE,10,"NMFS fall BTS",FALL,1994,"Abundance (numbers/tow)",0,,0,0,Y,
"TILEFISH (GOLDEN TILEFISH)",168546,UNIT,NONE,10,"NMFS fall BTS",FALL,1995,"Abundance (numbers/tow)",.0062,.7117,0,.0123,Y,
"TILEFISH (GOLDEN TILEFISH)",168546,UNIT,NONE,10,"NMFS fall BTS",FALL,1996,"Abundance (numbers/tow)",0,,0,0,Y,
"TILEFISH (GOLDEN TILEFISH)",168546,UNIT,NONE,10,"NMFS fall BTS",FALL,1997,"Abundance (numbers/tow)",0,,0,0,Y,
"TILEFISH (GOLDEN TILEFISH)",168546,UNIT,NONE,10,"NMFS fall BTS",FALL,1998,"Abundance (numbers/tow)",0,,0,0,Y,
"TILEFISH (GOLDEN TILEFISH)",168546,UNIT,NONE,10,"NMFS fall BTS",FALL,1999,"Abundance (numbers/tow)",0,,0,0,Y,
"TILEFISH (GOLDEN TILEFISH)",168546,UNIT,NONE,10,"NMFS fall BTS",FALL,2000,"Abundance (numbers/tow)",0,,0,0,Y,
"TILEFISH (GOLDEN TILEFISH)",168546,UNIT,NONE,10,"NMFS fall BTS",FALL,2001,"Abundance (numbers/tow)",.0062,.6891,0,.0123,N,.0062
"TILEFISH (GOLDEN TILEFISH)",168546,UNIT,NONE,10,"NMFS fall BTS",FALL,2002,"Abundance (numbers/tow)",.0131,.6158,0,.027,Y,
"TILEFISH (GOLDEN TILEFISH)",168546,UNIT,NONE,10,"NMFS fall BTS",FALL,2003,"Abundance (numbers/tow)",0,,0,0,N,0
"TILEFISH (GOLDEN TILEFISH)",168546,UNIT,NONE,10,"NMFS fall BTS",FALL,2004,"Abundance (numbers/tow)",0,,0,0,Y,
"TILEFISH (GOLDEN TILEFISH)",168546,UNIT,NONE,10,"NMFS fall BTS",FALL,2005,"Abundance (numbers/tow)",0,,0,0,N,0
"TILEFISH (GOLDEN TILEFISH)",168546,UNIT,NONE,10,"NMFS fall BTS",FALL,2006,"Abundance (numbers/tow)",0,,0,0,N,0
"TILEFISH (GOLDEN TILEFISH)",168546,UNIT,NONE,10,"NMFS fall BTS",FALL,2007,"Abundance (numbers/tow)",.0068,.7202,0,.0136,Y,
