COMMON_NAME,SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,PURPOSE_CODE,SURVEY,SEASON,YEAR,INDEX_TYPE,INDEX,CV,LOWER_90_CI,UPPER_90_CI,STRATA_SAMPLING_COMPLETE,INCOMPLETE_INDEX
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS fall BTS",FALL,1963,"Abundance (numbers/tow)",1.8787,.2921,.9694,2.7703,N,1.8787
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS fall BTS",FALL,1964,"Abundance (numbers/tow)",.8405,.2739,.4589,1.2102,N,.8405
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS fall BTS",FALL,1965,"Abundance (numbers/tow)",1.2755,.2252,.7962,1.7127,N,1.2755
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS fall BTS",FALL,1966,"Abundance (numbers/tow)",4.2569,.317,2.155,6.7641,N,4.2569
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS fall BTS",FALL,1967,"Abundance (numbers/tow)",3.6029,.4456,1.5613,6.8289,N,3.6029
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS fall BTS",FALL,1968,"Abundance (numbers/tow)",1.6545,.2308,1.035,2.3046,N,1.6545
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS fall BTS",FALL,1969,"Abundance (numbers/tow)",5.0153,.2501,3.1314,7.2707,N,5.0153
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS fall BTS",FALL,1970,"Abundance (numbers/tow)",1.8294,.3335,.8767,2.8448,N,1.8294
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS fall BTS",FALL,1971,"Abundance (numbers/tow)",2.1118,.3789,1.0008,3.6383,N,2.1118
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS fall BTS",FALL,1972,"Abundance (numbers/tow)",9.5387,.4686,2.9009,17.7519,N,9.5387
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS fall BTS",FALL,1973,"Abundance (numbers/tow)",13.2421,.3788,6.2115,21.9333,N,13.2421
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS fall BTS",FALL,1974,"Abundance (numbers/tow)",29.2576,.2988,15.1725,44.0375,N,29.2576
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS fall BTS",FALL,1975,"Abundance (numbers/tow)",9.0998,.5818,2.3116,19.7251,N,9.0998
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS fall BTS",FALL,1976,"Abundance (numbers/tow)",8.7308,.2766,4.9409,13.1076,N,8.7308
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS fall BTS",FALL,1977,"Abundance (numbers/tow)",8.9885,.2417,5.7194,12.753,N,8.9885
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS fall BTS",FALL,1978,"Abundance (numbers/tow)",10.163,.3707,5.1379,16.7338,N,10.163
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS fall BTS",FALL,1979,"Abundance (numbers/tow)",4.0822,.1635,3.076,5.3314,Y,
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS fall BTS",FALL,1980,"Abundance (numbers/tow)",2.6675,.2656,1.6365,3.9345,Y,
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS fall BTS",FALL,1981,"Abundance (numbers/tow)",3.863,.2818,2.123,5.6443,N,3.863
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS fall BTS",FALL,1982,"Abundance (numbers/tow)",3.3943,.2807,1.9307,4.9824,N,3.3943
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS fall BTS",FALL,1983,"Abundance (numbers/tow)",3.2726,.2387,1.9991,4.5793,Y,
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS fall BTS",FALL,1984,"Abundance (numbers/tow)",18.4643,.234,11.3798,26.0424,N,18.4643
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS fall BTS",FALL,1985,"Abundance (numbers/tow)",10.8706,.2722,6.2645,15.9723,Y,
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS fall BTS",FALL,1986,"Abundance (numbers/tow)",5.1534,.1948,3.6561,6.9731,Y,
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS fall BTS",FALL,1987,"Abundance (numbers/tow)",3.3683,.4875,1.1399,6.6346,Y,
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS fall BTS",FALL,1988,"Abundance (numbers/tow)",4.5429,.2552,2.6438,6.5189,Y,
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS fall BTS",FALL,1989,"Abundance (numbers/tow)",1.4053,.3357,.6602,2.1913,N,1.4053
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS fall BTS",FALL,1990,"Abundance (numbers/tow)",5.2318,.4457,2.0607,9.437,Y,
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS fall BTS",FALL,1991,"Abundance (numbers/tow)",1.1218,.1924,.817,1.5019,Y,
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS fall BTS",FALL,1992,"Abundance (numbers/tow)",1.8226,.2006,1.2544,2.4485,Y,
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS fall BTS",FALL,1993,"Abundance (numbers/tow)",4.2445,.3773,1.9132,7.262,Y,
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS fall BTS",FALL,1994,"Abundance (numbers/tow)",1.4297,.3119,.7691,2.2147,Y,
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS fall BTS",FALL,1995,"Abundance (numbers/tow)",7.399,.2739,4.2457,10.7097,N,7.399
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS fall BTS",FALL,1996,"Abundance (numbers/tow)",3.1278,.2263,2.0209,4.3847,Y,
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS fall BTS",FALL,1997,"Abundance (numbers/tow)",4.8892,.4425,1.3987,8.5182,Y,
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS fall BTS",FALL,1998,"Abundance (numbers/tow)",12.4928,.1488,9.4644,15.5011,Y,
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS fall BTS",FALL,1999,"Abundance (numbers/tow)",4.175,.2228,2.7069,5.7726,Y,
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS fall BTS",FALL,2000,"Abundance (numbers/tow)",3.8391,.5663,.9282,7.8433,Y,
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS fall BTS",FALL,2001,"Abundance (numbers/tow)",9.851,.3183,5.1219,15.6955,Y,
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS fall BTS",FALL,2002,"Abundance (numbers/tow)",5.4666,.2552,3.2189,7.9077,N,5.4666
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS fall BTS",FALL,2003,"Abundance (numbers/tow)",4.6162,.2802,2.5879,6.7502,N,4.6162
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS fall BTS",FALL,2004,"Abundance (numbers/tow)",7.3706,.3021,3.8784,10.8464,N,7.3706
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS fall BTS",FALL,2005,"Abundance (numbers/tow)",9.0481,.3799,3.7176,15.0362,N,9.0481
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS fall BTS",FALL,2006,"Abundance (numbers/tow)",5.9199,.4572,2.3441,11.4427,Y,
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS fall BTS",FALL,2007,"Abundance (numbers/tow)",15.6307,.3666,6.6844,25.3259,Y,
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS fall BTS",FALL,2008,"Abundance (numbers/tow)",2.5795,.3503,1.2396,4.1291,Y,
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS fall BTS",FALL,2009,"Abundance (numbers/tow)",5.0763,.2248,3.3267,7.0026,Y,
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS fall BTS",FALL,2010,"Abundance (numbers/tow)",6.9084,.2885,3.744,10.5259,N,6.9084
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS fall BTS",FALL,2011,"Abundance (numbers/tow)",2.2687,.2598,1.371,3.3464,Y,
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS fall BTS",FALL,2012,"Abundance (numbers/tow)",2.5661,.2265,1.6753,3.5756,Y,
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS fall BTS",FALL,2013,"Abundance (numbers/tow)",14.0604,.2915,7.7463,21.2093,Y,
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS fall BTS",FALL,2014,"Abundance (numbers/tow)",3.9187,.233,2.4885,5.5244,Y,
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS fall BTS",FALL,2015,"Abundance (numbers/tow)",2.5829,.2961,1.4243,3.9577,Y,
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS fall BTS",FALL,2016,"Abundance (numbers/tow)",2.2251,.2391,1.4143,3.1257,Y,
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS fall BTS",FALL,2017,"Abundance (numbers/tow)",1.8302,.2502,1.0441,2.5846,N,1.8302
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS fall BTS",FALL,2018,"Abundance (numbers/tow)",1.5493,.2266,.9761,2.1231,N,1.5493
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS fall BTS",FALL,2019,"Abundance (numbers/tow)",5.8089,.2072,3.8427,7.8311,Y,
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS fall BTS",FALL,2020,"Abundance (numbers/tow)",,,,,,
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS fall BTS",FALL,2021,"Abundance (numbers/tow)",1.2024,.2249,.7863,1.6615,Y,
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS fall BTS",FALL,2022,"Abundance (numbers/tow)",.7639,.2664,.4501,1.1318,Y,
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS fall BTS",FALL,2023,"Abundance (numbers/tow)",1.3734,.2366,.8424,1.9079,Y,
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS fall BTS",FALL,2024,"Abundance (numbers/tow)",1.86,.2227,1.1825,2.6002,Y,
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS fall BTS",FALL,2025,"Abundance (numbers/tow)",1.8093,.2876,.9926,2.6853,Y,
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS spring BTS",SPRING,1968,"Abundance (numbers/tow)",.6211,.561,.1695,1.3191,N,.6211
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS spring BTS",SPRING,1969,"Abundance (numbers/tow)",.2935,.257,.1781,.4185,N,.2935
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS spring BTS",SPRING,1970,"Abundance (numbers/tow)",.6376,.347,.3167,1.0413,N,.6376
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS spring BTS",SPRING,1971,"Abundance (numbers/tow)",.9875,.2358,.5988,1.3822,N,.9875
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS spring BTS",SPRING,1972,"Abundance (numbers/tow)",1.0012,.2295,.6471,1.3943,N,1.0012
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS spring BTS",SPRING,1973,"Abundance (numbers/tow)",1.7071,.4907,.6462,3.3579,N,1.7071
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS spring BTS",SPRING,1974,"Abundance (numbers/tow)",2.3943,.2945,1.3022,3.6194,N,2.3943
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS spring BTS",SPRING,1975,"Abundance (numbers/tow)",2.2227,.2914,1.319,3.356,N,2.2227
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS spring BTS",SPRING,1976,"Abundance (numbers/tow)",24.4837,.521,3.6928,45.5126,N,24.4837
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS spring BTS",SPRING,1977,"Abundance (numbers/tow)",6.0964,.732,1.1975,14.8592,N,6.0964
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS spring BTS",SPRING,1978,"Abundance (numbers/tow)",3.992,.2456,2.4226,5.5798,N,3.992
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS spring BTS",SPRING,1979,"Abundance (numbers/tow)",1.0746,.2347,.6862,1.5175,N,1.0746
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS spring BTS",SPRING,1980,"Abundance (numbers/tow)",.9084,.3931,.4289,1.587,Y,
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS spring BTS",SPRING,1981,"Abundance (numbers/tow)",1.0252,.2197,.6609,1.4113,N,1.0252
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS spring BTS",SPRING,1982,"Abundance (numbers/tow)",1.6534,.5053,.595,3.31,N,1.6534
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS spring BTS",SPRING,1983,"Abundance (numbers/tow)",3.552,.3387,1.6134,5.51,Y,
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS spring BTS",SPRING,1984,"Abundance (numbers/tow)",1.9806,.2319,1.2456,2.7437,Y,
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS spring BTS",SPRING,1985,"Abundance (numbers/tow)",1.984,.1344,1.565,2.4338,Y,
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS spring BTS",SPRING,1986,"Abundance (numbers/tow)",.8605,.1994,.5968,1.1689,Y,
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS spring BTS",SPRING,1987,"Abundance (numbers/tow)",4.3499,.5867,1.1119,9.2431,Y,
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS spring BTS",SPRING,1988,"Abundance (numbers/tow)",2.8504,.3396,1.5702,4.7257,Y,
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS spring BTS",SPRING,1989,"Abundance (numbers/tow)",4.3238,.5422,1.2196,7.7068,N,4.3238
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS spring BTS",SPRING,1990,"Abundance (numbers/tow)",1.2491,.2788,.6911,1.851,N,1.2491
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS spring BTS",SPRING,1991,"Abundance (numbers/tow)",1.2414,.179,.8935,1.6136,Y,
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS spring BTS",SPRING,1992,"Abundance (numbers/tow)",.8196,.1824,.5794,1.0652,N,.8196
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS spring BTS",SPRING,1993,"Abundance (numbers/tow)",1.3103,.2027,.8932,1.7728,Y,
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS spring BTS",SPRING,1994,"Abundance (numbers/tow)",2.7182,.5568,.619,5.4288,Y,
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,10,"NMFS spring BTS",SPRING,1995,"Abundance (numbers/tow)",.9956,.2751,.5639,1.4487,Y,
