COMMON_NAME,SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,PURPOSE_CODE,SURVEY,SEASON,YEAR,INDEX_TYPE,INDEX,CV,LOWER_90_CI,UPPER_90_CI,STRATA_SAMPLING_COMPLETE,INCOMPLETE_INDEX
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,SNEMA,NONE,10,"NMFS fall BTS",FALL,1963,"Abundance (numbers/tow)",42.0524,.5839,9.8452,77.4131,N,42.0524
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,SNEMA,NONE,10,"NMFS fall BTS",FALL,1964,"Abundance (numbers/tow)",6.5807,.3122,3.3942,9.9963,N,6.5807
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,SNEMA,NONE,10,"NMFS fall BTS",FALL,1965,"Abundance (numbers/tow)",6.1572,.2155,4.0869,8.5627,N,6.1572
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,SNEMA,NONE,10,"NMFS fall BTS",FALL,1966,"Abundance (numbers/tow)",8.3812,.2629,4.7528,12.1226,N,8.3812
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,SNEMA,NONE,10,"NMFS fall BTS",FALL,1967,"Abundance (numbers/tow)",6.7695,.2107,4.5182,9.2934,N,6.7695
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,SNEMA,NONE,10,"NMFS fall BTS",FALL,1968,"Abundance (numbers/tow)",6.5513,.2274,4.1442,9.0838,N,6.5513
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,SNEMA,NONE,10,"NMFS fall BTS",FALL,1969,"Abundance (numbers/tow)",3.239,.1896,2.2305,4.2571,N,3.239
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,SNEMA,NONE,10,"NMFS fall BTS",FALL,1970,"Abundance (numbers/tow)",2.5127,.3143,1.326,3.9168,N,2.5127
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,SNEMA,NONE,10,"NMFS fall BTS",FALL,1971,"Abundance (numbers/tow)",2.8794,.2039,1.9552,3.8896,N,2.8794
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,SNEMA,NONE,10,"NMFS fall BTS",FALL,1972,"Abundance (numbers/tow)",6.0477,.1462,4.6411,7.5741,N,6.0477
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,SNEMA,NONE,10,"NMFS fall BTS",FALL,1973,"Abundance (numbers/tow)",6.0135,.2723,3.4749,8.7048,N,6.0135
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,SNEMA,NONE,10,"NMFS fall BTS",FALL,1974,"Abundance (numbers/tow)",1.8516,.1716,1.3412,2.3866,N,1.8516
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,SNEMA,NONE,10,"NMFS fall BTS",FALL,1975,"Abundance (numbers/tow)",1.9997,.2259,1.3192,2.7806,N,1.9997
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,SNEMA,NONE,10,"NMFS fall BTS",FALL,1976,"Abundance (numbers/tow)",3.142,.2276,2.0141,4.3462,N,3.142
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,SNEMA,NONE,10,"NMFS fall BTS",FALL,1977,"Abundance (numbers/tow)",3.9296,.2286,2.552,5.528,Y,
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,SNEMA,NONE,10,"NMFS fall BTS",FALL,1978,"Abundance (numbers/tow)",3.644,.2176,2.3763,4.9011,Y,
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,SNEMA,NONE,10,"NMFS fall BTS",FALL,1979,"Abundance (numbers/tow)",5.8835,.1601,4.421,7.496,Y,
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,SNEMA,NONE,10,"NMFS fall BTS",FALL,1980,"Abundance (numbers/tow)",2.658,.1545,2.0215,3.3607,N,2.658
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,SNEMA,NONE,10,"NMFS fall BTS",FALL,1981,"Abundance (numbers/tow)",3.7743,.1885,2.592,4.8928,Y,
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,SNEMA,NONE,10,"NMFS fall BTS",FALL,1982,"Abundance (numbers/tow)",8.9532,.1917,6.2127,11.9544,Y,
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,SNEMA,NONE,10,"NMFS fall BTS",FALL,1983,"Abundance (numbers/tow)",3.0513,.189,2.1851,4.0544,Y,
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,SNEMA,NONE,10,"NMFS fall BTS",FALL,1984,"Abundance (numbers/tow)",2.7485,.1922,1.8798,3.6257,N,2.7485
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,SNEMA,NONE,10,"NMFS fall BTS",FALL,1985,"Abundance (numbers/tow)",3.3373,.1668,2.4323,4.2976,Y,
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,SNEMA,NONE,10,"NMFS fall BTS",FALL,1986,"Abundance (numbers/tow)",3.4467,.6625,.6839,8.4216,Y,
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,SNEMA,NONE,10,"NMFS fall BTS",FALL,1987,"Abundance (numbers/tow)",2.6085,.3172,1.3499,4.0491,N,2.6085
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,SNEMA,NONE,10,"NMFS fall BTS",FALL,1988,"Abundance (numbers/tow)",2.2466,.3766,.931,3.742,Y,
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,SNEMA,NONE,10,"NMFS fall BTS",FALL,1989,"Abundance (numbers/tow)",.9759,.2419,.5918,1.3715,Y,
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,SNEMA,NONE,10,"NMFS fall BTS",FALL,1990,"Abundance (numbers/tow)",.9107,.2526,.5497,1.2827,N,.9107
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,SNEMA,NONE,10,"NMFS fall BTS",FALL,1991,"Abundance (numbers/tow)",1.6286,.3552,.8014,2.7007,Y,
"FLOUNDER, SAND DAB (WINDOWPANE)",172746,SNEMA,NONE,10,"NMFS fall BTS",FALL,1992,"Abundance (numbers/tow)",1.0721,.1595,.7953,1.3652,N,1.0721
