COMMON_NAME,SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,PURPOSE_CODE,SURVEY,SEASON,YEAR,INDEX_TYPE,INDEX,CV,LOWER_90_CI,UPPER_90_CI,STRATA_SAMPLING_COMPLETE,INCOMPLETE_INDEX
"FLOUNDER, WINTER",172905,GBK,NONE,10,"NMFS fall BTS",FALL,1963,"Abundance (numbers/tow)",1.9423,.3756,.7895,3.128,Y,
"FLOUNDER, WINTER",172905,GBK,NONE,10,"NMFS fall BTS",FALL,1964,"Abundance (numbers/tow)",1.7522,.5254,.4452,3.3646,Y,
"FLOUNDER, WINTER",172905,GBK,NONE,10,"NMFS fall BTS",FALL,1965,"Abundance (numbers/tow)",2.6956,.3394,1.332,4.3557,Y,
"FLOUNDER, WINTER",172905,GBK,NONE,10,"NMFS fall BTS",FALL,1966,"Abundance (numbers/tow)",4.7855,.3563,2.1339,7.7983,Y,
"FLOUNDER, WINTER",172905,GBK,NONE,10,"NMFS fall BTS",FALL,1967,"Abundance (numbers/tow)",1.7842,.3971,.6706,3.0141,Y,
"FLOUNDER, WINTER",172905,GBK,NONE,10,"NMFS fall BTS",FALL,1968,"Abundance (numbers/tow)",1.922,.2135,1.2736,2.6352,Y,
"FLOUNDER, WINTER",172905,GBK,NONE,10,"NMFS fall BTS",FALL,1969,"Abundance (numbers/tow)",2.5865,.3078,1.3965,4.0686,Y,
"FLOUNDER, WINTER",172905,GBK,NONE,10,"NMFS fall BTS",FALL,1970,"Abundance (numbers/tow)",7.0198,.4369,2.4916,12.6794,Y,
"FLOUNDER, WINTER",172905,GBK,NONE,10,"NMFS fall BTS",FALL,1971,"Abundance (numbers/tow)",1.528,.3443,.7499,2.4577,Y,
"FLOUNDER, WINTER",172905,GBK,NONE,10,"NMFS fall BTS",FALL,1972,"Abundance (numbers/tow)",1.6389,.2875,.8874,2.4524,Y,
"FLOUNDER, WINTER",172905,GBK,NONE,10,"NMFS fall BTS",FALL,1973,"Abundance (numbers/tow)",2.5594,.3203,1.2882,3.9755,Y,
"FLOUNDER, WINTER",172905,GBK,NONE,10,"NMFS fall BTS",FALL,1974,"Abundance (numbers/tow)",1.3586,.3492,.6657,2.2367,Y,
"FLOUNDER, WINTER",172905,GBK,NONE,10,"NMFS fall BTS",FALL,1975,"Abundance (numbers/tow)",3.7426,.4903,1.2307,7.1716,Y,
"FLOUNDER, WINTER",172905,GBK,NONE,10,"NMFS fall BTS",FALL,1976,"Abundance (numbers/tow)",5.5182,.3434,2.6807,8.7362,Y,
"FLOUNDER, WINTER",172905,GBK,NONE,10,"NMFS fall BTS",FALL,1977,"Abundance (numbers/tow)",4.81,.2362,3.1841,6.8713,Y,
"FLOUNDER, WINTER",172905,GBK,NONE,10,"NMFS fall BTS",FALL,1978,"Abundance (numbers/tow)",4.2241,.1821,3.0353,5.4866,Y,
"FLOUNDER, WINTER",172905,GBK,NONE,10,"NMFS fall BTS",FALL,1979,"Abundance (numbers/tow)",5.0601,.2512,3.1019,7.3286,Y,
"FLOUNDER, WINTER",172905,GBK,NONE,10,"NMFS fall BTS",FALL,1980,"Abundance (numbers/tow)",2.0292,.2333,1.269,2.8228,Y,
"FLOUNDER, WINTER",172905,GBK,NONE,10,"NMFS fall BTS",FALL,1981,"Abundance (numbers/tow)",5.4985,.2372,3.4528,7.7828,Y,
"FLOUNDER, WINTER",172905,GBK,NONE,10,"NMFS fall BTS",FALL,1982,"Abundance (numbers/tow)",5.6096,.1667,4.1264,7.1376,Y,
"FLOUNDER, WINTER",172905,GBK,NONE,10,"NMFS fall BTS",FALL,1983,"Abundance (numbers/tow)",3.03,.2942,1.5969,4.4793,Y,
"FLOUNDER, WINTER",172905,GBK,NONE,10,"NMFS fall BTS",FALL,1984,"Abundance (numbers/tow)",4.9019,.3666,2.0688,7.9694,Y,
"FLOUNDER, WINTER",172905,GBK,NONE,10,"NMFS fall BTS",FALL,1985,"Abundance (numbers/tow)",1.9807,.3183,.9686,2.9867,Y,
"FLOUNDER, WINTER",172905,GBK,NONE,10,"NMFS fall BTS",FALL,1986,"Abundance (numbers/tow)",3.3139,.3971,1.4745,5.2843,Y,
"FLOUNDER, WINTER",172905,GBK,NONE,10,"NMFS fall BTS",FALL,1987,"Abundance (numbers/tow)",.9628,.3128,.5255,1.5284,Y,
"FLOUNDER, WINTER",172905,GBK,NONE,10,"NMFS fall BTS",FALL,1988,"Abundance (numbers/tow)",3.8956,.5682,1.2018,8.3094,Y,
"FLOUNDER, WINTER",172905,GBK,NONE,10,"NMFS fall BTS",FALL,1989,"Abundance (numbers/tow)",1.4313,.4154,.5342,2.4928,Y,
"FLOUNDER, WINTER",172905,GBK,NONE,10,"NMFS fall BTS",FALL,1990,"Abundance (numbers/tow)",.506,.305,.2819,.7854,Y,
"FLOUNDER, WINTER",172905,GBK,NONE,10,"NMFS fall BTS",FALL,1991,"Abundance (numbers/tow)",.3119,.3551,.1405,.5102,Y,
"FLOUNDER, WINTER",172905,GBK,NONE,10,"NMFS fall BTS",FALL,1992,"Abundance (numbers/tow)",.6869,.3401,.3236,1.1066,Y,
"FLOUNDER, WINTER",172905,GBK,NONE,10,"NMFS fall BTS",FALL,1993,"Abundance (numbers/tow)",1.2186,.3415,.5871,1.9647,Y,
"FLOUNDER, WINTER",172905,GBK,NONE,10,"NMFS fall BTS",FALL,1994,"Abundance (numbers/tow)",.8477,.3002,.4611,1.2888,Y,
"FLOUNDER, WINTER",172905,GBK,NONE,10,"NMFS fall BTS",FALL,1995,"Abundance (numbers/tow)",2.739,.2749,1.5705,4.0595,Y,
"FLOUNDER, WINTER",172905,GBK,NONE,10,"NMFS fall BTS",FALL,1996,"Abundance (numbers/tow)",1.478,.2295,.9396,2.0355,Y,
"FLOUNDER, WINTER",172905,GBK,NONE,10,"NMFS fall BTS",FALL,1997,"Abundance (numbers/tow)",1.7787,.1908,1.229,2.372,Y,
"FLOUNDER, WINTER",172905,GBK,NONE,10,"NMFS fall BTS",FALL,1998,"Abundance (numbers/tow)",3.498,.255,2.0411,5.0271,Y,
"FLOUNDER, WINTER",172905,GBK,NONE,10,"NMFS fall BTS",FALL,1999,"Abundance (numbers/tow)",2.4475,.3429,1.1785,3.9011,Y,
"FLOUNDER, WINTER",172905,GBK,NONE,10,"NMFS fall BTS",FALL,2000,"Abundance (numbers/tow)",4.6038,.5331,1.2799,9.3653,Y,
"FLOUNDER, WINTER",172905,GBK,NONE,10,"NMFS fall BTS",FALL,2001,"Abundance (numbers/tow)",6.083,.3237,2.8989,9.6061,Y,
"FLOUNDER, WINTER",172905,GBK,NONE,10,"NMFS fall BTS",FALL,2002,"Abundance (numbers/tow)",4.6707,.3397,2.2723,7.5272,Y,
"FLOUNDER, WINTER",172905,GBK,NONE,10,"NMFS fall BTS",FALL,2003,"Abundance (numbers/tow)",2.3569,.36,1.0935,3.7522,Y,
"FLOUNDER, WINTER",172905,GBK,NONE,10,"NMFS fall BTS",FALL,2004,"Abundance (numbers/tow)",5.0097,.4119,2.0582,8.4778,Y,
"FLOUNDER, WINTER",172905,GBK,NONE,10,"NMFS fall BTS",FALL,2005,"Abundance (numbers/tow)",1.941,.2961,1.0886,2.9618,Y,
"FLOUNDER, WINTER",172905,GBK,NONE,10,"NMFS fall BTS",FALL,2006,"Abundance (numbers/tow)",1.3631,.2657,.8033,1.9681,Y,
"FLOUNDER, WINTER",172905,GBK,NONE,10,"NMFS fall BTS",FALL,2007,"Abundance (numbers/tow)",2.1337,.3746,.9529,3.6486,Y,
"FLOUNDER, WINTER",172905,GBK,NONE,10,"NMFS fall BTS",FALL,2008,"Abundance (numbers/tow)",4.5805,.2692,2.6142,6.7308,Y,
"FLOUNDER, WINTER",172905,GBK,NONE,10,"NMFS fall BTS",FALL,2009,"Abundance (numbers/tow)",6.7631,.2386,4.1364,9.4478,Y,
"FLOUNDER, WINTER",172905,GBK,NONE,10,"NMFS fall BTS",FALL,2010,"Abundance (numbers/tow)",2.4386,.3356,1.2291,3.8618,Y,
"FLOUNDER, WINTER",172905,GBK,NONE,10,"NMFS fall BTS",FALL,2011,"Abundance (numbers/tow)",5.982,.2958,3.2134,9.1101,Y,
