COMMON_NAME,SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,PURPOSE_CODE,SURVEY,SEASON,YEAR,INDEX_TYPE,INDEX,CV,LOWER_90_CI,UPPER_90_CI,STRATA_SAMPLING_COMPLETE,INCOMPLETE_INDEX
"FLOUNDER, WINTER",172905,GOMWF,NONE,10,"NMFS fall BTS",FALL,2009,"Abundance (numbers/tow)",68.6201,.2324,42.104,95.0616,Y,
"FLOUNDER, WINTER",172905,GOMWF,NONE,10,"NMFS fall BTS",FALL,2010,"Abundance (numbers/tow)",56.0858,.2292,34.8807,80.3875,N,56.0858
"FLOUNDER, WINTER",172905,GOMWF,NONE,10,"NMFS fall BTS",FALL,2011,"Abundance (numbers/tow)",44.9013,.1809,32.2101,59.8215,Y,
"FLOUNDER, WINTER",172905,GOMWF,NONE,10,"NMFS fall BTS",FALL,2012,"Abundance (numbers/tow)",35.2802,.134,27.2454,43.3484,Y,
"FLOUNDER, WINTER",172905,GOMWF,NONE,10,"NMFS fall BTS",FALL,2013,"Abundance (numbers/tow)",36.9042,.2354,22.69,51.9358,Y,
"FLOUNDER, WINTER",172905,GOMWF,NONE,10,"NMFS fall BTS",FALL,2014,"Abundance (numbers/tow)",32.3007,.1344,24.9297,39.0518,Y,
"FLOUNDER, WINTER",172905,GOMWF,NONE,10,"NMFS fall BTS",FALL,2015,"Abundance (numbers/tow)",43.2314,.1745,31.1806,56.3674,Y,
"FLOUNDER, WINTER",172905,GOMWF,NONE,10,"NMFS fall BTS",FALL,2016,"Abundance (numbers/tow)",35.6411,.1262,28.1571,42.9433,Y,
"FLOUNDER, WINTER",172905,GOMWF,NONE,10,"NMFS fall BTS",FALL,2017,"Abundance (numbers/tow)",19.1746,.2482,12.2008,27.813,N,19.1746
"FLOUNDER, WINTER",172905,GOMWF,NONE,10,"NMFS fall BTS",FALL,2018,"Abundance (numbers/tow)",33.5087,.1114,26.9864,39.5023,Y,
"FLOUNDER, WINTER",172905,GOMWF,NONE,10,"NMFS fall BTS",FALL,2019,"Abundance (numbers/tow)",29.459,.0996,25.0309,34.5866,Y,
"FLOUNDER, WINTER",172905,GOMWF,NONE,10,"NMFS fall BTS",FALL,2020,"Abundance (numbers/tow)",,,,,,
"FLOUNDER, WINTER",172905,GOMWF,NONE,10,"NMFS fall BTS",FALL,2021,"Abundance (numbers/tow)",43.9898,.2364,28.3141,62.5552,Y,
"FLOUNDER, WINTER",172905,GOMWF,NONE,10,"NMFS fall BTS",FALL,2022,"Abundance (numbers/tow)",53.2868,.2066,35.5896,72.5113,Y,
"FLOUNDER, WINTER",172905,GOMWF,NONE,10,"NMFS fall BTS",FALL,2023,"Abundance (numbers/tow)",44.576,.1947,30.3116,58.4996,Y,
"FLOUNDER, WINTER",172905,GOMWF,NONE,10,"NMFS fall BTS",FALL,2024,"Abundance (numbers/tow)",60.355,.2002,41.0263,80.8391,Y,
"FLOUNDER, WINTER",172905,GOMWF,NONE,10,"NMFS fall BTS",FALL,2025,"Abundance (numbers/tow)",81.3732,.1542,60.7227,102.3171,Y,
"FLOUNDER, WINTER",172905,GOMWF,NONE,10,"NMFS spring BTS",SPRING,2009,"Abundance (numbers/tow)",37.387,.3622,19.3765,62.1765,Y,
"FLOUNDER, WINTER",172905,GOMWF,NONE,10,"NMFS spring BTS",SPRING,2010,"Abundance (numbers/tow)",34.9436,.1246,27.6945,41.9054,Y,
"FLOUNDER, WINTER",172905,GOMWF,NONE,10,"NMFS spring BTS",SPRING,2011,"Abundance (numbers/tow)",27.7303,.2154,18.6738,38.6396,Y,
"FLOUNDER, WINTER",172905,GOMWF,NONE,10,"NMFS spring BTS",SPRING,2012,"Abundance (numbers/tow)",41.421,.1866,29.6719,54.7124,Y,
"FLOUNDER, WINTER",172905,GOMWF,NONE,10,"NMFS spring BTS",SPRING,2013,"Abundance (numbers/tow)",35.1426,.1561,26.2885,44.5698,Y,
"FLOUNDER, WINTER",172905,GOMWF,NONE,10,"NMFS spring BTS",SPRING,2014,"Abundance (numbers/tow)",43.1935,.1928,30.1204,57.7047,Y,
"FLOUNDER, WINTER",172905,GOMWF,NONE,10,"NMFS spring BTS",SPRING,2015,"Abundance (numbers/tow)",38.0388,.1366,29.6882,46.8757,Y,
"FLOUNDER, WINTER",172905,GOMWF,NONE,10,"NMFS spring BTS",SPRING,2016,"Abundance (numbers/tow)",72.3439,.1913,51.2064,96.1296,Y,
"FLOUNDER, WINTER",172905,GOMWF,NONE,10,"NMFS spring BTS",SPRING,2017,"Abundance (numbers/tow)",41.8106,.3358,22.79,65.4352,Y,
"FLOUNDER, WINTER",172905,GOMWF,NONE,10,"NMFS spring BTS",SPRING,2018,"Abundance (numbers/tow)",50.3555,.3238,24.3943,79.3293,Y,
"FLOUNDER, WINTER",172905,GOMWF,NONE,10,"NMFS spring BTS",SPRING,2019,"Abundance (numbers/tow)",25.0744,.1576,18.951,31.6789,Y,
"FLOUNDER, WINTER",172905,GOMWF,NONE,10,"NMFS spring BTS",SPRING,2020,"Abundance (numbers/tow)",,,,,,
"FLOUNDER, WINTER",172905,GOMWF,NONE,10,"NMFS spring BTS",SPRING,2021,"Abundance (numbers/tow)",78.4105,.2955,45.4061,123.3053,Y,
"FLOUNDER, WINTER",172905,GOMWF,NONE,10,"NMFS spring BTS",SPRING,2022,"Abundance (numbers/tow)",35.8056,.1454,27.4492,44.5901,Y,
"FLOUNDER, WINTER",172905,GOMWF,NONE,10,"NMFS spring BTS",SPRING,2023,"Abundance (numbers/tow)",,,,,,
"FLOUNDER, WINTER",172905,GOMWF,NONE,10,"NMFS spring BTS",SPRING,2024,"Abundance (numbers/tow)",56.2515,.2251,36.0104,77.5818,Y,
"FLOUNDER, WINTER",172905,GOMWF,NONE,10,"NMFS spring BTS",SPRING,2025,"Abundance (numbers/tow)",34.8632,.1187,28.0951,42.0092,Y,
"FLOUNDER, WINTER",172905,GOMWF,NONE,11,"MADMF fall BTS",FALL,2009,"Abundance (numbers/tow)",66.6257,.1897,46.2036,87.4833,Y,
"FLOUNDER, WINTER",172905,GOMWF,NONE,11,"MADMF fall BTS",FALL,2010,"Abundance (numbers/tow)",60.6785,.1489,45.4714,76.13,Y,
"FLOUNDER, WINTER",172905,GOMWF,NONE,11,"MADMF fall BTS",FALL,2011,"Abundance (numbers/tow)",136.1823,.2965,69.7597,203.4593,Y,
"FLOUNDER, WINTER",172905,GOMWF,NONE,11,"MADMF fall BTS",FALL,2012,"Abundance (numbers/tow)",46.3732,.2208,30.1046,63.7031,Y,
"FLOUNDER, WINTER",172905,GOMWF,NONE,11,"MADMF fall BTS",FALL,2013,"Abundance (numbers/tow)",22.0874,.1584,16.2662,27.8803,Y,
