COMMON_NAME,SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,PURPOSE_CODE,SURVEY,SEASON,YEAR,INDEX_TYPE,INDEX,CV,LOWER_90_CI,UPPER_90_CI,STRATA_SAMPLING_COMPLETE,INCOMPLETE_INDEX
"FLOUNDER, WINTER",172905,GOM,NONE,10,"NMFS fall BTS",FALL,1963,"Abundance (numbers/tow)",1.9964,.2158,1.3011,2.7387,N,1.9964
"FLOUNDER, WINTER",172905,GOM,NONE,10,"NMFS fall BTS",FALL,1964,"Abundance (numbers/tow)",.3805,.8086,0,.761,N,.3805
"FLOUNDER, WINTER",172905,GOM,NONE,10,"NMFS fall BTS",FALL,1965,"Abundance (numbers/tow)",3.6496,.8007,.0846,10.5236,N,3.6496
"FLOUNDER, WINTER",172905,GOM,NONE,10,"NMFS fall BTS",FALL,1966,"Abundance (numbers/tow)",.761,.3241,.2854,1.1415,N,.761
"FLOUNDER, WINTER",172905,GOM,NONE,10,"NMFS fall BTS",FALL,1967,"Abundance (numbers/tow)",.2279,.1458,.1903,.3032,N,.2279
"FLOUNDER, WINTER",172905,GOM,NONE,10,"NMFS fall BTS",FALL,1968,"Abundance (numbers/tow)",.7218,.366,.3039,1.1396,N,.7218
"FLOUNDER, WINTER",172905,GOM,NONE,10,"NMFS fall BTS",FALL,1969,"Abundance (numbers/tow)",1.7513,.1625,1.2631,2.2085,N,1.7513
"FLOUNDER, WINTER",172905,GOM,NONE,10,"NMFS fall BTS",FALL,1970,"Abundance (numbers/tow)",1.1495,.2955,.6316,1.8049,N,1.1495
"FLOUNDER, WINTER",172905,GOM,NONE,10,"NMFS fall BTS",FALL,1971,"Abundance (numbers/tow)",1.0443,.4576,.3425,1.8528,N,1.0443
"FLOUNDER, WINTER",172905,GOM,NONE,10,"NMFS fall BTS",FALL,1972,"Abundance (numbers/tow)",2.9984,.3097,1.519,4.5126,N,2.9984
"FLOUNDER, WINTER",172905,GOM,NONE,10,"NMFS fall BTS",FALL,1973,"Abundance (numbers/tow)",1.084,.2103,.7135,1.4834,N,1.084
"FLOUNDER, WINTER",172905,GOM,NONE,10,"NMFS fall BTS",FALL,1974,"Abundance (numbers/tow)",4.991,.6193,.964,9.4493,N,4.991
"FLOUNDER, WINTER",172905,GOM,NONE,10,"NMFS fall BTS",FALL,1975,"Abundance (numbers/tow)",.1494,.7064,0,.3425,N,.1494
"FLOUNDER, WINTER",172905,GOM,NONE,10,"NMFS fall BTS",FALL,1976,"Abundance (numbers/tow)",1.3501,.3194,.6406,2.0607,N,1.3501
"FLOUNDER, WINTER",172905,GOM,NONE,10,"NMFS fall BTS",FALL,1977,"Abundance (numbers/tow)",6.4757,.3604,3.2102,10.7945,N,6.4757
"FLOUNDER, WINTER",172905,GOM,NONE,10,"NMFS fall BTS",FALL,1978,"Abundance (numbers/tow)",1.4163,.3755,.6646,2.3749,N,1.4163
"FLOUNDER, WINTER",172905,GOM,NONE,10,"NMFS fall BTS",FALL,1979,"Abundance (numbers/tow)",6.0029,.1506,4.5491,7.486,Y,
