COMMON_NAME,SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,PURPOSE_CODE,SURVEY,SEASON,YEAR,INDEX_TYPE,INDEX,CV,LOWER_90_CI,UPPER_90_CI,STRATA_SAMPLING_COMPLETE,INCOMPLETE_INDEX
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS fall BTS",FALL,1963,"Abundance (numbers/tow)",10.6418,.2898,5.9632,16.2928,N,10.6418
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS fall BTS",FALL,1964,"Abundance (numbers/tow)",16.0414,.1922,10.9824,21.1034,N,16.0414
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS fall BTS",FALL,1965,"Abundance (numbers/tow)",18.2276,.2627,10.6273,26.1523,N,18.2276
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS fall BTS",FALL,1966,"Abundance (numbers/tow)",11.5583,.2763,6.5511,17.0308,N,11.5583
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS fall BTS",FALL,1967,"Abundance (numbers/tow)",10.4124,.1872,7.2911,13.5232,N,10.4124
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS fall BTS",FALL,1968,"Abundance (numbers/tow)",9.2581,.1942,6.4444,12.3894,N,9.2581
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS fall BTS",FALL,1969,"Abundance (numbers/tow)",8.0762,.4146,3.5244,14.7947,N,8.0762
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS fall BTS",FALL,1970,"Abundance (numbers/tow)",5.8975,.3203,2.9325,9.1388,N,5.8975
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS fall BTS",FALL,1971,"Abundance (numbers/tow)",4.4136,.161,3.2744,5.6328,N,4.4136
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS fall BTS",FALL,1972,"Abundance (numbers/tow)",9.0833,.3605,4.3138,15.0859,N,9.0833
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS fall BTS",FALL,1973,"Abundance (numbers/tow)",3.1729,.2523,1.9393,4.5671,N,3.1729
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS fall BTS",FALL,1974,"Abundance (numbers/tow)",2.3951,.2732,1.337,3.475,N,2.3951
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS fall BTS",FALL,1975,"Abundance (numbers/tow)",2.6145,.1833,1.8811,3.4743,N,2.6145
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS fall BTS",FALL,1976,"Abundance (numbers/tow)",2.8268,.2859,1.5846,4.2528,N,2.8268
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS fall BTS",FALL,1977,"Abundance (numbers/tow)",5.5341,.2098,3.7635,7.5576,N,5.5341
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS fall BTS",FALL,1978,"Abundance (numbers/tow)",4.451,.1596,3.3157,5.7273,N,4.451
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS fall BTS",FALL,1979,"Abundance (numbers/tow)",10.6389,.1848,7.7235,14.1563,Y,
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS fall BTS",FALL,1980,"Abundance (numbers/tow)",10.1758,.2929,5.4207,15.1398,Y,
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS fall BTS",FALL,1981,"Abundance (numbers/tow)",11.0567,.1943,7.5788,14.678,N,11.0567
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS fall BTS",FALL,1982,"Abundance (numbers/tow)",4.9587,.175,3.5468,6.4064,N,4.9587
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS fall BTS",FALL,1983,"Abundance (numbers/tow)",10.0309,.3413,5.0862,16.3336,N,10.0309
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS fall BTS",FALL,1984,"Abundance (numbers/tow)",2.7482,.2072,1.8633,3.7945,Y,
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS fall BTS",FALL,1985,"Abundance (numbers/tow)",2.5374,.1845,1.7592,3.3665,N,2.5374
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS fall BTS",FALL,1986,"Abundance (numbers/tow)",1.5969,.2236,1.0178,2.214,Y,
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS fall BTS",FALL,1987,"Abundance (numbers/tow)",1.365,.2495,.8664,1.9965,Y,
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS fall BTS",FALL,1988,"Abundance (numbers/tow)",1.1717,.1761,.8417,1.498,Y,
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS fall BTS",FALL,1989,"Abundance (numbers/tow)",1.6133,.3847,.6976,2.6764,N,1.6133
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS fall BTS",FALL,1990,"Abundance (numbers/tow)",2.2674,.2805,1.2841,3.313,Y,
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS fall BTS",FALL,1991,"Abundance (numbers/tow)",2.1628,.2279,1.3657,2.9968,Y,
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS fall BTS",FALL,1992,"Abundance (numbers/tow)",3.3199,.3022,1.8622,5.0887,Y,
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS fall BTS",FALL,1993,"Abundance (numbers/tow)",1.3209,.2707,.793,1.9792,Y,
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS fall BTS",FALL,1994,"Abundance (numbers/tow)",4.7628,.2327,3.0064,6.6092,N,4.7628
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS fall BTS",FALL,1995,"Abundance (numbers/tow)",2.1325,.1928,1.4924,2.7871,Y,
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS fall BTS",FALL,1996,"Abundance (numbers/tow)",3.4893,.3762,1.3845,5.6992,Y,
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS fall BTS",FALL,1997,"Abundance (numbers/tow)",9.1358,.3025,4.9968,14.1863,Y,
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS fall BTS",FALL,1998,"Abundance (numbers/tow)",7.299,.1171,5.9092,8.6116,Y,
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS fall BTS",FALL,1999,"Abundance (numbers/tow)",4.1365,.1548,3.1063,5.2132,Y,
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS fall BTS",FALL,2000,"Abundance (numbers/tow)",6.5268,.2407,3.9452,9.1221,N,6.5268
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS fall BTS",FALL,2001,"Abundance (numbers/tow)",3.3871,.2571,2.0915,4.9153,N,3.3871
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS fall BTS",FALL,2002,"Abundance (numbers/tow)",10.4377,.1762,7.4811,13.6145,Y,
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS fall BTS",FALL,2003,"Abundance (numbers/tow)",3.5272,.2302,2.1565,4.8409,N,3.5272
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS fall BTS",FALL,2004,"Abundance (numbers/tow)",3.812,.2702,2.1743,5.5028,Y,
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS fall BTS",FALL,2005,"Abundance (numbers/tow)",4.3785,.2785,2.5516,6.6469,Y,
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS fall BTS",FALL,2006,"Abundance (numbers/tow)",3.2643,.2769,1.8897,4.9265,Y,
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS fall BTS",FALL,2007,"Abundance (numbers/tow)",4.1435,.2955,2.2272,6.2286,Y,
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS fall BTS",FALL,2008,"Abundance (numbers/tow)",3.3187,.3947,1.4917,5.6267,Y,
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS fall BTS",FALL,2009,"Abundance (numbers/tow)",2.1848,.2798,1.2528,3.2261,Y,
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS fall BTS",FALL,2010,"Abundance (numbers/tow)",3.1192,.2823,1.7085,4.5859,Y,
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS fall BTS",FALL,2011,"Abundance (numbers/tow)",1.6522,.2269,1.0535,2.2941,Y,
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS fall BTS",FALL,2012,"Abundance (numbers/tow)",7.2658,.4828,2.3823,13.6993,Y,
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS fall BTS",FALL,2013,"Abundance (numbers/tow)",.7448,.3083,.4115,1.1736,Y,
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS fall BTS",FALL,2014,"Abundance (numbers/tow)",.8193,.1999,.5577,1.0969,Y,
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS fall BTS",FALL,2015,"Abundance (numbers/tow)",1.7844,.3538,.7353,2.8534,Y,
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS fall BTS",FALL,2016,"Abundance (numbers/tow)",1.0315,.1661,.761,1.3035,Y,
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS fall BTS",FALL,2017,"Abundance (numbers/tow)",9.5743,.298,5.5735,13.5751,N,9.5743
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS fall BTS",FALL,2018,"Abundance (numbers/tow)",2.1881,.443,.6695,3.8037,Y,
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS fall BTS",FALL,2019,"Abundance (numbers/tow)",.5107,.188,.3558,.6668,Y,
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS fall BTS",FALL,2020,"Abundance (numbers/tow)",,,,,,
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS fall BTS",FALL,2021,"Abundance (numbers/tow)",.6301,.4132,.1813,1.061,Y,
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS fall BTS",FALL,2022,"Abundance (numbers/tow)",.7642,.2094,.5004,1.0335,Y,
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS fall BTS",FALL,2023,"Abundance (numbers/tow)",.5414,.2387,.3548,.7592,Y,
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS fall BTS",FALL,2024,"Abundance (numbers/tow)",.6243,.2898,.344,.9428,Y,
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS fall BTS",FALL,2025,"Abundance (numbers/tow)",.1419,.4808,.0559,.2832,Y,
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS spring BTS",SPRING,1968,"Abundance (numbers/tow)",2.7935,.2462,1.7257,3.9737,N,2.7935
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS spring BTS",SPRING,1969,"Abundance (numbers/tow)",6.4479,.3188,3.5231,10.2855,N,6.4479
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS spring BTS",SPRING,1970,"Abundance (numbers/tow)",3.1197,.2796,1.6994,4.5949,N,3.1197
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS spring BTS",SPRING,1971,"Abundance (numbers/tow)",2.326,.2979,1.2316,3.4729,N,2.326
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS spring BTS",SPRING,1972,"Abundance (numbers/tow)",2.1324,.2475,1.3396,3.1055,N,2.1324
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS spring BTS",SPRING,1973,"Abundance (numbers/tow)",3.8391,.1251,3.0713,4.6859,N,3.8391
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS spring BTS",SPRING,1974,"Abundance (numbers/tow)",2.1606,.1883,1.5197,2.8718,N,2.1606
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS spring BTS",SPRING,1975,"Abundance (numbers/tow)",.6625,.1957,.4596,.8841,N,.6625
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS spring BTS",SPRING,1976,"Abundance (numbers/tow)",1.5224,.1652,1.122,1.9573,N,1.5224
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS spring BTS",SPRING,1977,"Abundance (numbers/tow)",1.8221,.1905,1.2954,2.4224,N,1.8221
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS spring BTS",SPRING,1978,"Abundance (numbers/tow)",3.2904,.1156,2.688,3.9343,N,3.2904
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS spring BTS",SPRING,1979,"Abundance (numbers/tow)",1.358,.1634,1.0214,1.7453,N,1.358
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS spring BTS",SPRING,1980,"Abundance (numbers/tow)",8.3054,.1753,6.1847,10.8602,N,8.3054
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS spring BTS",SPRING,1981,"Abundance (numbers/tow)",9.4817,.1951,6.6824,12.8249,N,9.4817
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS spring BTS",SPRING,1982,"Abundance (numbers/tow)",5.4122,.2122,3.5287,7.2351,N,5.4122
"FLOUNDER, WINTER",172905,SNEMA,NONE,10,"NMFS spring BTS",SPRING,1983,"Abundance (numbers/tow)",4.94,.2051,3.3911,6.6666,Y,
