COMMON_NAME,SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,PURPOSE_CODE,SURVEY,SEASON,YEAR,INDEX_TYPE,INDEX,CV,LOWER_90_CI,UPPER_90_CI,STRATA_SAMPLING_COMPLETE,INCOMPLETE_INDEX
"SKATE, WINTER",564145,UNIT,NONE,10,"NMFS fall BTS",FALL,1967,"Abundance (numbers/tow)",.8507,.1578,.6174,1.063,N,.8507
"SKATE, WINTER",564145,UNIT,NONE,10,"NMFS fall BTS",FALL,1968,"Abundance (numbers/tow)",.9723,.1861,.6843,1.2835,N,.9723
"SKATE, WINTER",564145,UNIT,NONE,10,"NMFS fall BTS",FALL,1969,"Abundance (numbers/tow)",.6009,.1689,.438,.765,N,.6009
"SKATE, WINTER",564145,UNIT,NONE,10,"NMFS fall BTS",FALL,1970,"Abundance (numbers/tow)",1.2889,.283,.7779,1.9772,N,1.2889
"SKATE, WINTER",564145,UNIT,NONE,10,"NMFS fall BTS",FALL,1971,"Abundance (numbers/tow)",.6048,.2849,.3512,.9253,N,.6048
"SKATE, WINTER",564145,UNIT,NONE,10,"NMFS fall BTS",FALL,1972,"Abundance (numbers/tow)",2.2015,.1519,1.6556,2.7583,N,2.2015
"SKATE, WINTER",564145,UNIT,NONE,10,"NMFS fall BTS",FALL,1973,"Abundance (numbers/tow)",2.364,.1468,1.8033,2.9387,N,2.364
"SKATE, WINTER",564145,UNIT,NONE,10,"NMFS fall BTS",FALL,1974,"Abundance (numbers/tow)",1.0435,.157,.7865,1.3218,N,1.0435
"SKATE, WINTER",564145,UNIT,NONE,10,"NMFS fall BTS",FALL,1975,"Abundance (numbers/tow)",.4677,.1769,.3401,.6156,N,.4677
"SKATE, WINTER",564145,UNIT,NONE,10,"NMFS fall BTS",FALL,1976,"Abundance (numbers/tow)",.8295,.3207,.43,1.322,N,.8295
"SKATE, WINTER",564145,UNIT,NONE,10,"NMFS fall BTS",FALL,1977,"Abundance (numbers/tow)",1.8152,.1942,1.2532,2.422,N,1.8152
"SKATE, WINTER",564145,UNIT,NONE,10,"NMFS fall BTS",FALL,1978,"Abundance (numbers/tow)",1.081,.135,.8497,1.323,N,1.081
"SKATE, WINTER",564145,UNIT,NONE,10,"NMFS fall BTS",FALL,1979,"Abundance (numbers/tow)",1.4155,.1281,1.1161,1.7157,N,1.4155
"SKATE, WINTER",564145,UNIT,NONE,10,"NMFS fall BTS",FALL,1980,"Abundance (numbers/tow)",1.6279,.1663,1.2031,2.0834,N,1.6279
"SKATE, WINTER",564145,UNIT,NONE,10,"NMFS fall BTS",FALL,1981,"Abundance (numbers/tow)",1.7386,.1823,1.2413,2.291,N,1.7386
"SKATE, WINTER",564145,UNIT,NONE,10,"NMFS fall BTS",FALL,1982,"Abundance (numbers/tow)",4.541,.4129,1.7948,7.8982,N,4.541
"SKATE, WINTER",564145,UNIT,NONE,10,"NMFS fall BTS",FALL,1983,"Abundance (numbers/tow)",2.5726,.2065,1.7779,3.5167,N,2.5726
"SKATE, WINTER",564145,UNIT,NONE,10,"NMFS fall BTS",FALL,1984,"Abundance (numbers/tow)",3.6799,.159,2.757,4.7105,N,3.6799
