COMMON_NAME,SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,PURPOSE_CODE,SURVEY,SEASON,YEAR,INDEX_TYPE,INDEX,CV,LOWER_90_CI,UPPER_90_CI,STRATA_SAMPLING_COMPLETE,INCOMPLETE_INDEX
"FLOUNDER, WITCH (GRAY SOLE)",172873,UNIT,NONE,10,"NMFS fall BTS",FALL,1963,"Abundance (numbers/tow)",5.5205,.1714,4.0881,7.1995,Y,
"FLOUNDER, WITCH (GRAY SOLE)",172873,UNIT,NONE,10,"NMFS fall BTS",FALL,1964,"Abundance (numbers/tow)",2.8914,.1232,2.324,3.4995,Y,
"FLOUNDER, WITCH (GRAY SOLE)",172873,UNIT,NONE,10,"NMFS fall BTS",FALL,1965,"Abundance (numbers/tow)",3.9431,.1314,3.164,4.8939,Y,
"FLOUNDER, WITCH (GRAY SOLE)",172873,UNIT,NONE,10,"NMFS fall BTS",FALL,1966,"Abundance (numbers/tow)",7.8874,.1536,5.8975,9.9609,Y,
"FLOUNDER, WITCH (GRAY SOLE)",172873,UNIT,NONE,10,"NMFS fall BTS",FALL,1967,"Abundance (numbers/tow)",2.9962,.1549,2.2873,3.8308,Y,
"FLOUNDER, WITCH (GRAY SOLE)",172873,UNIT,NONE,10,"NMFS fall BTS",FALL,1968,"Abundance (numbers/tow)",4.818,.1635,3.5602,6.1687,Y,
"FLOUNDER, WITCH (GRAY SOLE)",172873,UNIT,NONE,10,"NMFS fall BTS",FALL,1969,"Abundance (numbers/tow)",5.8096,.2609,3.6075,8.4007,Y,
"FLOUNDER, WITCH (GRAY SOLE)",172873,UNIT,NONE,10,"NMFS fall BTS",FALL,1970,"Abundance (numbers/tow)",4.8856,.0977,4.136,5.6643,Y,
"FLOUNDER, WITCH (GRAY SOLE)",172873,UNIT,NONE,10,"NMFS fall BTS",FALL,1971,"Abundance (numbers/tow)",4.3225,.1323,3.3955,5.295,Y,
"FLOUNDER, WITCH (GRAY SOLE)",172873,UNIT,NONE,10,"NMFS fall BTS",FALL,1972,"Abundance (numbers/tow)",3.2359,.1375,2.4702,4.0119,Y,
"FLOUNDER, WITCH (GRAY SOLE)",172873,UNIT,NONE,10,"NMFS fall BTS",FALL,1973,"Abundance (numbers/tow)",3.1781,.2037,2.1875,4.2889,Y,
"FLOUNDER, WITCH (GRAY SOLE)",172873,UNIT,NONE,10,"NMFS fall BTS",FALL,1974,"Abundance (numbers/tow)",2.3767,.15,1.8143,2.9686,Y,
"FLOUNDER, WITCH (GRAY SOLE)",172873,UNIT,NONE,10,"NMFS fall BTS",FALL,1975,"Abundance (numbers/tow)",1.6582,.1653,1.2189,2.1182,Y,
"FLOUNDER, WITCH (GRAY SOLE)",172873,UNIT,NONE,10,"NMFS fall BTS",FALL,1976,"Abundance (numbers/tow)",1.3387,.2226,.8877,1.8631,Y,
"FLOUNDER, WITCH (GRAY SOLE)",172873,UNIT,NONE,10,"NMFS fall BTS",FALL,1977,"Abundance (numbers/tow)",5.0545,.203,3.5195,6.8152,Y,
"FLOUNDER, WITCH (GRAY SOLE)",172873,UNIT,NONE,10,"NMFS fall BTS",FALL,1978,"Abundance (numbers/tow)",4.0377,.1208,3.2748,4.9129,Y,
"FLOUNDER, WITCH (GRAY SOLE)",172873,UNIT,NONE,10,"NMFS fall BTS",FALL,1979,"Abundance (numbers/tow)",1.9375,.0973,1.6295,2.2483,Y,
"FLOUNDER, WITCH (GRAY SOLE)",172873,UNIT,NONE,10,"NMFS fall BTS",FALL,1980,"Abundance (numbers/tow)",2.6193,.1224,2.0801,3.1635,Y,
"FLOUNDER, WITCH (GRAY SOLE)",172873,UNIT,NONE,10,"NMFS fall BTS",FALL,1981,"Abundance (numbers/tow)",3.6556,.2528,2.3514,5.2706,Y,
"FLOUNDER, WITCH (GRAY SOLE)",172873,UNIT,NONE,10,"NMFS fall BTS",FALL,1982,"Abundance (numbers/tow)",.9906,.3553,.498,1.6689,Y,
"FLOUNDER, WITCH (GRAY SOLE)",172873,UNIT,NONE,10,"NMFS fall BTS",FALL,1983,"Abundance (numbers/tow)",4.7184,.1258,3.7014,5.6755,Y,
"FLOUNDER, WITCH (GRAY SOLE)",172873,UNIT,NONE,10,"NMFS fall BTS",FALL,1984,"Abundance (numbers/tow)",4.3726,.1229,3.5107,5.2672,Y,
"FLOUNDER, WITCH (GRAY SOLE)",172873,UNIT,NONE,10,"NMFS fall BTS",FALL,1985,"Abundance (numbers/tow)",2.7634,.1714,2.0384,3.5934,Y,
"FLOUNDER, WITCH (GRAY SOLE)",172873,UNIT,NONE,10,"NMFS fall BTS",FALL,1986,"Abundance (numbers/tow)",1.5901,.137,1.2096,1.9344,Y,
"FLOUNDER, WITCH (GRAY SOLE)",172873,UNIT,NONE,10,"NMFS fall BTS",FALL,1987,"Abundance (numbers/tow)",.4823,.298,.2571,.7328,Y,
"FLOUNDER, WITCH (GRAY SOLE)",172873,UNIT,NONE,10,"NMFS fall BTS",FALL,1988,"Abundance (numbers/tow)",1.3758,.1483,1.0273,1.7148,Y,
"FLOUNDER, WITCH (GRAY SOLE)",172873,UNIT,NONE,10,"NMFS fall BTS",FALL,1989,"Abundance (numbers/tow)",.8878,.1762,.6392,1.1435,Y,
"FLOUNDER, WITCH (GRAY SOLE)",172873,UNIT,NONE,10,"NMFS fall BTS",FALL,1990,"Abundance (numbers/tow)",2.0045,.1483,1.5313,2.5035,Y,
"FLOUNDER, WITCH (GRAY SOLE)",172873,UNIT,NONE,10,"NMFS fall BTS",FALL,1991,"Abundance (numbers/tow)",2.0829,.2558,1.2887,3.0226,Y,
"FLOUNDER, WITCH (GRAY SOLE)",172873,UNIT,NONE,10,"NMFS fall BTS",FALL,1992,"Abundance (numbers/tow)",.9397,.2715,.5362,1.3802,Y,
"FLOUNDER, WITCH (GRAY SOLE)",172873,UNIT,NONE,10,"NMFS fall BTS",FALL,1993,"Abundance (numbers/tow)",5.1543,.225,3.3505,7.1415,Y,
"FLOUNDER, WITCH (GRAY SOLE)",172873,UNIT,NONE,10,"NMFS fall BTS",FALL,1994,"Abundance (numbers/tow)",2.2088,.145,1.692,2.7773,Y,
"FLOUNDER, WITCH (GRAY SOLE)",172873,UNIT,NONE,10,"NMFS fall BTS",FALL,1995,"Abundance (numbers/tow)",4.7359,.1772,3.3843,6.1361,Y,
"FLOUNDER, WITCH (GRAY SOLE)",172873,UNIT,NONE,10,"NMFS fall BTS",FALL,1996,"Abundance (numbers/tow)",5.3843,.167,3.9028,6.8954,Y,
"FLOUNDER, WITCH (GRAY SOLE)",172873,UNIT,NONE,10,"NMFS fall BTS",FALL,1997,"Abundance (numbers/tow)",5.1047,.1753,3.6927,6.5331,Y,
"FLOUNDER, WITCH (GRAY SOLE)",172873,UNIT,NONE,10,"NMFS fall BTS",FALL,1998,"Abundance (numbers/tow)",3.7012,.1912,2.6654,4.9285,Y,
"FLOUNDER, WITCH (GRAY SOLE)",172873,UNIT,NONE,10,"NMFS fall BTS",FALL,1999,"Abundance (numbers/tow)",5.9147,.2012,4.0723,7.9427,Y,
"FLOUNDER, WITCH (GRAY SOLE)",172873,UNIT,NONE,10,"NMFS fall BTS",FALL,2000,"Abundance (numbers/tow)",6.6303,.1398,5.2355,8.3654,Y,
"FLOUNDER, WITCH (GRAY SOLE)",172873,UNIT,NONE,10,"NMFS fall BTS",FALL,2001,"Abundance (numbers/tow)",7.94,.1492,6.025,9.9729,Y,
"FLOUNDER, WITCH (GRAY SOLE)",172873,UNIT,NONE,10,"NMFS fall BTS",FALL,2002,"Abundance (numbers/tow)",4.3109,.1677,3.1436,5.6108,Y,
"FLOUNDER, WITCH (GRAY SOLE)",172873,UNIT,NONE,10,"NMFS fall BTS",FALL,2003,"Abundance (numbers/tow)",2.6601,.1593,1.968,3.3441,Y,
"FLOUNDER, WITCH (GRAY SOLE)",172873,UNIT,NONE,10,"NMFS fall BTS",FALL,2004,"Abundance (numbers/tow)",3.8155,.2884,2.2438,5.8061,Y,
"FLOUNDER, WITCH (GRAY SOLE)",172873,UNIT,NONE,10,"NMFS fall BTS",FALL,2005,"Abundance (numbers/tow)",2.03,.1577,1.5427,2.6046,Y,
"FLOUNDER, WITCH (GRAY SOLE)",172873,UNIT,NONE,10,"NMFS fall BTS",FALL,2006,"Abundance (numbers/tow)",2.0299,.1776,1.4375,2.6194,Y,
"FLOUNDER, WITCH (GRAY SOLE)",172873,UNIT,NONE,10,"NMFS fall BTS",FALL,2007,"Abundance (numbers/tow)",2.7404,.2025,1.8353,3.6468,Y,
"FLOUNDER, WITCH (GRAY SOLE)",172873,UNIT,NONE,10,"NMFS fall BTS",FALL,2008,"Abundance (numbers/tow)",2.7478,.1546,2.0136,3.3975,Y,
"FLOUNDER, WITCH (GRAY SOLE)",172873,UNIT,NONE,10,"NMFS fall BTS",FALL,2009,"Abundance (numbers/tow)",1.9782,.1446,1.5174,2.4552,Y,
"FLOUNDER, WITCH (GRAY SOLE)",172873,UNIT,NONE,10,"NMFS fall BTS",FALL,2010,"Abundance (numbers/tow)",1.8912,.1297,1.5247,2.331,Y,
"FLOUNDER, WITCH (GRAY SOLE)",172873,UNIT,NONE,10,"NMFS fall BTS",FALL,2011,"Abundance (numbers/tow)",3.4573,.1501,2.6947,4.3741,Y,
"FLOUNDER, WITCH (GRAY SOLE)",172873,UNIT,NONE,10,"NMFS fall BTS",FALL,2012,"Abundance (numbers/tow)",2.1346,.1548,1.6209,2.6929,Y,
"FLOUNDER, WITCH (GRAY SOLE)",172873,UNIT,NONE,10,"NMFS fall BTS",FALL,2013,"Abundance (numbers/tow)",2.2101,.1232,1.7828,2.6881,Y,
"FLOUNDER, WITCH (GRAY SOLE)",172873,UNIT,NONE,10,"NMFS fall BTS",FALL,2014,"Abundance (numbers/tow)",2.5227,.1118,2.0779,3.0117,Y,
"FLOUNDER, WITCH (GRAY SOLE)",172873,UNIT,NONE,10,"NMFS fall BTS",FALL,2015,"Abundance (numbers/tow)",2.942,.1235,2.3608,3.5423,Y,
"FLOUNDER, WITCH (GRAY SOLE)",172873,UNIT,NONE,10,"NMFS fall BTS",FALL,2016,"Abundance (numbers/tow)",2.9188,.1681,2.1924,3.7826,Y,
"FLOUNDER, WITCH (GRAY SOLE)",172873,UNIT,NONE,10,"NMFS fall BTS",FALL,2017,"Abundance (numbers/tow)",5.0605,.1214,4.0518,6.1059,Y,
"FLOUNDER, WITCH (GRAY SOLE)",172873,UNIT,NONE,10,"NMFS fall BTS",FALL,2018,"Abundance (numbers/tow)",3.026,.0889,2.5863,3.4844,N,3.026
"FLOUNDER, WITCH (GRAY SOLE)",172873,UNIT,NONE,10,"NMFS fall BTS",FALL,2019,"Abundance (numbers/tow)",3.9156,.1217,3.18,4.7257,Y,
"FLOUNDER, WITCH (GRAY SOLE)",172873,UNIT,NONE,10,"NMFS fall BTS",FALL,2020,"Abundance (numbers/tow)",,,,,,
"FLOUNDER, WITCH (GRAY SOLE)",172873,UNIT,NONE,10,"NMFS fall BTS",FALL,2021,"Abundance (numbers/tow)",2.9809,.1507,2.298,3.7833,Y,
"FLOUNDER, WITCH (GRAY SOLE)",172873,UNIT,NONE,10,"NMFS fall BTS",FALL,2022,"Abundance (numbers/tow)",3.4157,.2109,2.1895,4.6208,Y,
"FLOUNDER, WITCH (GRAY SOLE)",172873,UNIT,NONE,10,"NMFS fall BTS",FALL,2023,"Abundance (numbers/tow)",3.7193,.1849,2.6188,4.8435,Y,
"FLOUNDER, WITCH (GRAY SOLE)",172873,UNIT,NONE,10,"NMFS fall BTS",FALL,2024,"Abundance (numbers/tow)",4.2686,.1629,3.1542,5.4267,Y,
"FLOUNDER, WITCH (GRAY SOLE)",172873,UNIT,NONE,10,"NMFS fall BTS",FALL,2025,"Abundance (numbers/tow)",2.5252,.2043,1.7131,3.4217,Y,
