COMMON_NAME,SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,PURPOSE_CODE,SURVEY,SEASON,YEAR,INDEX_TYPE,INDEX,CV,LOWER_90_CI,UPPER_90_CI,STRATA_SAMPLING_COMPLETE,INCOMPLETE_INDEX
"FLOUNDER, YELLOWTAIL",172909,CCGOM,NONE,10,"NMFS fall BTS",FALL,1963,"Abundance (numbers/tow)",16.6421,.3173,8.3097,25.6219,N,16.6421
"FLOUNDER, YELLOWTAIL",172909,CCGOM,NONE,10,"NMFS fall BTS",FALL,1964,"Abundance (numbers/tow)",5.1781,.8192,.1386,10.2868,N,5.1781
"FLOUNDER, YELLOWTAIL",172909,CCGOM,NONE,10,"NMFS fall BTS",FALL,1965,"Abundance (numbers/tow)",5.892,.2384,3.6045,8.3182,N,5.892
"FLOUNDER, YELLOWTAIL",172909,CCGOM,NONE,10,"NMFS fall BTS",FALL,1966,"Abundance (numbers/tow)",7.5788,.31,4.3902,10.7674,N,7.5788
"FLOUNDER, YELLOWTAIL",172909,CCGOM,NONE,10,"NMFS fall BTS",FALL,1967,"Abundance (numbers/tow)",1.0398,.4455,.208,1.8369,N,1.0398
"FLOUNDER, YELLOWTAIL",172909,CCGOM,NONE,10,"NMFS fall BTS",FALL,1968,"Abundance (numbers/tow)",1.2408,.4919,.3466,2.135,N,1.2408
"FLOUNDER, YELLOWTAIL",172909,CCGOM,NONE,10,"NMFS fall BTS",FALL,1969,"Abundance (numbers/tow)",3.3481,.4503,.8374,5.8463,N,3.3481
"FLOUNDER, YELLOWTAIL",172909,CCGOM,NONE,10,"NMFS fall BTS",FALL,1970,"Abundance (numbers/tow)",1.6553,.4107,.6114,2.7367,N,1.6553
"FLOUNDER, YELLOWTAIL",172909,CCGOM,NONE,10,"NMFS fall BTS",FALL,1971,"Abundance (numbers/tow)",2.0354,.5956,.0986,4.2243,N,2.0354
"FLOUNDER, YELLOWTAIL",172909,CCGOM,NONE,10,"NMFS fall BTS",FALL,1972,"Abundance (numbers/tow)",14.6545,.6626,1.6723,36.3955,N,14.6545
"FLOUNDER, YELLOWTAIL",172909,CCGOM,NONE,10,"NMFS fall BTS",FALL,1973,"Abundance (numbers/tow)",2.2598,.4524,.7972,4.0413,N,2.2598
"FLOUNDER, YELLOWTAIL",172909,CCGOM,NONE,10,"NMFS fall BTS",FALL,1974,"Abundance (numbers/tow)",.3119,.611,.0693,.5545,N,.3119
"FLOUNDER, YELLOWTAIL",172909,CCGOM,NONE,10,"NMFS fall BTS",FALL,1975,"Abundance (numbers/tow)",1.3157,.3861,.5573,2.2401,N,1.3157
"FLOUNDER, YELLOWTAIL",172909,CCGOM,NONE,10,"NMFS fall BTS",FALL,1976,"Abundance (numbers/tow)",6.7963,.52,2.0811,13.2382,N,6.7963
"FLOUNDER, YELLOWTAIL",172909,CCGOM,NONE,10,"NMFS fall BTS",FALL,1977,"Abundance (numbers/tow)",16.7338,.4544,6.3478,30.6599,N,16.7338
"FLOUNDER, YELLOWTAIL",172909,CCGOM,NONE,10,"NMFS fall BTS",FALL,1978,"Abundance (numbers/tow)",5.4436,.5863,1.4821,11.5763,N,5.4436
"FLOUNDER, YELLOWTAIL",172909,CCGOM,NONE,10,"NMFS fall BTS",FALL,1979,"Abundance (numbers/tow)",8.7933,.1584,6.5465,11.2843,N,8.7933
"FLOUNDER, YELLOWTAIL",172909,CCGOM,NONE,10,"NMFS fall BTS",FALL,1980,"Abundance (numbers/tow)",21.877,.2998,12.7113,33.4349,N,21.877
"FLOUNDER, YELLOWTAIL",172909,CCGOM,NONE,10,"NMFS fall BTS",FALL,1981,"Abundance (numbers/tow)",9.0559,.2112,5.9533,12.3061,N,9.0559
"FLOUNDER, YELLOWTAIL",172909,CCGOM,NONE,10,"NMFS fall BTS",FALL,1982,"Abundance (numbers/tow)",6.6143,.4448,2.7189,12.52,N,6.6143
"FLOUNDER, YELLOWTAIL",172909,CCGOM,NONE,10,"NMFS fall BTS",FALL,1983,"Abundance (numbers/tow)",1.1687,.1139,.9513,1.3955,N,1.1687
"FLOUNDER, YELLOWTAIL",172909,CCGOM,NONE,10,"NMFS fall BTS",FALL,1984,"Abundance (numbers/tow)",3.5132,.4054,1.0761,6.0331,N,3.5132
"FLOUNDER, YELLOWTAIL",172909,CCGOM,NONE,10,"NMFS fall BTS",FALL,1985,"Abundance (numbers/tow)",6.5213,.2165,4.2929,9.0625,N,6.5213
"FLOUNDER, YELLOWTAIL",172909,CCGOM,NONE,10,"NMFS fall BTS",FALL,1986,"Abundance (numbers/tow)",4.1035,.5158,1.2133,7.9526,N,4.1035
"FLOUNDER, YELLOWTAIL",172909,CCGOM,NONE,10,"NMFS fall BTS",FALL,1987,"Abundance (numbers/tow)",2.0861,.0955,1.7598,2.4125,Y,
"FLOUNDER, YELLOWTAIL",172909,CCGOM,NONE,10,"NMFS fall BTS",FALL,1988,"Abundance (numbers/tow)",6.8551,.1654,5.0181,8.7787,N,6.8551
"FLOUNDER, YELLOWTAIL",172909,CCGOM,NONE,10,"NMFS fall BTS",FALL,1989,"Abundance (numbers/tow)",6.6288,.4574,1.2619,12.0113,N,6.6288
"FLOUNDER, YELLOWTAIL",172909,CCGOM,NONE,10,"NMFS fall BTS",FALL,1990,"Abundance (numbers/tow)",8.8351,.2044,5.8697,11.8254,N,8.8351
"FLOUNDER, YELLOWTAIL",172909,CCGOM,NONE,10,"NMFS fall BTS",FALL,1991,"Abundance (numbers/tow)",3.8492,.0398,3.5915,4.098,N,3.8492
"FLOUNDER, YELLOWTAIL",172909,CCGOM,NONE,10,"NMFS fall BTS",FALL,1992,"Abundance (numbers/tow)",7.04,.3559,3.0909,11.2967,Y,
"FLOUNDER, YELLOWTAIL",172909,CCGOM,NONE,10,"NMFS fall BTS",FALL,1993,"Abundance (numbers/tow)",6.7826,.5856,1.3598,14.1543,N,6.7826
"FLOUNDER, YELLOWTAIL",172909,CCGOM,NONE,10,"NMFS fall BTS",FALL,1994,"Abundance (numbers/tow)",11.3732,.1597,8.6097,14.7137,N,11.3732
"FLOUNDER, YELLOWTAIL",172909,CCGOM,NONE,10,"NMFS fall BTS",FALL,1995,"Abundance (numbers/tow)",2.2542,.1487,1.7614,2.88,N,2.2542
"FLOUNDER, YELLOWTAIL",172909,CCGOM,NONE,10,"NMFS fall BTS",FALL,1996,"Abundance (numbers/tow)",8.5056,.1771,6.2845,11.3432,Y,
"FLOUNDER, YELLOWTAIL",172909,CCGOM,NONE,10,"NMFS fall BTS",FALL,1997,"Abundance (numbers/tow)",6.9785,.3199,3.4512,10.677,N,6.9785
"FLOUNDER, YELLOWTAIL",172909,CCGOM,NONE,10,"NMFS fall BTS",FALL,1998,"Abundance (numbers/tow)",5.352,.2986,3.0841,8.3826,Y,
"FLOUNDER, YELLOWTAIL",172909,CCGOM,NONE,10,"NMFS fall BTS",FALL,1999,"Abundance (numbers/tow)",16.8278,.23,10.9707,23.5646,Y,
"FLOUNDER, YELLOWTAIL",172909,CCGOM,NONE,10,"NMFS fall BTS",FALL,2000,"Abundance (numbers/tow)",10.3604,.3251,5.2944,16.6149,N,10.3604
"FLOUNDER, YELLOWTAIL",172909,CCGOM,NONE,10,"NMFS fall BTS",FALL,2001,"Abundance (numbers/tow)",5.2299,.2138,3.449,7.1306,N,5.2299
"FLOUNDER, YELLOWTAIL",172909,CCGOM,NONE,10,"NMFS fall BTS",FALL,2002,"Abundance (numbers/tow)",2.1138,.251,1.2703,3.0313,N,2.1138
"FLOUNDER, YELLOWTAIL",172909,CCGOM,NONE,10,"NMFS fall BTS",FALL,2003,"Abundance (numbers/tow)",9.8629,.2573,5.8885,14.0233,N,9.8629
"FLOUNDER, YELLOWTAIL",172909,CCGOM,NONE,10,"NMFS fall BTS",FALL,2004,"Abundance (numbers/tow)",1.6829,.3552,.8047,2.755,N,1.6829
