COMMON_NAME,SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,PURPOSE_CODE,SURVEY,SEASON,YEAR,INDEX_TYPE,INDEX,CV,LOWER_90_CI,UPPER_90_CI,STRATA_SAMPLING_COMPLETE,INCOMPLETE_INDEX
"FLOUNDER, YELLOWTAIL",172909,GBK,NONE,10,"NMFS fall BTS",FALL,1963,"Abundance (numbers/tow)",36.7463,.1894,26.0877,49.2194,Y,
"FLOUNDER, YELLOWTAIL",172909,GBK,NONE,10,"NMFS fall BTS",FALL,1964,"Abundance (numbers/tow)",28.0073,.3662,11.1925,45.5609,Y,
"FLOUNDER, YELLOWTAIL",172909,GBK,NONE,10,"NMFS fall BTS",FALL,1965,"Abundance (numbers/tow)",18.3461,.2955,10.4259,27.5529,Y,
"FLOUNDER, YELLOWTAIL",172909,GBK,NONE,10,"NMFS fall BTS",FALL,1966,"Abundance (numbers/tow)",18.0133,.3286,9.6789,28.3525,Y,
"FLOUNDER, YELLOWTAIL",172909,GBK,NONE,10,"NMFS fall BTS",FALL,1967,"Abundance (numbers/tow)",22.6618,.2399,14.5109,32.2198,Y,
"FLOUNDER, YELLOWTAIL",172909,GBK,NONE,10,"NMFS fall BTS",FALL,1968,"Abundance (numbers/tow)",31.2539,.2205,20.1125,42.5254,Y,
"FLOUNDER, YELLOWTAIL",172909,GBK,NONE,10,"NMFS fall BTS",FALL,1969,"Abundance (numbers/tow)",30.1848,.2057,20.505,40.9412,Y,
"FLOUNDER, YELLOWTAIL",172909,GBK,NONE,10,"NMFS fall BTS",FALL,1970,"Abundance (numbers/tow)",16.321,.197,11.0948,21.7413,Y,
"FLOUNDER, YELLOWTAIL",172909,GBK,NONE,10,"NMFS fall BTS",FALL,1971,"Abundance (numbers/tow)",18.5929,.1981,12.8615,24.7042,Y,
"FLOUNDER, YELLOWTAIL",172909,GBK,NONE,10,"NMFS fall BTS",FALL,1972,"Abundance (numbers/tow)",17.7669,.2727,10.006,24.8885,Y,
"FLOUNDER, YELLOWTAIL",172909,GBK,NONE,10,"NMFS fall BTS",FALL,1973,"Abundance (numbers/tow)",17.9961,.3271,9.591,28.6733,Y,
"FLOUNDER, YELLOWTAIL",172909,GBK,NONE,10,"NMFS fall BTS",FALL,1974,"Abundance (numbers/tow)",12.1331,.1654,8.7625,15.4039,Y,
"FLOUNDER, YELLOWTAIL",172909,GBK,NONE,10,"NMFS fall BTS",FALL,1975,"Abundance (numbers/tow)",9.4189,.1829,6.6955,12.2714,Y,
"FLOUNDER, YELLOWTAIL",172909,GBK,NONE,10,"NMFS fall BTS",FALL,1976,"Abundance (numbers/tow)",3.0775,.2714,1.7995,4.5621,Y,
"FLOUNDER, YELLOWTAIL",172909,GBK,NONE,10,"NMFS fall BTS",FALL,1977,"Abundance (numbers/tow)",5.6148,.1783,4.0041,7.3342,Y,
"FLOUNDER, YELLOWTAIL",172909,GBK,NONE,10,"NMFS fall BTS",FALL,1978,"Abundance (numbers/tow)",7.4421,.2209,4.9407,10.4102,Y,
"FLOUNDER, YELLOWTAIL",172909,GBK,NONE,10,"NMFS fall BTS",FALL,1979,"Abundance (numbers/tow)",4.0401,.2571,2.4208,5.8503,Y,
"FLOUNDER, YELLOWTAIL",172909,GBK,NONE,10,"NMFS fall BTS",FALL,1980,"Abundance (numbers/tow)",13.2166,.1905,9.1641,17.2525,Y,
"FLOUNDER, YELLOWTAIL",172909,GBK,NONE,10,"NMFS fall BTS",FALL,1981,"Abundance (numbers/tow)",6.3444,.2829,3.5573,9.4296,Y,
