COMMON_NAME,SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,PURPOSE_CODE,SURVEY,SEASON,YEAR,INDEX_TYPE,INDEX,CV,LOWER_90_CI,UPPER_90_CI,STRATA_SAMPLING_COMPLETE,INCOMPLETE_INDEX
"FLOUNDER, YELLOWTAIL",172909,SNEMA,NONE,10,"NMFS fall BTS",FALL,1963,"Abundance (numbers/tow)",54.0785,.164,39.6809,69.1932,Y,
"FLOUNDER, YELLOWTAIL",172909,SNEMA,NONE,10,"NMFS fall BTS",FALL,1964,"Abundance (numbers/tow)",54.808,.1632,39.4137,68.931,Y,
"FLOUNDER, YELLOWTAIL",172909,SNEMA,NONE,10,"NMFS fall BTS",FALL,1965,"Abundance (numbers/tow)",51.7504,.3078,29.0751,79.8153,Y,
"FLOUNDER, YELLOWTAIL",172909,SNEMA,NONE,10,"NMFS fall BTS",FALL,1966,"Abundance (numbers/tow)",60.7769,.1942,42.6414,81.0459,Y,
"FLOUNDER, YELLOWTAIL",172909,SNEMA,NONE,10,"NMFS fall BTS",FALL,1967,"Abundance (numbers/tow)",81.9398,.1518,61.7042,104.1028,Y,
"FLOUNDER, YELLOWTAIL",172909,SNEMA,NONE,10,"NMFS fall BTS",FALL,1968,"Abundance (numbers/tow)",76.0919,.2102,51.874,104.3653,Y,
"FLOUNDER, YELLOWTAIL",172909,SNEMA,NONE,10,"NMFS fall BTS",FALL,1969,"Abundance (numbers/tow)",75.9212,.2455,46.9299,110.5232,Y,
"FLOUNDER, YELLOWTAIL",172909,SNEMA,NONE,10,"NMFS fall BTS",FALL,1970,"Abundance (numbers/tow)",79.3398,.2583,48.8094,116.461,Y,
"FLOUNDER, YELLOWTAIL",172909,SNEMA,NONE,10,"NMFS fall BTS",FALL,1971,"Abundance (numbers/tow)",59.2381,.2797,33.5674,87.5318,Y,
"FLOUNDER, YELLOWTAIL",172909,SNEMA,NONE,10,"NMFS fall BTS",FALL,1972,"Abundance (numbers/tow)",150.5182,.3452,65.8348,235.6579,Y,
"FLOUNDER, YELLOWTAIL",172909,SNEMA,NONE,10,"NMFS fall BTS",FALL,1973,"Abundance (numbers/tow)",15.1543,.3997,6.0212,25.7124,Y,
"FLOUNDER, YELLOWTAIL",172909,SNEMA,NONE,10,"NMFS fall BTS",FALL,1974,"Abundance (numbers/tow)",6.4306,.3866,2.7275,11.1356,Y,
"FLOUNDER, YELLOWTAIL",172909,SNEMA,NONE,10,"NMFS fall BTS",FALL,1975,"Abundance (numbers/tow)",3.0066,.4498,1.1859,5.6569,Y,
"FLOUNDER, YELLOWTAIL",172909,SNEMA,NONE,10,"NMFS fall BTS",FALL,1976,"Abundance (numbers/tow)",8.7188,.317,4.4139,13.3303,Y,
"FLOUNDER, YELLOWTAIL",172909,SNEMA,NONE,10,"NMFS fall BTS",FALL,1977,"Abundance (numbers/tow)",4.6241,.3052,2.3154,7.0769,Y,
"FLOUNDER, YELLOWTAIL",172909,SNEMA,NONE,10,"NMFS fall BTS",FALL,1978,"Abundance (numbers/tow)",7.7578,.2551,4.7374,11.073,Y,
"FLOUNDER, YELLOWTAIL",172909,SNEMA,NONE,10,"NMFS fall BTS",FALL,1979,"Abundance (numbers/tow)",6.8921,.1826,4.8758,9.0095,Y,
"FLOUNDER, YELLOWTAIL",172909,SNEMA,NONE,10,"NMFS fall BTS",FALL,1980,"Abundance (numbers/tow)",5.32,.3355,2.5891,8.6169,Y,
"FLOUNDER, YELLOWTAIL",172909,SNEMA,NONE,10,"NMFS fall BTS",FALL,1981,"Abundance (numbers/tow)",21.3592,.228,14.1506,29.9985,Y,
"FLOUNDER, YELLOWTAIL",172909,SNEMA,NONE,10,"NMFS fall BTS",FALL,1982,"Abundance (numbers/tow)",30.4703,.373,12.8652,49.4885,Y,
"FLOUNDER, YELLOWTAIL",172909,SNEMA,NONE,10,"NMFS fall BTS",FALL,1983,"Abundance (numbers/tow)",23.5635,.2915,12.7969,35.0373,Y,
"FLOUNDER, YELLOWTAIL",172909,SNEMA,NONE,10,"NMFS fall BTS",FALL,1984,"Abundance (numbers/tow)",5.5896,.2658,3.3352,8.2154,Y,
"FLOUNDER, YELLOWTAIL",172909,SNEMA,NONE,10,"NMFS fall BTS",FALL,1985,"Abundance (numbers/tow)",1.2394,.3083,.631,1.9175,Y,
