"YEAR","DATA_VALUE","CATEGORY","INDICATOR_NAME","INDICATOR_TYPE"
2007,3.21449174252426,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2008,4.36097473186693,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2009,2.47452908362035,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2010,3.16150430106327,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2011,4.25373979536063,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2012,4.30873756224245,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2013,4.0993038082877,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2014,3.74555939305309,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2015,2.19876527770642,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2016,1.77898404894236,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2017,2.13596591829591,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2018,2.65045414906929,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2019,2.40649559990382,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2020,1.52526852185798,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2021,2.42248257487041,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2022,4.06564112124191,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2023,2.98355875046984,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2024,2.49476329511569,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2025,2.329,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
1996,1.53035201362017,"Commercial","AVGPRICE_ATLANTICPOLLOCK_2025_DOLlb","Socioeconomic"
1997,1.20137619107992,"Commercial","AVGPRICE_ATLANTICPOLLOCK_2025_DOLlb","Socioeconomic"
1998,1.41558292771284,"Commercial","AVGPRICE_ATLANTICPOLLOCK_2025_DOLlb","Socioeconomic"
1999,1.65987945900682,"Commercial","AVGPRICE_ATLANTICPOLLOCK_2025_DOLlb","Socioeconomic"
2000,1.5782019681077,"Commercial","AVGPRICE_ATLANTICPOLLOCK_2025_DOLlb","Socioeconomic"
2001,1.29489269691258,"Commercial","AVGPRICE_ATLANTICPOLLOCK_2025_DOLlb","Socioeconomic"
2002,1.57564029660765,"Commercial","AVGPRICE_ATLANTICPOLLOCK_2025_DOLlb","Socioeconomic"
2003,0.961935953332484,"Commercial","AVGPRICE_ATLANTICPOLLOCK_2025_DOLlb","Socioeconomic"
2004,0.961553574529134,"Commercial","AVGPRICE_ATLANTICPOLLOCK_2025_DOLlb","Socioeconomic"
2005,0.994802465871776,"Commercial","AVGPRICE_ATLANTICPOLLOCK_2025_DOLlb","Socioeconomic"
2006,0.981861866945196,"Commercial","AVGPRICE_ATLANTICPOLLOCK_2025_DOLlb","Socioeconomic"
2007,0.804000903283497,"Commercial","AVGPRICE_ATLANTICPOLLOCK_2025_DOLlb","Socioeconomic"
2008,0.890241069894115,"Commercial","AVGPRICE_ATLANTICPOLLOCK_2025_DOLlb","Socioeconomic"
2009,1.06202146404697,"Commercial","AVGPRICE_ATLANTICPOLLOCK_2025_DOLlb","Socioeconomic"
2010,1.46292937773358,"Commercial","AVGPRICE_ATLANTICPOLLOCK_2025_DOLlb","Socioeconomic"
2011,1.30214216534958,"Commercial","AVGPRICE_ATLANTICPOLLOCK_2025_DOLlb","Socioeconomic"
2012,1.50272228314896,"Commercial","AVGPRICE_ATLANTICPOLLOCK_2025_DOLlb","Socioeconomic"
2013,1.72135898234708,"Commercial","AVGPRICE_ATLANTICPOLLOCK_2025_DOLlb","Socioeconomic"
2014,1.90680954914624,"Commercial","AVGPRICE_ATLANTICPOLLOCK_2025_DOLlb","Socioeconomic"
2015,2.00698448660956,"Commercial","AVGPRICE_ATLANTICPOLLOCK_2025_DOLlb","Socioeconomic"
2016,2.09999245048805,"Commercial","AVGPRICE_ATLANTICPOLLOCK_2025_DOLlb","Socioeconomic"
2017,1.59700920923693,"Commercial","AVGPRICE_ATLANTICPOLLOCK_2025_DOLlb","Socioeconomic"
2018,1.48225374266642,"Commercial","AVGPRICE_ATLANTICPOLLOCK_2025_DOLlb","Socioeconomic"
2019,1.51859707306366,"Commercial","AVGPRICE_ATLANTICPOLLOCK_2025_DOLlb","Socioeconomic"
2020,1.33545460208248,"Commercial","AVGPRICE_ATLANTICPOLLOCK_2025_DOLlb","Socioeconomic"
2021,2.05065984226522,"Commercial","AVGPRICE_ATLANTICPOLLOCK_2025_DOLlb","Socioeconomic"
2022,1.81701671953858,"Commercial","AVGPRICE_ATLANTICPOLLOCK_2025_DOLlb","Socioeconomic"
2023,1.70094838422636,"Commercial","AVGPRICE_ATLANTICPOLLOCK_2025_DOLlb","Socioeconomic"
2024,1.43723909923435,"Commercial","AVGPRICE_ATLANTICPOLLOCK_2025_DOLlb","Socioeconomic"
2025,1.55333999228532,"Commercial","AVGPRICE_ATLANTICPOLLOCK_2025_DOLlb","Socioeconomic"
1996,12870.846737352,"Commercial","AVGVESREVperYr_ATLANTICPOLLOCK_2025_DOLlb","Socioeconomic"
1997,14234.5621532908,"Commercial","AVGVESREVperYr_ATLANTICPOLLOCK_2025_DOLlb","Socioeconomic"
1998,19840.0600852717,"Commercial","AVGVESREVperYr_ATLANTICPOLLOCK_2025_DOLlb","Socioeconomic"
1999,20295.9587440467,"Commercial","AVGVESREVperYr_ATLANTICPOLLOCK_2025_DOLlb","Socioeconomic"
2000,16600.0107698722,"Commercial","AVGVESREVperYr_ATLANTICPOLLOCK_2025_DOLlb","Socioeconomic"
2001,12576.1845155494,"Commercial","AVGVESREVperYr_ATLANTICPOLLOCK_2025_DOLlb","Socioeconomic"
2002,13493.8086459677,"Commercial","AVGVESREVperYr_ATLANTICPOLLOCK_2025_DOLlb","Socioeconomic"
