"YEAR","DATA_VALUE","CATEGORY","INDICATOR_NAME","INDICATOR_TYPE"
2007,3.21449174252426,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2008,4.36097473186693,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2009,2.47452908362035,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2010,3.16150430106327,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2011,4.25373979536063,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2012,4.30873756224245,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2013,4.0993038082877,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2014,3.74555939305309,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2015,2.19876527770642,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2016,1.77898404894236,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2017,2.13596591829591,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2018,2.65045414906929,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2019,2.40649559990382,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2020,1.52526852185798,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2021,2.42248257487041,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2022,4.06564112124191,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2023,2.98355875046984,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2024,2.49476329511569,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2025,2.329,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
1996,0.732611248749032,"Commercial","AVGPRICE_ATLANTICREDHAKE_2025_DOLlb","Socioeconomic"
1997,0.658736557063333,"Commercial","AVGPRICE_ATLANTICREDHAKE_2025_DOLlb","Socioeconomic"
1998,0.673841081930669,"Commercial","AVGPRICE_ATLANTICREDHAKE_2025_DOLlb","Socioeconomic"
1999,0.6749522200995,"Commercial","AVGPRICE_ATLANTICREDHAKE_2025_DOLlb","Socioeconomic"
2000,0.669201276086979,"Commercial","AVGPRICE_ATLANTICREDHAKE_2025_DOLlb","Socioeconomic"
2001,0.605627728815159,"Commercial","AVGPRICE_ATLANTICREDHAKE_2025_DOLlb","Socioeconomic"
2002,0.697664935240361,"Commercial","AVGPRICE_ATLANTICREDHAKE_2025_DOLlb","Socioeconomic"
2003,0.656763382130799,"Commercial","AVGPRICE_ATLANTICREDHAKE_2025_DOLlb","Socioeconomic"
2004,0.726056012552977,"Commercial","AVGPRICE_ATLANTICREDHAKE_2025_DOLlb","Socioeconomic"
2005,0.889133704823747,"Commercial","AVGPRICE_ATLANTICREDHAKE_2025_DOLlb","Socioeconomic"
2006,0.78823662429686,"Commercial","AVGPRICE_ATLANTICREDHAKE_2025_DOLlb","Socioeconomic"
2007,0.727715385997305,"Commercial","AVGPRICE_ATLANTICREDHAKE_2025_DOLlb","Socioeconomic"
2008,0.66640991897565,"Commercial","AVGPRICE_ATLANTICREDHAKE_2025_DOLlb","Socioeconomic"
2009,0.60840291157721,"Commercial","AVGPRICE_ATLANTICREDHAKE_2025_DOLlb","Socioeconomic"
2010,0.718148401540766,"Commercial","AVGPRICE_ATLANTICREDHAKE_2025_DOLlb","Socioeconomic"
2011,0.748613167774186,"Commercial","AVGPRICE_ATLANTICREDHAKE_2025_DOLlb","Socioeconomic"
2012,0.723276975017897,"Commercial","AVGPRICE_ATLANTICREDHAKE_2025_DOLlb","Socioeconomic"
2013,0.767311354571338,"Commercial","AVGPRICE_ATLANTICREDHAKE_2025_DOLlb","Socioeconomic"
2014,0.718514029255394,"Commercial","AVGPRICE_ATLANTICREDHAKE_2025_DOLlb","Socioeconomic"
2015,0.778027385191536,"Commercial","AVGPRICE_ATLANTICREDHAKE_2025_DOLlb","Socioeconomic"
2016,0.760100394584155,"Commercial","AVGPRICE_ATLANTICREDHAKE_2025_DOLlb","Socioeconomic"
2017,0.718182803525462,"Commercial","AVGPRICE_ATLANTICREDHAKE_2025_DOLlb","Socioeconomic"
2018,0.595540820097039,"Commercial","AVGPRICE_ATLANTICREDHAKE_2025_DOLlb","Socioeconomic"
2019,0.608939735846012,"Commercial","AVGPRICE_ATLANTICREDHAKE_2025_DOLlb","Socioeconomic"
2020,0.602761203300334,"Commercial","AVGPRICE_ATLANTICREDHAKE_2025_DOLlb","Socioeconomic"
2021,0.683898035918246,"Commercial","AVGPRICE_ATLANTICREDHAKE_2025_DOLlb","Socioeconomic"
2022,0.811439337491722,"Commercial","AVGPRICE_ATLANTICREDHAKE_2025_DOLlb","Socioeconomic"
2023,0.571592629590456,"Commercial","AVGPRICE_ATLANTICREDHAKE_2025_DOLlb","Socioeconomic"
2024,0.464849030357492,"Commercial","AVGPRICE_ATLANTICREDHAKE_2025_DOLlb","Socioeconomic"
2025,0.591953753929527,"Commercial","AVGPRICE_ATLANTICREDHAKE_2025_DOLlb","Socioeconomic"
1996,3403.87106728714,"Commercial","AVGVESREVperYr_ATLANTICREDHAKE_2025_DOLlb","Socioeconomic"
1997,3569.29667176395,"Commercial","AVGVESREVperYr_ATLANTICREDHAKE_2025_DOLlb","Socioeconomic"
1998,3085.1376060913,"Commercial","AVGVESREVperYr_ATLANTICREDHAKE_2025_DOLlb","Socioeconomic"
1999,3323.69334428975,"Commercial","AVGVESREVperYr_ATLANTICREDHAKE_2025_DOLlb","Socioeconomic"
2000,3655.37508533727,"Commercial","AVGVESREVperYr_ATLANTICREDHAKE_2025_DOLlb","Socioeconomic"
2001,3761.93782884237,"Commercial","AVGVESREVperYr_ATLANTICREDHAKE_2025_DOLlb","Socioeconomic"
2002,3132.51378573566,"Commercial","AVGVESREVperYr_ATLANTICREDHAKE_2025_DOLlb","Socioeconomic"
2003,3123.73140036397,"Commercial","AVGVESREVperYr_ATLANTICREDHAKE_2025_DOLlb","Socioeconomic"
