"YEAR","DATA_VALUE","CATEGORY","INDICATOR_NAME","INDICATOR_TYPE"
2007,3.21431728163435,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2008,4.3607380476277,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2009,2.47439478290328,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2010,3.16133271597362,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2011,4.25350893110912,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2012,4.30850371308379,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2013,4.09908132577796,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2014,3.74535610939979,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2015,2.19864594358526,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2016,1.77888749770964,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2017,2.13584999249962,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2018,2.65031030032848,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2019,2.40636499158452,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2020,1.52518574058959,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2021,2.42235109888614,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2022,4.06542046571535,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2023,2.98339682306221,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2024,2.49462789622235,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2025,2.329,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
1996,2.56412982110378,"Commercial","AVGPRICE_HADDOCK_2025_DOLlb","Socioeconomic"
1997,2.5156161834593,"Commercial","AVGPRICE_HADDOCK_2025_DOLlb","Socioeconomic"
1998,2.7307798214965,"Commercial","AVGPRICE_HADDOCK_2025_DOLlb","Socioeconomic"
1999,2.77885651331042,"Commercial","AVGPRICE_HADDOCK_2025_DOLlb","Socioeconomic"
2000,2.7485799643242,"Commercial","AVGPRICE_HADDOCK_2025_DOLlb","Socioeconomic"
2001,2.54249319077717,"Commercial","AVGPRICE_HADDOCK_2025_DOLlb","Socioeconomic"
2002,2.50532843467709,"Commercial","AVGPRICE_HADDOCK_2025_DOLlb","Socioeconomic"
2003,2.45417824286868,"Commercial","AVGPRICE_HADDOCK_2025_DOLlb","Socioeconomic"
2004,2.2308863212251,"Commercial","AVGPRICE_HADDOCK_2025_DOLlb","Socioeconomic"
2005,2.3589149973783,"Commercial","AVGPRICE_HADDOCK_2025_DOLlb","Socioeconomic"
2006,2.89453923822764,"Commercial","AVGPRICE_HADDOCK_2025_DOLlb","Socioeconomic"
2007,3.10618781782381,"Commercial","AVGPRICE_HADDOCK_2025_DOLlb","Socioeconomic"
2008,2.47993467845677,"Commercial","AVGPRICE_HADDOCK_2025_DOLlb","Socioeconomic"
2009,2.16047343847259,"Commercial","AVGPRICE_HADDOCK_2025_DOLlb","Socioeconomic"
2010,2.10991195328081,"Commercial","AVGPRICE_HADDOCK_2025_DOLlb","Socioeconomic"
2011,2.92525693163282,"Commercial","AVGPRICE_HADDOCK_2025_DOLlb","Socioeconomic"
2012,3.61792839998765,"Commercial","AVGPRICE_HADDOCK_2025_DOLlb","Socioeconomic"
2013,3.12032162865005,"Commercial","AVGPRICE_HADDOCK_2025_DOLlb","Socioeconomic"
2014,2.47946813260194,"Commercial","AVGPRICE_HADDOCK_2025_DOLlb","Socioeconomic"
2015,2.03635589020692,"Commercial","AVGPRICE_HADDOCK_2025_DOLlb","Socioeconomic"
2016,2.20368053118107,"Commercial","AVGPRICE_HADDOCK_2025_DOLlb","Socioeconomic"
2017,1.93589060989769,"Commercial","AVGPRICE_HADDOCK_2025_DOLlb","Socioeconomic"
2018,1.86901833203018,"Commercial","AVGPRICE_HADDOCK_2025_DOLlb","Socioeconomic"
2019,1.78315777868026,"Commercial","AVGPRICE_HADDOCK_2025_DOLlb","Socioeconomic"
