"YEAR","DATA_VALUE","CATEGORY","INDICATOR_NAME","INDICATOR_TYPE"
2007,3.21449174252426,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2008,4.36097473186693,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2009,2.47452908362035,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2010,3.16150430106327,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2011,4.25373979536063,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2012,4.30873756224245,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2013,4.0993038082877,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2014,3.74555939305309,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2015,2.19876527770642,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2016,1.77898404894236,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2017,2.13596591829591,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2018,2.65045414906929,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2019,2.40649559990382,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2020,1.52526852185798,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2021,2.42248257487041,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2022,4.06564112124191,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2023,2.98355875046984,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2024,2.49476329511569,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2025,2.329,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
1996,1.74685706989815,"Commercial","AVGPRICE_LONGFINSQUID_2025_DOLlb","Socioeconomic"
1997,1.66156640818158,"Commercial","AVGPRICE_LONGFINSQUID_2025_DOLlb","Socioeconomic"
1998,1.91790679865264,"Commercial","AVGPRICE_LONGFINSQUID_2025_DOLlb","Socioeconomic"
1999,1.68357840044538,"Commercial","AVGPRICE_LONGFINSQUID_2025_DOLlb","Socioeconomic"
2000,1.41400969384957,"Commercial","AVGPRICE_LONGFINSQUID_2025_DOLlb","Socioeconomic"
2001,1.48163921537198,"Commercial","AVGPRICE_LONGFINSQUID_2025_DOLlb","Socioeconomic"
2002,1.37990105494696,"Commercial","AVGPRICE_LONGFINSQUID_2025_DOLlb","Socioeconomic"
2003,1.94304373244431,"Commercial","AVGPRICE_LONGFINSQUID_2025_DOLlb","Socioeconomic"
2004,1.59350109638651,"Commercial","AVGPRICE_LONGFINSQUID_2025_DOLlb","Socioeconomic"
2005,1.62343166263188,"Commercial","AVGPRICE_LONGFINSQUID_2025_DOLlb","Socioeconomic"
2006,1.44755989172708,"Commercial","AVGPRICE_LONGFINSQUID_2025_DOLlb","Socioeconomic"
2007,1.63394678522432,"Commercial","AVGPRICE_LONGFINSQUID_2025_DOLlb","Socioeconomic"
2008,1.64730660548417,"Commercial","AVGPRICE_LONGFINSQUID_2025_DOLlb","Socioeconomic"
2009,1.63222755295339,"Commercial","AVGPRICE_LONGFINSQUID_2025_DOLlb","Socioeconomic"
2010,1.78776680523758,"Commercial","AVGPRICE_LONGFINSQUID_2025_DOLlb","Socioeconomic"
2011,1.97761720201109,"Commercial","AVGPRICE_LONGFINSQUID_2025_DOLlb","Socioeconomic"
2012,1.78585674664666,"Commercial","AVGPRICE_LONGFINSQUID_2025_DOLlb","Socioeconomic"
2013,1.88206101766614,"Commercial","AVGPRICE_LONGFINSQUID_2025_DOLlb","Socioeconomic"
2014,1.58685858236584,"Commercial","AVGPRICE_LONGFINSQUID_2025_DOLlb","Socioeconomic"
2015,1.88566176736539,"Commercial","AVGPRICE_LONGFINSQUID_2025_DOLlb","Socioeconomic"
2016,1.87733635309364,"Commercial","AVGPRICE_LONGFINSQUID_2025_DOLlb","Socioeconomic"
2017,2.27160299875716,"Commercial","AVGPRICE_LONGFINSQUID_2025_DOLlb","Socioeconomic"
2018,2.37822161484272,"Commercial","AVGPRICE_LONGFINSQUID_2025_DOLlb","Socioeconomic"
2019,2.3981184509955,"Commercial","AVGPRICE_LONGFINSQUID_2025_DOLlb","Socioeconomic"
2020,1.80629755284218,"Commercial","AVGPRICE_LONGFINSQUID_2025_DOLlb","Socioeconomic"
2021,2.2213339897731,"Commercial","AVGPRICE_LONGFINSQUID_2025_DOLlb","Socioeconomic"
2022,2.15884500002106,"Commercial","AVGPRICE_LONGFINSQUID_2025_DOLlb","Socioeconomic"
2023,1.62861702523912,"Commercial","AVGPRICE_LONGFINSQUID_2025_DOLlb","Socioeconomic"
2024,1.73480808485768,"Commercial","AVGPRICE_LONGFINSQUID_2025_DOLlb","Socioeconomic"
2025,1.69201388271421,"Commercial","AVGPRICE_LONGFINSQUID_2025_DOLlb","Socioeconomic"
1996,79491.1557124041,"Commercial","AVGVESREVperYr_LONGFINSQUID_2025_DOLlb","Socioeconomic"
1997,109668.871603041,"Commercial","AVGVESREVperYr_LONGFINSQUID_2025_DOLlb","Socioeconomic"
1998,121825.327648248,"Commercial","AVGVESREVperYr_LONGFINSQUID_2025_DOLlb","Socioeconomic"
1999,112563.626132534,"Commercial","AVGVESREVperYr_LONGFINSQUID_2025_DOLlb","Socioeconomic"
2000,87445.3706049233,"Commercial","AVGVESREVperYr_LONGFINSQUID_2025_DOLlb","Socioeconomic"
2001,81757.4593231473,"Commercial","AVGVESREVperYr_LONGFINSQUID_2025_DOLlb","Socioeconomic"
2002,94966.5004892001,"Commercial","AVGVESREVperYr_LONGFINSQUID_2025_DOLlb","Socioeconomic"
2003,85832.9995071262,"Commercial","AVGVESREVperYr_LONGFINSQUID_2025_DOLlb","Socioeconomic"
2004,104153.253320873,"Commercial","AVGVESREVperYr_LONGFINSQUID_2025_DOLlb","Socioeconomic"
2005,132691.59570514,"Commercial","AVGVESREVperYr_LONGFINSQUID_2025_DOLlb","Socioeconomic"
