"YEAR","DATA_VALUE","CATEGORY","INDICATOR_NAME","INDICATOR_TYPE"
2007,3.21449174252426,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2008,4.36097473186693,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2009,2.47452908362035,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2010,3.16150430106327,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2011,4.25373979536063,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2012,4.30873756224245,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2013,4.0993038082877,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2014,3.74555939305309,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2015,2.19876527770642,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2016,1.77898404894236,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2017,2.13596591829591,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2018,2.65045414906929,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2019,2.40649559990382,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2020,1.52526852185798,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2021,2.42248257487041,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2022,4.06564112124191,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2023,2.98355875046984,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2024,2.49476329511569,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2025,2.329,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
1996,12.0247498186512,"Commercial","AVGPRICE_SEASCALLOP_2025_DOLlb","Socioeconomic"
1997,12.8443102745291,"Commercial","AVGPRICE_SEASCALLOP_2025_DOLlb","Socioeconomic"
1998,12.1587384442166,"Commercial","AVGPRICE_SEASCALLOP_2025_DOLlb","Socioeconomic"
1999,11.1705353083264,"Commercial","AVGPRICE_SEASCALLOP_2025_DOLlb","Socioeconomic"
2000,10.1680811295805,"Commercial","AVGPRICE_SEASCALLOP_2025_DOLlb","Socioeconomic"
2001,8.07995091374794,"Commercial","AVGPRICE_SEASCALLOP_2025_DOLlb","Socioeconomic"
2002,8.64657773406167,"Commercial","AVGPRICE_SEASCALLOP_2025_DOLlb","Socioeconomic"
2003,8.47280788097468,"Commercial","AVGPRICE_SEASCALLOP_2025_DOLlb","Socioeconomic"
2004,8.86080804668232,"Commercial","AVGPRICE_SEASCALLOP_2025_DOLlb","Socioeconomic"
2005,12.1201822035555,"Commercial","AVGPRICE_SEASCALLOP_2025_DOLlb","Socioeconomic"
2006,10.6445829258903,"Commercial","AVGPRICE_SEASCALLOP_2025_DOLlb","Socioeconomic"
2007,10.3617656581403,"Commercial","AVGPRICE_SEASCALLOP_2025_DOLlb","Socioeconomic"
2008,10.6304087230449,"Commercial","AVGPRICE_SEASCALLOP_2025_DOLlb","Socioeconomic"
2009,10.0520951978413,"Commercial","AVGPRICE_SEASCALLOP_2025_DOLlb","Socioeconomic"
2010,12.5881749608785,"Commercial","AVGPRICE_SEASCALLOP_2025_DOLlb","Socioeconomic"
2011,14.4951506527608,"Commercial","AVGPRICE_SEASCALLOP_2025_DOLlb","Socioeconomic"
2012,16.3686140764428,"Commercial","AVGPRICE_SEASCALLOP_2025_DOLlb","Socioeconomic"
2013,16.0592666625228,"Commercial","AVGPRICE_SEASCALLOP_2025_DOLlb","Socioeconomic"
2014,17.6911103854659,"Commercial","AVGPRICE_SEASCALLOP_2025_DOLlb","Socioeconomic"
2015,17.3286113339754,"Commercial","AVGPRICE_SEASCALLOP_2025_DOLlb","Socioeconomic"
2016,17.2001690792266,"Commercial","AVGPRICE_SEASCALLOP_2025_DOLlb","Socioeconomic"
2017,14.9886176279898,"Commercial","AVGPRICE_SEASCALLOP_2025_DOLlb","Socioeconomic"
2018,12.9574512131003,"Commercial","AVGPRICE_SEASCALLOP_2025_DOLlb","Socioeconomic"
2019,13.1267475543545,"Commercial","AVGPRICE_SEASCALLOP_2025_DOLlb","Socioeconomic"
2020,12.9273194581619,"Commercial","AVGPRICE_SEASCALLOP_2025_DOLlb","Socioeconomic"
2021,20.021796694707,"Commercial","AVGPRICE_SEASCALLOP_2025_DOLlb","Socioeconomic"
2022,19.7411583413943,"Commercial","AVGPRICE_SEASCALLOP_2025_DOLlb","Socioeconomic"
2023,15.6333433010373,"Commercial","AVGPRICE_SEASCALLOP_2025_DOLlb","Socioeconomic"
2024,18.2112439272662,"Commercial","AVGPRICE_SEASCALLOP_2025_DOLlb","Socioeconomic"
2025,24.0424361623219,"Commercial","AVGPRICE_SEASCALLOP_2025_DOLlb","Socioeconomic"
1996,365024.199982706,"Commercial","AVGVESREVperYr_SEASCALLOP_2025_DOLlb","Socioeconomic"
1997,317180.223766376,"Commercial","AVGVESREVperYr_SEASCALLOP_2025_DOLlb","Socioeconomic"
1998,294189.21527995,"Commercial","AVGVESREVperYr_SEASCALLOP_2025_DOLlb","Socioeconomic"
1999,492651.306520829,"Commercial","AVGVESREVperYr_SEASCALLOP_2025_DOLlb","Socioeconomic"
2000,590018.188010626,"Commercial","AVGVESREVperYr_SEASCALLOP_2025_DOLlb","Socioeconomic"
2001,525137.350207789,"Commercial","AVGVESREVperYr_SEASCALLOP_2025_DOLlb","Socioeconomic"
2002,544092.721788503,"Commercial","AVGVESREVperYr_SEASCALLOP_2025_DOLlb","Socioeconomic"
2003,568288.329439695,"Commercial","AVGVESREVperYr_SEASCALLOP_2025_DOLlb","Socioeconomic"
2004,672549.233935337,"Commercial","AVGVESREVperYr_SEASCALLOP_2025_DOLlb","Socioeconomic"
2005,722725.6991957,"Commercial","AVGVESREVperYr_SEASCALLOP_2025_DOLlb","Socioeconomic"
2006,579439.184342372,"Commercial","AVGVESREVperYr_SEASCALLOP_2025_DOLlb","Socioeconomic"
