YEAR,DATA_VALUE,CATEGORY,INDICATOR_NAME,INDICATOR_TYPE
2007,3.214491743,Commercial,AVGANNUAL_DIESEL_PRICE2025dols,Socioeconomic
2008,4.360974732,Commercial,AVGANNUAL_DIESEL_PRICE2025dols,Socioeconomic
2009,2.474529084,Commercial,AVGANNUAL_DIESEL_PRICE2025dols,Socioeconomic
2010,3.161504301,Commercial,AVGANNUAL_DIESEL_PRICE2025dols,Socioeconomic
2011,4.253739795,Commercial,AVGANNUAL_DIESEL_PRICE2025dols,Socioeconomic
2012,4.308737562,Commercial,AVGANNUAL_DIESEL_PRICE2025dols,Socioeconomic
2013,4.099303808,Commercial,AVGANNUAL_DIESEL_PRICE2025dols,Socioeconomic
2014,3.745559393,Commercial,AVGANNUAL_DIESEL_PRICE2025dols,Socioeconomic
2015,2.198765278,Commercial,AVGANNUAL_DIESEL_PRICE2025dols,Socioeconomic
2016,1.778984049,Commercial,AVGANNUAL_DIESEL_PRICE2025dols,Socioeconomic
2017,2.135965918,Commercial,AVGANNUAL_DIESEL_PRICE2025dols,Socioeconomic
2018,2.650454149,Commercial,AVGANNUAL_DIESEL_PRICE2025dols,Socioeconomic
2019,2.4064956,Commercial,AVGANNUAL_DIESEL_PRICE2025dols,Socioeconomic
2020,1.525268522,Commercial,AVGANNUAL_DIESEL_PRICE2025dols,Socioeconomic
2021,2.422482575,Commercial,AVGANNUAL_DIESEL_PRICE2025dols,Socioeconomic
2022,4.065641121,Commercial,AVGANNUAL_DIESEL_PRICE2025dols,Socioeconomic
2023,2.98355875,Commercial,AVGANNUAL_DIESEL_PRICE2025dols,Socioeconomic
2024,2.494763295,Commercial,AVGANNUAL_DIESEL_PRICE2025dols,Socioeconomic
2025,2.329,Commercial,AVGANNUAL_DIESEL_PRICE2025dols,Socioeconomic
1996,0.99738586,Commercial,AVGPRICE_SILVER(WHITING)HAKE_2025_DOLlb,Socioeconomic
1997,0.992172311,Commercial,AVGPRICE_SILVER(WHITING)HAKE_2025_DOLlb,Socioeconomic
1998,1.081282241,Commercial,AVGPRICE_SILVER(WHITING)HAKE_2025_DOLlb,Socioeconomic
1999,1.115214186,Commercial,AVGPRICE_SILVER(WHITING)HAKE_2025_DOLlb,Socioeconomic
2000,0.994193573,Commercial,AVGPRICE_SILVER(WHITING)HAKE_2025_DOLlb,Socioeconomic
2001,0.922662512,Commercial,AVGPRICE_SILVER(WHITING)HAKE_2025_DOLlb,Socioeconomic
2002,1.041816494,Commercial,AVGPRICE_SILVER(WHITING)HAKE_2025_DOLlb,Socioeconomic
2003,1.174489068,Commercial,AVGPRICE_SILVER(WHITING)HAKE_2025_DOLlb,Socioeconomic
2004,1.187443016,Commercial,AVGPRICE_SILVER(WHITING)HAKE_2025_DOLlb,Socioeconomic
2005,1.284175454,Commercial,AVGPRICE_SILVER(WHITING)HAKE_2025_DOLlb,Socioeconomic
2006,1.281844884,Commercial,AVGPRICE_SILVER(WHITING)HAKE_2025_DOLlb,Socioeconomic
2007,1.199043081,Commercial,AVGPRICE_SILVER(WHITING)HAKE_2025_DOLlb,Socioeconomic
2008,1.274670526,Commercial,AVGPRICE_SILVER(WHITING)HAKE_2025_DOLlb,Socioeconomic
2009,1.159663424,Commercial,AVGPRICE_SILVER(WHITING)HAKE_2025_DOLlb,Socioeconomic
2010,1.207641331,Commercial,AVGPRICE_SILVER(WHITING)HAKE_2025_DOLlb,Socioeconomic
2011,1.349426806,Commercial,AVGPRICE_SILVER(WHITING)HAKE_2025_DOLlb,Socioeconomic
2012,1.212571672,Commercial,AVGPRICE_SILVER(WHITING)HAKE_2025_DOLlb,Socioeconomic
2013,1.260116258,Commercial,AVGPRICE_SILVER(WHITING)HAKE_2025_DOLlb,Socioeconomic
2014,1.169581586,Commercial,AVGPRICE_SILVER(WHITING)HAKE_2025_DOLlb,Socioeconomic
2015,1.252801677,Commercial,AVGPRICE_SILVER(WHITING)HAKE_2025_DOLlb,Socioeconomic
2016,1.215252448,Commercial,AVGPRICE_SILVER(WHITING)HAKE_2025_DOLlb,Socioeconomic
2017,1.177680393,Commercial,AVGPRICE_SILVER(WHITING)HAKE_2025_DOLlb,Socioeconomic
2018,1.216581407,Commercial,AVGPRICE_SILVER(WHITING)HAKE_2025_DOLlb,Socioeconomic
2019,1.175635022,Commercial,AVGPRICE_SILVER(WHITING)HAKE_2025_DOLlb,Socioeconomic
2020,1.258983264,Commercial,AVGPRICE_SILVER(WHITING)HAKE_2025_DOLlb,Socioeconomic
2021,1.375339917,Commercial,AVGPRICE_SILVER(WHITING)HAKE_2025_DOLlb,Socioeconomic
2022,1.219626292,Commercial,AVGPRICE_SILVER(WHITING)HAKE_2025_DOLlb,Socioeconomic
2023,1.000316965,Commercial,AVGPRICE_SILVER(WHITING)HAKE_2025_DOLlb,Socioeconomic
2024,0.834400181,Commercial,AVGPRICE_SILVER(WHITING)HAKE_2025_DOLlb,Socioeconomic
2025,1.007324895,Commercial,AVGPRICE_SILVER(WHITING)HAKE_2025_DOLlb,Socioeconomic
1996,40686.39612,Commercial,AVGVESREVperYr_SILVER(WHITING)HAKE_2025_DOLlb,Socioeconomic
1997,45879.36861,Commercial,AVGVESREVperYr_SILVER(WHITING)HAKE_2025_DOLlb,Socioeconomic
1998,40158.42074,Commercial,AVGVESREVperYr_SILVER(WHITING)HAKE_2025_DOLlb,Socioeconomic
1999,47059.07341,Commercial,AVGVESREVperYr_SILVER(WHITING)HAKE_2025_DOLlb,Socioeconomic
2000,35400.71923,Commercial,AVGVESREVperYr_SILVER(WHITING)HAKE_2025_DOLlb,Socioeconomic
2001,42084.98111,Commercial,AVGVESREVperYr_SILVER(WHITING)HAKE_2025_DOLlb,Socioeconomic
2002,25838.88805,Commercial,AVGVESREVperYr_SILVER(WHITING)HAKE_2025_DOLlb,Socioeconomic
2003,38221.53781,Commercial,AVGVESREVperYr_SILVER(WHITING)HAKE_2025_DOLlb,Socioeconomic
2004,44388.81704,Commercial,AVGVESREVperYr_SILVER(WHITING)HAKE_2025_DOLlb,Socioeconomic
2005,50723.44349,Commercial,AVGVESREVperYr_SILVER(WHITING)HAKE_2025_DOLlb,Socioeconomic
