"YEAR","DATA_VALUE","CATEGORY","INDICATOR_NAME","INDICATOR_TYPE"
2007,3.21449174252426,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2008,4.36097473186693,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2009,2.47452908362035,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2010,3.16150430106327,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2011,4.25373979536063,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2012,4.30873756224245,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2013,4.0993038082877,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2014,3.74555939305309,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2015,2.19876527770642,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2016,1.77898404894236,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2017,2.13596591829591,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2018,2.65045414906929,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2019,2.40649559990382,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2020,1.52526852185798,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2021,2.42248257487041,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2022,4.06564112124191,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2023,2.98355875046984,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2024,2.49476329511569,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2025,2.329,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
1996,0.997385860124771,"Commercial","AVGPRICE_SILVERHAKE_2025_DOLlb","Socioeconomic"
1997,0.992172310967856,"Commercial","AVGPRICE_SILVERHAKE_2025_DOLlb","Socioeconomic"
1998,1.0812822413378,"Commercial","AVGPRICE_SILVERHAKE_2025_DOLlb","Socioeconomic"
1999,1.11521418587053,"Commercial","AVGPRICE_SILVERHAKE_2025_DOLlb","Socioeconomic"
2000,0.994193572899,"Commercial","AVGPRICE_SILVERHAKE_2025_DOLlb","Socioeconomic"
2001,0.922662511544769,"Commercial","AVGPRICE_SILVERHAKE_2025_DOLlb","Socioeconomic"
2002,1.04181649357549,"Commercial","AVGPRICE_SILVERHAKE_2025_DOLlb","Socioeconomic"
2003,1.17448906781335,"Commercial","AVGPRICE_SILVERHAKE_2025_DOLlb","Socioeconomic"
2004,1.18744301621333,"Commercial","AVGPRICE_SILVERHAKE_2025_DOLlb","Socioeconomic"
2005,1.28417545421609,"Commercial","AVGPRICE_SILVERHAKE_2025_DOLlb","Socioeconomic"
2006,1.28184488416735,"Commercial","AVGPRICE_SILVERHAKE_2025_DOLlb","Socioeconomic"
2007,1.19904308070294,"Commercial","AVGPRICE_SILVERHAKE_2025_DOLlb","Socioeconomic"
2008,1.27467052561993,"Commercial","AVGPRICE_SILVERHAKE_2025_DOLlb","Socioeconomic"
2009,1.15966342391125,"Commercial","AVGPRICE_SILVERHAKE_2025_DOLlb","Socioeconomic"
2010,1.20764133104535,"Commercial","AVGPRICE_SILVERHAKE_2025_DOLlb","Socioeconomic"
2011,1.34942680551103,"Commercial","AVGPRICE_SILVERHAKE_2025_DOLlb","Socioeconomic"
2012,1.21257167165389,"Commercial","AVGPRICE_SILVERHAKE_2025_DOLlb","Socioeconomic"
2013,1.26011625786181,"Commercial","AVGPRICE_SILVERHAKE_2025_DOLlb","Socioeconomic"
2014,1.16958158634359,"Commercial","AVGPRICE_SILVERHAKE_2025_DOLlb","Socioeconomic"
2015,1.25280167660645,"Commercial","AVGPRICE_SILVERHAKE_2025_DOLlb","Socioeconomic"
2016,1.21525244811036,"Commercial","AVGPRICE_SILVERHAKE_2025_DOLlb","Socioeconomic"
2017,1.17768039280325,"Commercial","AVGPRICE_SILVERHAKE_2025_DOLlb","Socioeconomic"
2018,1.21658140688812,"Commercial","AVGPRICE_SILVERHAKE_2025_DOLlb","Socioeconomic"
2019,1.1756350218483,"Commercial","AVGPRICE_SILVERHAKE_2025_DOLlb","Socioeconomic"
2020,1.25898326441845,"Commercial","AVGPRICE_SILVERHAKE_2025_DOLlb","Socioeconomic"
2021,1.37533991695722,"Commercial","AVGPRICE_SILVERHAKE_2025_DOLlb","Socioeconomic"
2022,1.21962629205149,"Commercial","AVGPRICE_SILVERHAKE_2025_DOLlb","Socioeconomic"
2023,1.00031696545701,"Commercial","AVGPRICE_SILVERHAKE_2025_DOLlb","Socioeconomic"
2024,0.834400181100078,"Commercial","AVGPRICE_SILVERHAKE_2025_DOLlb","Socioeconomic"
2025,1.00732489526167,"Commercial","AVGPRICE_SILVERHAKE_2025_DOLlb","Socioeconomic"
1996,40686.3961213896,"Commercial","AVGVESREVperYr_SILVERHAKE_2025_DOLlb","Socioeconomic"
1997,45879.3686134032,"Commercial","AVGVESREVperYr_SILVERHAKE_2025_DOLlb","Socioeconomic"
1998,40158.4207419661,"Commercial","AVGVESREVperYr_SILVERHAKE_2025_DOLlb","Socioeconomic"
1999,47059.0734098337,"Commercial","AVGVESREVperYr_SILVERHAKE_2025_DOLlb","Socioeconomic"
2000,35400.7192333871,"Commercial","AVGVESREVperYr_SILVERHAKE_2025_DOLlb","Socioeconomic"
2001,42084.9811095238,"Commercial","AVGVESREVperYr_SILVERHAKE_2025_DOLlb","Socioeconomic"
2002,25838.8880530581,"Commercial","AVGVESREVperYr_SILVERHAKE_2025_DOLlb","Socioeconomic"
2003,38221.5378081364,"Commercial","AVGVESREVperYr_SILVERHAKE_2025_DOLlb","Socioeconomic"
2004,44388.8170416554,"Commercial","AVGVESREVperYr_SILVERHAKE_2025_DOLlb","Socioeconomic"
2005,50723.4434912162,"Commercial","AVGVESREVperYr_SILVERHAKE_2025_DOLlb","Socioeconomic"
2006,39256.5285124406,"Commercial","AVGVESREVperYr_SILVERHAKE_2025_DOLlb","Socioeconomic"
