YEAR,DATA_VALUE,CATEGORY,INDICATOR_NAME,INDICATOR_TYPE
2007,3.214491743,Commercial,AVGANNUAL_DIESEL_PRICE2025dols,Socioeconomic
2008,4.360974732,Commercial,AVGANNUAL_DIESEL_PRICE2025dols,Socioeconomic
2009,2.474529084,Commercial,AVGANNUAL_DIESEL_PRICE2025dols,Socioeconomic
2010,3.161504301,Commercial,AVGANNUAL_DIESEL_PRICE2025dols,Socioeconomic
2011,4.253739795,Commercial,AVGANNUAL_DIESEL_PRICE2025dols,Socioeconomic
2012,4.308737562,Commercial,AVGANNUAL_DIESEL_PRICE2025dols,Socioeconomic
2013,4.099303808,Commercial,AVGANNUAL_DIESEL_PRICE2025dols,Socioeconomic
2014,3.745559393,Commercial,AVGANNUAL_DIESEL_PRICE2025dols,Socioeconomic
2015,2.198765278,Commercial,AVGANNUAL_DIESEL_PRICE2025dols,Socioeconomic
2016,1.778984049,Commercial,AVGANNUAL_DIESEL_PRICE2025dols,Socioeconomic
2017,2.135965918,Commercial,AVGANNUAL_DIESEL_PRICE2025dols,Socioeconomic
2018,2.650454149,Commercial,AVGANNUAL_DIESEL_PRICE2025dols,Socioeconomic
2019,2.4064956,Commercial,AVGANNUAL_DIESEL_PRICE2025dols,Socioeconomic
2020,1.525268522,Commercial,AVGANNUAL_DIESEL_PRICE2025dols,Socioeconomic
2021,2.422482575,Commercial,AVGANNUAL_DIESEL_PRICE2025dols,Socioeconomic
2022,4.065641121,Commercial,AVGANNUAL_DIESEL_PRICE2025dols,Socioeconomic
2023,2.98355875,Commercial,AVGANNUAL_DIESEL_PRICE2025dols,Socioeconomic
2024,2.494763295,Commercial,AVGANNUAL_DIESEL_PRICE2025dols,Socioeconomic
2025,2.329,Commercial,AVGANNUAL_DIESEL_PRICE2025dols,Socioeconomic
1996,4.380471347,Commercial,AVGPRICE_WITCH(GRAY SOLE)FLOUNDER_2025_DOLlb,Socioeconomic
1997,4.514359275,Commercial,AVGPRICE_WITCH(GRAY SOLE)FLOUNDER_2025_DOLlb,Socioeconomic
1998,4.656998582,Commercial,AVGPRICE_WITCH(GRAY SOLE)FLOUNDER_2025_DOLlb,Socioeconomic
1999,4.027623752,Commercial,AVGPRICE_WITCH(GRAY SOLE)FLOUNDER_2025_DOLlb,Socioeconomic
2000,3.646995367,Commercial,AVGPRICE_WITCH(GRAY SOLE)FLOUNDER_2025_DOLlb,Socioeconomic
2001,3.644156162,Commercial,AVGPRICE_WITCH(GRAY SOLE)FLOUNDER_2025_DOLlb,Socioeconomic
2002,3.430320539,Commercial,AVGPRICE_WITCH(GRAY SOLE)FLOUNDER_2025_DOLlb,Socioeconomic
2003,3.448490023,Commercial,AVGPRICE_WITCH(GRAY SOLE)FLOUNDER_2025_DOLlb,Socioeconomic
2004,3.625983618,Commercial,AVGPRICE_WITCH(GRAY SOLE)FLOUNDER_2025_DOLlb,Socioeconomic
2005,3.691725157,Commercial,AVGPRICE_WITCH(GRAY SOLE)FLOUNDER_2025_DOLlb,Socioeconomic
2006,4.439993452,Commercial,AVGPRICE_WITCH(GRAY SOLE)FLOUNDER_2025_DOLlb,Socioeconomic
2007,4.861154804,Commercial,AVGPRICE_WITCH(GRAY SOLE)FLOUNDER_2025_DOLlb,Socioeconomic
2008,4.522645167,Commercial,AVGPRICE_WITCH(GRAY SOLE)FLOUNDER_2025_DOLlb,Socioeconomic
2009,4.166313718,Commercial,AVGPRICE_WITCH(GRAY SOLE)FLOUNDER_2025_DOLlb,Socioeconomic
2010,4.840440949,Commercial,AVGPRICE_WITCH(GRAY SOLE)FLOUNDER_2025_DOLlb,Socioeconomic
2011,4.524454184,Commercial,AVGPRICE_WITCH(GRAY SOLE)FLOUNDER_2025_DOLlb,Socioeconomic
2012,4.060125028,Commercial,AVGPRICE_WITCH(GRAY SOLE)FLOUNDER_2025_DOLlb,Socioeconomic
2013,4.63695121,Commercial,AVGPRICE_WITCH(GRAY SOLE)FLOUNDER_2025_DOLlb,Socioeconomic
2014,4.542204029,Commercial,AVGPRICE_WITCH(GRAY SOLE)FLOUNDER_2025_DOLlb,Socioeconomic
2015,4.597782705,Commercial,AVGPRICE_WITCH(GRAY SOLE)FLOUNDER_2025_DOLlb,Socioeconomic
2016,5.599779522,Commercial,AVGPRICE_WITCH(GRAY SOLE)FLOUNDER_2025_DOLlb,Socioeconomic
2017,4.950493597,Commercial,AVGPRICE_WITCH(GRAY SOLE)FLOUNDER_2025_DOLlb,Socioeconomic
2018,4.026229586,Commercial,AVGPRICE_WITCH(GRAY SOLE)FLOUNDER_2025_DOLlb,Socioeconomic
2019,4.448848931,Commercial,AVGPRICE_WITCH(GRAY SOLE)FLOUNDER_2025_DOLlb,Socioeconomic
2020,3.553530324,Commercial,AVGPRICE_WITCH(GRAY SOLE)FLOUNDER_2025_DOLlb,Socioeconomic
2021,3.696886286,Commercial,AVGPRICE_WITCH(GRAY SOLE)FLOUNDER_2025_DOLlb,Socioeconomic
2022,3.165984831,Commercial,AVGPRICE_WITCH(GRAY SOLE)FLOUNDER_2025_DOLlb,Socioeconomic
2023,2.407980823,Commercial,AVGPRICE_WITCH(GRAY SOLE)FLOUNDER_2025_DOLlb,Socioeconomic
2024,2.293870458,Commercial,AVGPRICE_WITCH(GRAY SOLE)FLOUNDER_2025_DOLlb,Socioeconomic
2025,2.427286954,Commercial,AVGPRICE_WITCH(GRAY SOLE)FLOUNDER_2025_DOLlb,Socioeconomic
1996,17996.75679,Commercial,AVGVESREVperYr_WITCH(GRAY SOLE)FLOUNDER_2025_DOLlb,Socioeconomic
1997,15205.39006,Commercial,AVGVESREVperYr_WITCH(GRAY SOLE)FLOUNDER_2025_DOLlb,Socioeconomic
1998,16209.77873,Commercial,AVGVESREVperYr_WITCH(GRAY SOLE)FLOUNDER_2025_DOLlb,Socioeconomic
1999,16303.02389,Commercial,AVGVESREVperYr_WITCH(GRAY SOLE)FLOUNDER_2025_DOLlb,Socioeconomic
2000,16666.80531,Commercial,AVGVESREVperYr_WITCH(GRAY SOLE)FLOUNDER_2025_DOLlb,Socioeconomic
