"YEAR","DATA_VALUE","CATEGORY","INDICATOR_NAME","INDICATOR_TYPE"
2007,3.21449174252426,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2008,4.36097473186693,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2009,2.47452908362035,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2010,3.16150430106327,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2011,4.25373979536063,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2012,4.30873756224245,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2013,4.0993038082877,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2014,3.74555939305309,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2015,2.19876527770642,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2016,1.77898404894236,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2017,2.13596591829591,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2018,2.65045414906929,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2019,2.40649559990382,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2020,1.52526852185798,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2021,2.42248257487041,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2022,4.06564112124191,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2023,2.98355875046984,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2024,2.49476329511569,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
2025,2.329,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","Socioeconomic"
1996,4.38047134698717,"Commercial","AVGPRICE_WITCHFLOUNDER_2025_DOLlb","Socioeconomic"
1997,4.51435927459807,"Commercial","AVGPRICE_WITCHFLOUNDER_2025_DOLlb","Socioeconomic"
1998,4.65699858234147,"Commercial","AVGPRICE_WITCHFLOUNDER_2025_DOLlb","Socioeconomic"
1999,4.02762375201407,"Commercial","AVGPRICE_WITCHFLOUNDER_2025_DOLlb","Socioeconomic"
2000,3.64699536661934,"Commercial","AVGPRICE_WITCHFLOUNDER_2025_DOLlb","Socioeconomic"
2001,3.6441561615363,"Commercial","AVGPRICE_WITCHFLOUNDER_2025_DOLlb","Socioeconomic"
2002,3.43032053904729,"Commercial","AVGPRICE_WITCHFLOUNDER_2025_DOLlb","Socioeconomic"
2003,3.44849002319504,"Commercial","AVGPRICE_WITCHFLOUNDER_2025_DOLlb","Socioeconomic"
2004,3.62598361767889,"Commercial","AVGPRICE_WITCHFLOUNDER_2025_DOLlb","Socioeconomic"
2005,3.69172515727308,"Commercial","AVGPRICE_WITCHFLOUNDER_2025_DOLlb","Socioeconomic"
2006,4.43999345192863,"Commercial","AVGPRICE_WITCHFLOUNDER_2025_DOLlb","Socioeconomic"
2007,4.86115480362821,"Commercial","AVGPRICE_WITCHFLOUNDER_2025_DOLlb","Socioeconomic"
2008,4.52264516723865,"Commercial","AVGPRICE_WITCHFLOUNDER_2025_DOLlb","Socioeconomic"
2009,4.16631371844224,"Commercial","AVGPRICE_WITCHFLOUNDER_2025_DOLlb","Socioeconomic"
2010,4.84044094933487,"Commercial","AVGPRICE_WITCHFLOUNDER_2025_DOLlb","Socioeconomic"
2011,4.52445418420352,"Commercial","AVGPRICE_WITCHFLOUNDER_2025_DOLlb","Socioeconomic"
2012,4.06012502778662,"Commercial","AVGPRICE_WITCHFLOUNDER_2025_DOLlb","Socioeconomic"
2013,4.63695120985179,"Commercial","AVGPRICE_WITCHFLOUNDER_2025_DOLlb","Socioeconomic"
2014,4.54220402872596,"Commercial","AVGPRICE_WITCHFLOUNDER_2025_DOLlb","Socioeconomic"
2015,4.59778270488305,"Commercial","AVGPRICE_WITCHFLOUNDER_2025_DOLlb","Socioeconomic"
2016,5.59977952195045,"Commercial","AVGPRICE_WITCHFLOUNDER_2025_DOLlb","Socioeconomic"
2017,4.95049359749726,"Commercial","AVGPRICE_WITCHFLOUNDER_2025_DOLlb","Socioeconomic"
2018,4.02622958600185,"Commercial","AVGPRICE_WITCHFLOUNDER_2025_DOLlb","Socioeconomic"
2019,4.44884893101017,"Commercial","AVGPRICE_WITCHFLOUNDER_2025_DOLlb","Socioeconomic"
2020,3.55353032354229,"Commercial","AVGPRICE_WITCHFLOUNDER_2025_DOLlb","Socioeconomic"
2021,3.69688628639949,"Commercial","AVGPRICE_WITCHFLOUNDER_2025_DOLlb","Socioeconomic"
2022,3.16598483061397,"Commercial","AVGPRICE_WITCHFLOUNDER_2025_DOLlb","Socioeconomic"
2023,2.40798082250347,"Commercial","AVGPRICE_WITCHFLOUNDER_2025_DOLlb","Socioeconomic"
2024,2.2938704579093,"Commercial","AVGPRICE_WITCHFLOUNDER_2025_DOLlb","Socioeconomic"
2025,2.42728695355295,"Commercial","AVGPRICE_WITCHFLOUNDER_2025_DOLlb","Socioeconomic"
1996,17996.756788574,"Commercial","AVGVESREVperYr_WITCHFLOUNDER_2025_DOLlb","Socioeconomic"
1997,15205.3900562533,"Commercial","AVGVESREVperYr_WITCHFLOUNDER_2025_DOLlb","Socioeconomic"
1998,16209.7787288258,"Commercial","AVGVESREVperYr_WITCHFLOUNDER_2025_DOLlb","Socioeconomic"
1999,16303.0238935497,"Commercial","AVGVESREVperYr_WITCHFLOUNDER_2025_DOLlb","Socioeconomic"
2000,16666.8053107621,"Commercial","AVGVESREVperYr_WITCHFLOUNDER_2025_DOLlb","Socioeconomic"
2001,18888.4810315982,"Commercial","AVGVESREVperYr_WITCHFLOUNDER_2025_DOLlb","Socioeconomic"
2002,20817.8047227477,"Commercial","AVGVESREVperYr_WITCHFLOUNDER_2025_DOLlb","Socioeconomic"
2003,22230.6253367268,"Commercial","AVGVESREVperYr_WITCHFLOUNDER_2025_DOLlb","Socioeconomic"
