COMMON_NAME,SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE
ALEWIFE,161706,UNIT,NONE
AMERICANPLAICE,172877,UNIT,NONE
AMERICANSHAD,161702,UNIT,NONE
ATLANTICCOD,164712,EGB,NONE
ATLANTICCOD,164712,GBK,NONE
ATLANTICCOD,164712,SNE,NONE
ATLANTICCOD,164712,WGOM,NONE
ATLANTICHALIBUT,172933,UNIT,NONE
ATLANTICMACKEREL,172414,UNIT,NONE
ATLANTICPOLLOCK,164727,BIG,NONE
ATLANTICPOLLOCK,164727,ALB,NONE
ATLANTICREDHAKE,164730,NORTH,NONE
ATLANTICREDHAKE,164730,SOUTH,NONE
ATLANTICSEAHERRING,161722,UNIT,NONE
ATLANTICWHITEHAKE,164732,UNIT,NONE
ATLANTICWOLFFISH,171341,UNIT,NONE
BARNDOORSKATE,564139,UNIT,NONE
BLACKSEABASS,167687,NORTH,NONE
BLACKSEABASS,167687,SOUTH,NONE
BLACKSEABASS,167687,UNIT,NONE
BLUEBACKHERRING,161703,UNIT,NONE
BLUEFISH,168559,UNIT,NONE
BUTTERFISH,172567,UNIT,NONE
CLEARNOSESKATE,160855,UNIT,NONE
GOOSEFISH,164499,NORTH,NONE
GOOSEFISH,164499,SOUTH,NONE
HADDOCK,164744,EGB,NONE
HADDOCK,164744,GBK,NONE
HADDOCK,164744,GOM,NONE
LITTLESKATE,564130,UNIT,NONE
LONGFINSQUID,82372,UNIT,NONE
OCEAN(REDFISH)PERCH,166774,UNIT,NONE
OCEANPOUT,630979,UNIT,NONE
ROSETTESKATE,564136,UNIT,NONE
SCUP,169182,UNIT,NONE
SCUP,169182,BIG,NONE
SHORTFINSQUID,82521,UNIT,NONE
SILVER(WHITING)HAKE,164791,NORTH,NONE
SILVER(WHITING)HAKE,164791,SOUTH,NONE
SMOOTHDOGFISH,160230,UNIT,FEMALE
SMOOTHDOGFISH,160230,UNIT,MALE
SMOOTHDOGFISH,160230,UNIT,UNSEXED
SMOOTHSKATE,564151,UNIT,NONE
SPINYDOGFISH,160617,UNIT,FEMALE
SPINYDOGFISH,160617,UNIT,MALE
SPINYDOGFISH,160617,UNIT,UNSEXED
SUMMERFLOUNDER,172735,UNIT,NONE
SUMMERFLOUNDER,172735,BIG,NONE
SUMMERFLOUNDER,172735,BIGSE,NONE
THORNYSKATE,564149,UNIT,NONE
TILEFISH(GOLDEN TILEFISH),168546,UNIT,NONE
WINDOWPANEFLOUNDER,172746,GBGOM,NONE
WINDOWPANEFLOUNDER,172746,SNEMA,NONE
WINTERFLOUNDER,172905,GOMWF,NONE
WINTERFLOUNDER,172905,GBK,NONE
WINTERFLOUNDER,172905,GOM,NONE
WINTERFLOUNDER,172905,SNEMA,NONE
WINTERSKATE,564145,UNIT,NONE
WITCH(GRAY SOLE)FLOUNDER,172873,UNIT,NONE
YELLOWTAILFLOUNDER,172909,CCGOM,NONE
YELLOWTAILFLOUNDER,172909,GBK,NONE
YELLOWTAILFLOUNDER,172909,SNEMA,NONE
