"YEAR","INDICATOR_NAME","INDICATOR_UNITS","AREA","MEAN_ANNUAL_BT"
1959,"bottomT","degC","stock_area",9.30712481991116
1960,"bottomT","degC","stock_area",9.56393765255698
1961,"bottomT","degC","stock_area",9.3174544642188
1962,"bottomT","degC","stock_area",9.88131977543605
1963,"bottomT","degC","stock_area",9.67851507781982
1964,"bottomT","degC","stock_area",9.6174139555502
1965,"bottomT","degC","stock_area",8.72386713948554
1966,"bottomT","degC","stock_area",8.86013069151159
1967,"bottomT","degC","stock_area",9.06249085137174
1968,"bottomT","degC","stock_area",8.92520558284393
1969,"bottomT","degC","stock_area",9.16865637815314
1970,"bottomT","degC","stock_area",9.45960959198313
1971,"bottomT","degC","stock_area",9.24669925267769
1972,"bottomT","degC","stock_area",10.2685482420825
1973,"bottomT","degC","stock_area",9.96607649861805
1974,"bottomT","degC","stock_area",10.818311499482
1975,"bottomT","degC","stock_area",10.3777148599449
1976,"bottomT","degC","stock_area",10.2969842874152
1977,"bottomT","degC","stock_area",9.5564792622597
1978,"bottomT","degC","stock_area",10.1364684071972
1979,"bottomT","degC","stock_area",9.29895243994583
1980,"bottomT","degC","stock_area",8.83875966870732
1981,"bottomT","degC","stock_area",8.91814709187767
1982,"bottomT","degC","stock_area",9.73889034289949
1983,"bottomT","degC","stock_area",10.5230986905971
1984,"bottomT","degC","stock_area",9.23720469088784
1985,"bottomT","degC","stock_area",10.7694379956841
1986,"bottomT","degC","stock_area",11.1682302580286
1987,"bottomT","degC","stock_area",10.0332651572291
1988,"bottomT","degC","stock_area",9.79745360952199
1989,"bottomT","degC","stock_area",10.0961099021834
1990,"bottomT","degC","stock_area",10.7318932515534
1991,"bottomT","degC","stock_area",10.8731246071895
1992,"bottomT","degC","stock_area",10.2876425940244
1993,"bottomT","degC","stock_area",9.50640469567173
1994,"bottomT","degC","stock_area",10.2690448613324
1995,"bottomT","degC","stock_area",10.8394232619662
1996,"bottomT","degC","stock_area",8.83715081208328
1997,"bottomT","degC","stock_area",10.5087489691496
1998,"bottomT","degC","stock_area",9.58295435160355
1999,"bottomT","degC","stock_area",11.5185506514213
2000,"bottomT","degC","stock_area",10.8529691891248
2001,"bottomT","degC","stock_area",10.5849045511426
2002,"bottomT","degC","stock_area",11.5193529531652
2003,"bottomT","degC","stock_area",9.61839044881442
2004,"bottomT","degC","stock_area",8.85139603493708
2005,"bottomT","degC","stock_area",9.60187762533862
2006,"bottomT","degC","stock_area",11.3407034011213
2007,"bottomT","degC","stock_area",9.79686374620605
2008,"bottomT","degC","stock_area",10.7720184416816
2009,"bottomT","degC","stock_area",10.9239940600716
2010,"bottomT","degC","stock_area",10.0663980090699
2011,"bottomT","degC","stock_area",10.6449233127162
2012,"bottomT","degC","stock_area",12.3406304393462
2013,"bottomT","degC","stock_area",11.1904543549405
2014,"bottomT","degC","stock_area",11.4793733979032
2015,"bottomT","degC","stock_area",11.8426626189427
2016,"bottomT","degC","stock_area",11.9711635289738
2017,"bottomT","degC","stock_area",11.0521317889993
2018,"bottomT","degC","stock_area",10.1965297277943
2019,"bottomT","degC","stock_area",11.1698384114598
2020,"bottomT","degC","stock_area",11.5326458272578
2021,"bottomT","degC","stock_area",6.11679539111845
2022,"bottomT","degC","stock_area",6.0920429164679
2023,"bottomT","degC","stock_area",5.97745671962594
2024,"bottomT","degC","stock_area",5.44978065480298
2025,"bottomT","degC","stock_area",5.37997919440709
2026,"bottomT","degC","stock_area",4.22302456680246
