"STATISTIC","AREA","DATA_VALUE","DAY","MONTH","YEAR","INDICATOR_NAME","INDICATOR_UNITS"
"mean","stock_area",9.23943597997371,2,1,1959,"bottomT","degC"
"mean","stock_area",9.16299993047635,3,1,1959,"bottomT","degC"
"mean","stock_area",9.16644726910045,4,1,1959,"bottomT","degC"
"mean","stock_area",9.14453927691137,5,1,1959,"bottomT","degC"
"mean","stock_area",9.07299577373766,6,1,1959,"bottomT","degC"
"mean","stock_area",8.68408681380772,7,1,1959,"bottomT","degC"
"mean","stock_area",8.35276740674642,8,1,1959,"bottomT","degC"
"mean","stock_area",8.17148540764664,9,1,1959,"bottomT","degC"
"mean","stock_area",8.06483926102855,10,1,1959,"bottomT","degC"
"mean","stock_area",7.92428190581539,11,1,1959,"bottomT","degC"
"mean","stock_area",7.76467133357927,12,1,1959,"bottomT","degC"
"mean","stock_area",7.6529316813396,13,1,1959,"bottomT","degC"
"mean","stock_area",7.60903304558174,14,1,1959,"bottomT","degC"
"mean","stock_area",7.55912129136077,15,1,1959,"bottomT","degC"
"mean","stock_area",7.53181690506773,16,1,1959,"bottomT","degC"
"mean","stock_area",7.55388925631686,17,1,1959,"bottomT","degC"
"mean","stock_area",7.55408677750642,18,1,1959,"bottomT","degC"
"mean","stock_area",7.47557520604565,19,1,1959,"bottomT","degC"
"mean","stock_area",7.47061300585943,20,1,1959,"bottomT","degC"
"mean","stock_area",7.45685880053005,21,1,1959,"bottomT","degC"
"mean","stock_area",7.51166482486491,22,1,1959,"bottomT","degC"
"mean","stock_area",7.59344170651994,23,1,1959,"bottomT","degC"
"mean","stock_area",7.66219925284768,24,1,1959,"bottomT","degC"
"mean","stock_area",7.64557157195937,25,1,1959,"bottomT","degC"
"mean","stock_area",7.65412893897092,26,1,1959,"bottomT","degC"
"mean","stock_area",7.67550132204053,27,1,1959,"bottomT","degC"
"mean","stock_area",7.56161405603219,28,1,1959,"bottomT","degC"
"mean","stock_area",7.48403528907305,29,1,1959,"bottomT","degC"
"mean","stock_area",7.42984063996141,30,1,1959,"bottomT","degC"
"mean","stock_area",7.42769495783973,31,1,1959,"bottomT","degC"
"mean","stock_area",7.50576682742661,1,2,1959,"bottomT","degC"
"mean","stock_area",7.46444762846535,2,2,1959,"bottomT","degC"
"mean","stock_area",7.32232651290673,3,2,1959,"bottomT","degC"
"mean","stock_area",7.14994706194321,4,2,1959,"bottomT","degC"
"mean","stock_area",7.14365725425279,5,2,1959,"bottomT","degC"
"mean","stock_area",7.2369252948308,6,2,1959,"bottomT","degC"
"mean","stock_area",7.24818875210036,7,2,1959,"bottomT","degC"
"mean","stock_area",7.14116982274432,8,2,1959,"bottomT","degC"
"mean","stock_area",7.05951720295995,9,2,1959,"bottomT","degC"
"mean","stock_area",7.04585842656936,10,2,1959,"bottomT","degC"
"mean","stock_area",6.93045668583603,11,2,1959,"bottomT","degC"
"mean","stock_area",7.01471130722286,12,2,1959,"bottomT","degC"
"mean","stock_area",6.95286521654368,13,2,1959,"bottomT","degC"
"mean","stock_area",6.80507850340915,14,2,1959,"bottomT","degC"
"mean","stock_area",6.89005069269926,15,2,1959,"bottomT","degC"
"mean","stock_area",6.92746427555624,16,2,1959,"bottomT","degC"
"mean","stock_area",6.88795761361651,17,2,1959,"bottomT","degC"
"mean","stock_area",6.77911472029989,18,2,1959,"bottomT","degC"
"mean","stock_area",6.78654361795156,19,2,1959,"bottomT","degC"
"mean","stock_area",6.77009235574649,20,2,1959,"bottomT","degC"
"mean","stock_area",6.60738857383533,21,2,1959,"bottomT","degC"
"mean","stock_area",6.50628912656137,22,2,1959,"bottomT","degC"
"mean","stock_area",6.47499429424912,23,2,1959,"bottomT","degC"
"mean","stock_area",6.43676957661553,24,2,1959,"bottomT","degC"
"mean","stock_area",6.39889424772751,25,2,1959,"bottomT","degC"
