"Source","Time","Var","Value","EPU"
"ROMS",1959,"cold_pool_index",-1.075489442,"MAB"
"ROMS",1960,"cold_pool_index",-1.132778256,"MAB"
"ROMS",1961,"cold_pool_index",-1.031934548,"MAB"
"ROMS",1962,"cold_pool_index",-0.306618212,"MAB"
"ROMS",1963,"cold_pool_index",-0.359036,"MAB"
"ROMS",1964,"cold_pool_index",-0.80055928,"MAB"
"ROMS",1965,"cold_pool_index",-1.900344316,"MAB"
"ROMS",1966,"cold_pool_index",-1.395679044,"MAB"
"ROMS",1967,"cold_pool_index",-1.001828702,"MAB"
"ROMS",1968,"cold_pool_index",-1.44593394,"MAB"
"ROMS",1969,"cold_pool_index",-0.858816819,"MAB"
"ROMS",1970,"cold_pool_index",-1.0705663,"MAB"
"ROMS",1971,"cold_pool_index",-1.206181486,"MAB"
"ROMS",1972,"cold_pool_index",-0.078287704,"MAB"
"ROMS",1973,"cold_pool_index",-0.046743539,"MAB"
"ROMS",1974,"cold_pool_index",0.989327105,"MAB"
"ROMS",1975,"cold_pool_index",-0.103378605,"MAB"
"ROMS",1976,"cold_pool_index",0.310716011,"MAB"
"ROMS",1977,"cold_pool_index",-0.439652993,"MAB"
"ROMS",1978,"cold_pool_index",-0.609777455,"MAB"
"ROMS",1979,"cold_pool_index",-1.456536911,"MAB"
"ROMS",1980,"cold_pool_index",-1.192956619,"MAB"
"ROMS",1981,"cold_pool_index",-0.800902019,"MAB"
"ROMS",1982,"cold_pool_index",-0.74285707,"MAB"
"ROMS",1983,"cold_pool_index",0.067435544,"MAB"
"ROMS",1984,"cold_pool_index",-1.342493097,"MAB"
"ROMS",1985,"cold_pool_index",0.43828764,"MAB"
"ROMS",1986,"cold_pool_index",1.389226961,"MAB"
"ROMS",1987,"cold_pool_index",-0.651291915,"MAB"
"ROMS",1988,"cold_pool_index",-0.675402696,"MAB"
"ROMS",1989,"cold_pool_index",-0.22058766,"MAB"
"ROMS",1990,"cold_pool_index",0.844014165,"MAB"
"ROMS",1991,"cold_pool_index",0.49023789,"MAB"
"ROMS",1992,"cold_pool_index",0.089245266,"MAB"
"GLORYS",1993,"cold_pool_index",-0.562245219,"MAB"
"GLORYS",1994,"cold_pool_index",-0.100799867,"MAB"
"GLORYS",1995,"cold_pool_index",0.410575942,"MAB"
"GLORYS",1996,"cold_pool_index",-1.221101457,"MAB"
"GLORYS",1997,"cold_pool_index",0.020182551,"MAB"
"GLORYS",1998,"cold_pool_index",-0.646769454,"MAB"
"GLORYS",1999,"cold_pool_index",1.750278729,"MAB"
"GLORYS",2000,"cold_pool_index",1.125887738,"MAB"
"GLORYS",2001,"cold_pool_index",0.78884701,"MAB"
"GLORYS",2002,"cold_pool_index",0.710141353,"MAB"
"GLORYS",2003,"cold_pool_index",-0.190474131,"MAB"
"GLORYS",2004,"cold_pool_index",-2.237009126,"MAB"
"GLORYS",2005,"cold_pool_index",-0.186699046,"MAB"
"GLORYS",2006,"cold_pool_index",1.633444296,"MAB"
"GLORYS",2007,"cold_pool_index",-1.284058827,"MAB"
"GLORYS",2008,"cold_pool_index",0.225952449,"MAB"
"GLORYS",2009,"cold_pool_index",0.211239135,"MAB"
"GLORYS",2010,"cold_pool_index",-0.148946779,"MAB"
"GLORYS",2011,"cold_pool_index",0.237127046,"MAB"
"GLORYS",2012,"cold_pool_index",2.002073648,"MAB"
"GLORYS",2013,"cold_pool_index",1.24677976,"MAB"
"GLORYS",2014,"cold_pool_index",2.220129368,"MAB"
"GLORYS",2015,"cold_pool_index",2.249173163,"MAB"
"GLORYS",2016,"cold_pool_index",1.787388483,"MAB"
"GLORYS",2017,"cold_pool_index",0.068416285,"MAB"
"GLORYS",2018,"cold_pool_index",-0.102907988,"MAB"
"GLORYS",2019,"cold_pool_index",0.916597437,"MAB"
"GLORYS",2020,"cold_pool_index",1.692606048,"MAB"
"GLORYS",2021,"cold_pool_index",1.91484923,"MAB"
"GLORYS",2022,"cold_pool_index",2.15750294,"MAB"
"GLORYS",2023,"cold_pool_index",0.951481246,"MAB"
"GLORYS",2024,"cold_pool_index",-0.486176685,"MAB"
"GLORYS",2025,"cold_pool_index",-0.028902395,"MAB"
