"Year","Var","annual_gsi"
1954,"gulf stream index",1.01887232295579
1955,"gulf stream index",-0.174583002926632
1956,"gulf stream index",-0.261096720657039
1957,"gulf stream index",0.0899409449115309
1958,"gulf stream index",-1.19409811596054
1959,"gulf stream index",-1.42211322551691
1960,"gulf stream index",-1.32450251050188
1961,"gulf stream index",-0.929534202029306
1962,"gulf stream index",-1.15872699132338
1963,"gulf stream index",-1.30320271141787
1964,"gulf stream index",-1.93322390439269
1965,"gulf stream index",-1.19366407853351
1966,"gulf stream index",-2.00926831234339
1967,"gulf stream index",-1.23695038175157
1968,"gulf stream index",-0.394343488430351
1969,"gulf stream index",-0.935598243350225
1970,"gulf stream index",-1.04175111640973
1971,"gulf stream index",-1.04495294301994
1972,"gulf stream index",-0.096514803622867
1973,"gulf stream index",0.0799710671411443
1974,"gulf stream index",0.644200307767632
1975,"gulf stream index",-0.0410366944737231
1976,"gulf stream index",0.506621040229003
1977,"gulf stream index",0.267575875199977
1978,"gulf stream index",-0.493144817541121
1979,"gulf stream index",-0.25817321600927
1980,"gulf stream index",-0.0241799300142095
1981,"gulf stream index",-0.603782693628525
1982,"gulf stream index",-0.452112762802418
1983,"gulf stream index",-0.2695138305131
1984,"gulf stream index",0.396072302176444
1985,"gulf stream index",0.632912866733775
1986,"gulf stream index",0.161682854726505
1987,"gulf stream index",-0.700544961979868
1988,"gulf stream index",-0.649469832564904
1989,"gulf stream index",-0.901683302071878
1990,"gulf stream index",0.0330814101095073
1991,"gulf stream index",0.7882384971429
1992,"gulf stream index",0.248540453860846
1993,"gulf stream index",0.553909635882276
1994,"gulf stream index",0.778374149928611
1995,"gulf stream index",0.992780750118041
1996,"gulf stream index",-0.490659845003553
1997,"gulf stream index",-0.451725339293037
1998,"gulf stream index",-0.298329686072759
1999,"gulf stream index",1.09167716865171
2000,"gulf stream index",0.775174491194661
2001,"gulf stream index",0.299310242801459
2002,"gulf stream index",1.30298875917734
2003,"gulf stream index",0.191806347361869
2004,"gulf stream index",-0.29920230810123
2005,"gulf stream index",-0.237716679093112
2006,"gulf stream index",-0.0316181561174463
2007,"gulf stream index",-0.838465545291437
2008,"gulf stream index",0.224607260096082
2009,"gulf stream index",0.667170148349077
2010,"gulf stream index",0.316146232579411
2011,"gulf stream index",-0.0962086411361487
2012,"gulf stream index",0.692378206385439
2013,"gulf stream index",0.689721146627495
2014,"gulf stream index",1.11499096246486
2015,"gulf stream index",1.28616985128764
2016,"gulf stream index",1.48301183333077
2017,"gulf stream index",0.97587720260395
2018,"gulf stream index",1.26751670277064
2019,"gulf stream index",1.59989520981175
2020,"gulf stream index",1.25611043152038
2021,"gulf stream index",1.30653010352717
2022,"gulf stream index",1.34624682725292
2023,"gulf stream index",0.476184100598892
2024,"gulf stream index",-0.589619032387688
2025,"gulf stream index",-0.233300907992276
