"Year","Var","spring_gsi"
1954,"gulf stream index",1.54375574640898
1955,"gulf stream index",-0.298528420233796
1956,"gulf stream index",-0.68161627287672
1957,"gulf stream index",0.15719419922923
1958,"gulf stream index",-1.4109459913918
1959,"gulf stream index",-1.57045519042651
1960,"gulf stream index",-1.00717247678661
1961,"gulf stream index",-0.823806631502332
1962,"gulf stream index",-0.893159589245303
1963,"gulf stream index",-1.39029913426742
1964,"gulf stream index",-1.9879885386442
1965,"gulf stream index",-1.2936160412366
1966,"gulf stream index",-2.07380066551178
1967,"gulf stream index",-1.1919980199112
1968,"gulf stream index",-0.755666501652387
1969,"gulf stream index",-0.900952131101324
1970,"gulf stream index",-1.00593659588728
1971,"gulf stream index",-1.37752411758776
1972,"gulf stream index",-0.200616749148194
1973,"gulf stream index",-0.00699578558705046
1974,"gulf stream index",0.710779037258531
1975,"gulf stream index",0.120154501645059
1976,"gulf stream index",0.623647741738067
1977,"gulf stream index",0.303140797597771
1978,"gulf stream index",-0.65001279901712
1979,"gulf stream index",-0.11980642570014
1980,"gulf stream index",-0.126799803886469
1981,"gulf stream index",-0.551792198195071
1982,"gulf stream index",-0.673857535132356
1983,"gulf stream index",-0.169563707591966
1984,"gulf stream index",0.175640583875937
1985,"gulf stream index",0.742320863254313
1986,"gulf stream index",0.351856663806907
1987,"gulf stream index",-0.664850913999874
1988,"gulf stream index",-0.726258423802685
1989,"gulf stream index",-1.01400394606258
1990,"gulf stream index",-0.178920829451503
1991,"gulf stream index",1.12862288573589
1992,"gulf stream index",0.313199554147475
1993,"gulf stream index",0.533110359624592
1994,"gulf stream index",0.59908579412765
1995,"gulf stream index",1.29410728735889
1996,"gulf stream index",-0.312861526351398
1997,"gulf stream index",-0.526315708167536
1998,"gulf stream index",-0.733113633344203
1999,"gulf stream index",1.48516460218374
2000,"gulf stream index",0.745036732709726
2001,"gulf stream index",0.0764210440769321
2002,"gulf stream index",1.38440883813499
2003,"gulf stream index",0.277674939165201
2004,"gulf stream index",-0.148905129111738
2005,"gulf stream index",-0.384196011624974
2006,"gulf stream index",0.184444059700444
2007,"gulf stream index",-0.945110296316085
2008,"gulf stream index",0.435737127458961
2009,"gulf stream index",0.439482910306626
2010,"gulf stream index",0.484390452122655
2011,"gulf stream index",-0.101979855442853
2012,"gulf stream index",0.7566020972291
2013,"gulf stream index",0.726673863403459
2014,"gulf stream index",1.10499705242628
2015,"gulf stream index",1.36221690792827
2016,"gulf stream index",1.50740665933816
2017,"gulf stream index",0.844265632103124
2018,"gulf stream index",1.46797613572649
2019,"gulf stream index",1.40607053772991
2020,"gulf stream index",1.33547917762985
2021,"gulf stream index",1.45478060993371
2022,"gulf stream index",1.32050912249417
2023,"gulf stream index",0.888088854934323
2024,"gulf stream index",-0.3836261921239
2025,"gulf stream index",-0.3248717513246
