"common_name","stock_area","metric","description","units","value"
"Yellowtail flounder","Southern New England / Mid-Atlantic","Recruitment","Recruits - Age 1","Thousand Recruits",61810
"Yellowtail flounder","Southern New England / Mid-Atlantic","Recruitment","Recruits - Age 1","Thousand Recruits",30687
"Yellowtail flounder","Southern New England / Mid-Atlantic","Recruitment","Recruits - Age 1","Thousand Recruits",72547
"Yellowtail flounder","Southern New England / Mid-Atlantic","Recruitment","Recruits - Age 1","Thousand Recruits",28206
"Yellowtail flounder","Southern New England / Mid-Atlantic","Recruitment","Recruits - Age 1","Thousand Recruits",108213
"Yellowtail flounder","Southern New England / Mid-Atlantic","Recruitment","Recruits - Age 1","Thousand Recruits",99873
"Yellowtail flounder","Southern New England / Mid-Atlantic","Recruitment","Recruits - Age 1","Thousand Recruits",59237
"Yellowtail flounder","Southern New England / Mid-Atlantic","Recruitment","Recruits - Age 1","Thousand Recruits",78215
"Yellowtail flounder","Southern New England / Mid-Atlantic","Recruitment","Recruits - Age 1","Thousand Recruits",100843
"Yellowtail flounder","Southern New England / Mid-Atlantic","Recruitment","Recruits - Age 1","Thousand Recruits",58701
"Yellowtail flounder","Southern New England / Mid-Atlantic","Recruitment","Recruits - Age 1","Thousand Recruits",41226
"Yellowtail flounder","Southern New England / Mid-Atlantic","Recruitment","Recruits - Age 1","Thousand Recruits",32351
"Yellowtail flounder","Southern New England / Mid-Atlantic","Recruitment","Recruits - Age 1","Thousand Recruits",37312
"Yellowtail flounder","Southern New England / Mid-Atlantic","Recruitment","Recruits - Age 1","Thousand Recruits",13441
"Yellowtail flounder","Southern New England / Mid-Atlantic","Recruitment","Recruits - Age 1","Thousand Recruits",22482
"Yellowtail flounder","Southern New England / Mid-Atlantic","Recruitment","Recruits - Age 1","Thousand Recruits",121368
"Yellowtail flounder","Southern New England / Mid-Atlantic","Recruitment","Recruits - Age 1","Thousand Recruits",17680
"Yellowtail flounder","Southern New England / Mid-Atlantic","Recruitment","Recruits - Age 1","Thousand Recruits",11239
"Yellowtail flounder","Southern New England / Mid-Atlantic","Recruitment","Recruits - Age 1","Thousand Recruits",10429
"Yellowtail flounder","Southern New England / Mid-Atlantic","Recruitment","Recruits - Age 1","Thousand Recruits",9008
"Yellowtail flounder","Southern New England / Mid-Atlantic","Recruitment","Recruits - Age 1","Thousand Recruits",10122
"Yellowtail flounder","Southern New England / Mid-Atlantic","Recruitment","Recruits - Age 1","Thousand Recruits",14409
"Yellowtail flounder","Southern New England / Mid-Atlantic","Recruitment","Recruits - Age 1","Thousand Recruits",8440
"Yellowtail flounder","Southern New England / Mid-Atlantic","Recruitment","Recruits - Age 1","Thousand Recruits",8575
"Yellowtail flounder","Southern New England / Mid-Atlantic","Recruitment","Recruits - Age 1","Thousand Recruits",20023
"Yellowtail flounder","Southern New England / Mid-Atlantic","Recruitment","Recruits - Age 1","Thousand Recruits",13929
"Yellowtail flounder","Southern New England / Mid-Atlantic","Recruitment","Recruits - Age 1","Thousand Recruits",16604
"Yellowtail flounder","Southern New England / Mid-Atlantic","Recruitment","Recruits - Age 1","Thousand Recruits",6242
"Yellowtail flounder","Southern New England / Mid-Atlantic","Recruitment","Recruits - Age 1","Thousand Recruits",6574
"Yellowtail flounder","Southern New England / Mid-Atlantic","Recruitment","Recruits - Age 1","Thousand Recruits",4660
"Yellowtail flounder","Southern New England / Mid-Atlantic","Recruitment","Recruits - Age 1","Thousand Recruits",8883
"Yellowtail flounder","Southern New England / Mid-Atlantic","Recruitment","Recruits - Age 1","Thousand Recruits",5495
"Yellowtail flounder","Southern New England / Mid-Atlantic","Recruitment","Recruits - Age 1","Thousand Recruits",43213
"Yellowtail flounder","Southern New England / Mid-Atlantic","Recruitment","Recruits - Age 1","Thousand Recruits",30326
"Yellowtail flounder","Southern New England / Mid-Atlantic","Recruitment","Recruits - Age 1","Thousand Recruits",10346
"Yellowtail flounder","Southern New England / Mid-Atlantic","Recruitment","Recruits - Age 1","Thousand Recruits",16586
"Yellowtail flounder","Southern New England / Mid-Atlantic","Recruitment","Recruits - Age 1","Thousand Recruits",21906
"Yellowtail flounder","Southern New England / Mid-Atlantic","Recruitment","Recruits - Age 1","Thousand Recruits",13915
"Yellowtail flounder","Southern New England / Mid-Atlantic","Recruitment","Recruits - Age 1","Thousand Recruits",26710
"Yellowtail flounder","Southern New England / Mid-Atlantic","Recruitment","Recruits - Age 1","Thousand Recruits",10729
"Yellowtail flounder","Southern New England / Mid-Atlantic","Recruitment","Recruits - Age 1","Thousand Recruits",11205
"Yellowtail flounder","Southern New England / Mid-Atlantic","Recruitment","Recruits - Age 1","Thousand Recruits",1900
"Yellowtail flounder","Southern New England / Mid-Atlantic","Recruitment","Recruits - Age 1","Thousand Recruits",1126
"Yellowtail flounder","Southern New England / Mid-Atlantic","Recruitment","Recruits - Age 1","Thousand Recruits",1623
"Yellowtail flounder","Southern New England / Mid-Atlantic","Recruitment","Recruits - Age 1","Thousand Recruits",1907
"Yellowtail flounder","Southern New England / Mid-Atlantic","Recruitment","Recruits - Age 1","Thousand Recruits",2319
"Yellowtail flounder","Southern New England / Mid-Atlantic","Recruitment","Recruits - Age 1","Thousand Recruits",3264
"Yellowtail flounder","Southern New England / Mid-Atlantic","Recruitment","Recruits - Age 1","Thousand Recruits",743
"Yellowtail flounder","Southern New England / Mid-Atlantic","Recruitment","Recruits - Age 1","Thousand Recruits",514
"Yellowtail flounder","Southern New England / Mid-Atlantic","Recruitment","Recruits - Age 1","Thousand Recruits",537
"Yellowtail flounder","Southern New England / Mid-Atlantic","Recruitment","Recruits - Age 1","Thousand Recruits",739
"Yellowtail flounder","Southern New England / Mid-Atlantic","Recruitment","Recruits - Age 1","Thousand Recruits",2022
